Matchup,ARI @ STL
Pitcher,Michael McGreevy
Pitcher Team,STL
Opposing Team,ARI

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,83.1,333,0.243,0.300,0.409,0.166,1.15,12,1.30,6.0%,18.7%,15.9%,14.0%,8.5%,5.72,58.6%,6.1%,9.6%,40.4%,25.8%,16.4%,13.5%
vsLHB,51.1,208,0.251,0.309,0.421,0.169,1.21,8,1.40,6.2%,18.2%,13.0%,13.0%,8.0%,4.73,53.4%,6.3%,10.1%,39.3%,26.8%,17.8%,13.7%
vsRHB,32.0,125,0.229,0.285,0.390,0.161,1.06,4,1.12,5.6%,19.4%,20.8%,15.1%,9.3%,7.31,67.2%,5.7%,8.7%,42.4%,23.9%,13.6%,13.0%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Pavin Smith LHB,,+830,10,25,3.40,1,1,0.095,0.240,0.238,0.143,0.223,16.0%,23.1%,16.0%,12.2%,80.8,230.3,2,1,5.9%,5.9%,17.6%,11.8%,11.8%,70.9,11.4%,20.0%,5.7%,89.7%,17.6%,33.3%,11.8%,58.8%,47.1%,29.4%,23.5%,43.5%
Tommy Troy RHB,,+900,16,25,4.20,1,1,0.087,0.160,0.217,0.130,0.172,8.0%,20.7%,24.0%,8.2%,82.1,230.8,2,1,5.9%,-,5.9%,23.5%,29.4%,73.3,22.2%,22.2%,11.1%,96.4%,17.6%,33.3%,17.6%,52.9%,23.5%,35.3%,41.2%,5.3%
Geraldo Perdomo SHB,,+1140,15,22,4.60,1,2,0.176,0.364,0.412,0.235,0.341,22.7%,12.5%,9.1%,4.7%,87.0,289.5,3,3,-,-,20.0%,40.0%,13.3%,67.2,-,37.0%,14.8%,87.1%,33.3%,20.0%,13.3%,53.3%,66.7%,6.7%,26.7%,19.0%
Gabriel Moreno RHB,,+900,27,22,4.40,1,2,0.333,0.455,0.556,0.222,0.436,13.6%,14.6%,9.1%,6.2%,91.0,281.8,2,1,-,-,6.2%,31.2%,50.0%,71.4,10.8%,27.0%,5.4%,92.5%,25.0%,25.0%,31.2%,43.8%,37.5%,18.8%,43.8%,11.1%
Tim Tawa RHB,—,N/A,11,17,2.80,1,1,0.133,0.235,0.333,0.200,0.252,11.8%,24.3%,29.4%,13.0%,77.9,267.4,2,1,-,-,20.0%,30.0%,10.0%,74.9,53.8%,7.7%,-,89.7%,30.0%,0.0%,10.0%,40.0%,50.0%,40.0%,10.0%,33.3%
Jorge Barrosa SHB,—,N/A,20,13,2.40,1,1,0.154,0.154,0.462,0.308,0.259,-,28.0%,23.1%,12.5%,82.0,250.9,3,1,10.0%,10.0%,30.0%,30.0%,10.0%,69.5,4.8%,28.6%,9.5%,91.3%,50.0%,20.0%,-,10.0%,30.0%,50.0%,20.0%,13.3%
Nolan Arenado RHB,,+910,18,19,3.80,0,0,0.222,0.263,0.278,0.056,0.242,5.3%,17.5%,15.8%,9.5%,87.5,243.9,3,0,6.7%,6.7%,6.7%,40.0%,26.7%,71.2,11.4%,22.9%,8.6%,92.1%,20.0%,0.0%,26.7%,33.3%,13.3%,80.0%,6.7%,30.0%
Lourdes Gurriel Jr. RHB,,+960,20,18,4.40,0,1,0.188,0.222,0.312,0.125,0.231,-,8.8%,11.1%,4.8%,85.1,252.8,4,2,6.7%,-,6.7%,40.0%,40.0%,70.7,6.9%,31.0%,10.3%,85.3%,40.0%,0.0%,20.0%,33.3%,33.3%,46.7%,20.0%,25.0%
LuJames Groover RHB,,+870,9,17,3.80,0,0,0.200,0.294,0.267,0.067,0.256,11.8%,7.4%,11.8%,3.2%,89.6,224.4,2,1,8.3%,-,8.3%,41.7%,25.0%,71.1,8.0%,36.0%,4.0%,92.6%,16.7%,0.0%,25.0%,41.7%,25.0%,25.0%,50.0%,35.7%
Ketel Marte SHB,,+485,19,17,4.20,0,0,0.375,0.412,0.500,0.125,0.397,5.9%,17.1%,5.9%,8.3%,92.5,249.7,2,2,14.3%,-,14.3%,57.1%,42.9%,74.1,36.4%,27.3%,21.2%,97.1%,7.1%,0.0%,42.9%,35.7%,21.4%,64.3%,14.3%,30.0%
