Matchup,PHI @ LAD
Pitcher,Andrew Painter
Pitcher Team,PHI
Opposing Team,LAD

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,50.0,218,0.289,0.341,0.437,0.147,1.46,7,1.26,7.3%,21.8%,18.3%,17.1%,10.4%,7.20,60.1%,7.8%,8.1%,36.2%,28.1%,15.6%,15.6%
vsLHB,29.1,129,0.280,0.307,0.364,0.085,1.40,2,0.61,6.2%,21.3%,17.8%,17.4%,10.2%,7.06,62.8%,8.3%,6.2%,38.1%,27.8%,7.4%,18.6%
vsRHB,20.1,89,0.304,0.391,0.544,0.241,1.57,5,2.21,9.0%,22.5%,19.1%,16.7%,10.7%,7.52,56.2%,7.1%,11.1%,33.3%,28.6%,27.8%,11.1%

,,STATS,STRIKES,STATCAST
BATTER,ODDS,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Freddie Freeman LHB,N/A,18,4.40,4,4,0.429,0.556,1.357,0.929,0.731,22.2%,23.8%,16.7%,11.9%,96.4,27.3%,9.1%,18.2%,63.6%,36.4%,69.1,-,26.3%,13.2%,90.5%,54.5%,66.7%,9.1%,27.3%,36.4%,18.2%,45.5%,38.5%
Shohei Ohtani LHB,N/A,21,4.00,3,3,0.562,0.667,1.312,0.750,0.763,23.8%,23.1%,9.5%,9.6%,98.6,28.6%,14.3%,21.4%,64.3%,71.4%,74.0,47.1%,35.3%,23.5%,91.9%,42.9%,50.0%,50.0%,7.1%,28.6%,35.7%,35.7%,43.5%
Will Smith RHB,N/A,28,4.00,2,4,0.273,0.393,0.591,0.318,0.409,14.3%,14.3%,10.7%,6.0%,91.6,20.0%,-,5.0%,50.0%,55.0%,70.2,7.3%,36.6%,17.1%,85.4%,50.0%,20.0%,25.0%,20.0%,20.0%,35.0%,45.0%,32.1%
Max Muncy LHB,N/A,17,3.80,2,3,0.133,0.235,0.533,0.400,0.323,11.8%,39.3%,52.9%,16.7%,89.6,33.3%,16.7%,33.3%,50.0%,33.3%,71.6,8.0%,8.0%,8.0%,96.2%,50.0%,66.7%,-,50.0%,66.7%,33.3%,-,15.8%
Mookie Betts RHB,N/A,18,4.20,1,1,0.111,0.111,0.278,0.167,0.166,-,11.5%,16.7%,4.3%,91.8,6.7%,-,13.3%,46.7%,20.0%,67.9,4.3%,52.2%,-,95.8%,33.3%,20.0%,13.3%,46.7%,40.0%,40.0%,20.0%,15.0%
Alex Freeland SHB,N/A,11,3.40,1,1,0.182,0.182,0.455,0.273,0.272,-,42.1%,36.4%,15.7%,94.1,-,-,-,57.1%,14.3%,70.7,6.7%,40.0%,13.3%,78.9%,28.6%,50.0%,-,71.4%,28.6%,42.9%,28.6%,26.3%
Alex Call RHB,N/A,22,2.80,0,0,0.222,0.364,0.278,0.056,0.297,18.2%,19.0%,18.2%,7.8%,85.1,-,-,14.3%,21.4%,21.4%,68.4,-,22.9%,5.7%,85.4%,14.3%,0.0%,14.3%,57.1%,57.1%,14.3%,28.6%,26.1%
Andy Pages RHB,N/A,21,4.20,0,1,0.250,0.238,0.350,0.100,0.248,-,15.9%,14.3%,8.3%,86.5,5.6%,5.6%,11.1%,22.2%,50.0%,71.2,12.5%,30.0%,7.5%,90.9%,33.3%,0.0%,27.8%,27.8%,27.8%,33.3%,38.9%,18.2%
Santiago Espinal RHB,N/A,15,2.40,0,0,0.333,0.333,0.533,0.200,0.373,-,20.0%,13.3%,11.6%,78.0,-,-,23.1%,30.8%,46.2%,67.7,-,28.6%,-,87.5%,7.7%,0.0%,46.2%,38.5%,23.1%,61.5%,15.4%,46.2%
Miguel Rojas RHB,N/A,15,3.20,0,0,0.154,0.200,0.154,-,0.167,-,14.8%,6.7%,6.7%,85.4,-,-,-,38.5%,7.7%,67.9,-,39.1%,13.0%,92.0%,7.7%,0.0%,7.7%,76.9%,23.1%,69.2%,7.7%,27.8%
Dalton Rushing LHB,N/A,12,3.00,0,1,-,0.250,-,-,0.162,25.0%,42.9%,25.0%,22.5%,94.6,16.7%,-,16.7%,50.0%,33.3%,72.7,15.8%,21.1%,10.5%,95.0%,33.3%,0.0%,16.7%,33.3%,33.3%,33.3%,33.3%,53.3%
Kyle Tucker LHB,N/A,11,4.40,0,0,-,0.182,-,-,0.118,18.2%,18.5%,18.2%,9.1%,90.5,-,-,-,28.6%,-,71.4,28.0%,20.0%,8.0%,92.6%,85.7%,0.0%,-,14.3%,14.3%,42.9%,42.9%,31.2%
Ryan Ward LHB,N/A,4,3.00,0,0,0.250,0.250,0.250,-,0.222,-,0.0%,25.0%,-,79.8,-,-,-,-,66.7%,73.0,-,25.0%,-,80.0%,-,-,66.7%,-,-,66.7%,33.3%,20.0%
