Matchup,NYY @ CLE
Pitcher,Will Warren
Pitcher Team,NYY
Opposing Team,CLE

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,64.1,271,0.233,0.285,0.361,0.129,1.20,7,0.98,7.0%,24.1%,25.8%,21.1%,10.6%,9.79,62.0%,8.6%,6.6%,39.8%,29.3%,13.2%,16.6%
vsLHB,33.0,142,0.246,0.303,0.392,0.146,1.30,5,1.36,7.7%,19.5%,20.4%,19.7%,8.2%,7.91,61.3%,8.6%,7.8%,35.3%,32.4%,15.2%,18.6%
vsRHB,30.2,129,0.218,0.265,0.328,0.109,1.11,2,0.59,6.2%,28.6%,31.8%,22.2%,13.1%,12.03,62.8%,8.6%,5.1%,45.6%,25.3%,10.0%,13.9%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Jose Ramirez SHB,,+450,26,13,4.20,2,2,0.333,0.385,0.917,0.583,0.539,7.7%,21.2%,15.4%,11.3%,94.1,331.0,6,3,10.0%,10.0%,50.0%,70.0%,50.0%,68.9,3.0%,27.3%,12.1%,100.0%,40.0%,50.0%,30.0%,30.0%,80.0%,10.0%,10.0%,45.0%
Travis Bazzana LHB,,+710,19,21,4.20,1,1,0.350,0.333,0.700,0.350,0.427,-,26.3%,4.8%,14.5%,91.2,272.5,7,3,5.0%,5.0%,15.0%,45.0%,45.0%,71.7,17.1%,40.0%,2.9%,97.2%,40.0%,12.5%,30.0%,25.0%,35.0%,40.0%,25.0%,35.3%
Patrick Bailey SHB,,+1000,21,20,3.80,1,2,0.200,0.200,0.400,0.200,0.258,-,15.9%,20.0%,9.0%,90.1,241.0,3,1,6.2%,6.2%,6.2%,43.8%,18.8%,72.8,28.9%,26.3%,15.8%,88.4%,31.2%,20.0%,18.8%,43.8%,25.0%,37.5%,37.5%,57.9%
Steven Kwan LHB,,+1440,6,23,3.40,0,0,0.409,0.435,0.455,0.045,0.393,4.3%,0.0%,-,-,84.6,272.6,6,0,-,-,18.2%,9.1%,54.5%,62.6,-,59.4%,-,94.1%,27.3%,0.0%,40.9%,22.7%,31.8%,40.9%,27.3%,12.0%
Angel Martinez SHB,,+650,22,22,3.60,0,0,0.182,0.182,0.273,0.091,0.196,-,18.6%,31.8%,11.9%,84.2,271.0,5,0,-,-,13.3%,20.0%,53.3%,70.4,8.3%,19.4%,2.8%,85.7%,33.3%,0.0%,46.7%,20.0%,20.0%,46.7%,33.3%,50.0%
Austin Hedges RHB,—,N/A,6,21,3.80,0,0,0.176,0.333,0.176,-,0.251,19.0%,17.9%,14.3%,7.1%,86.6,245.6,2,0,-,-,7.1%,21.4%,35.7%,69.5,32.0%,28.0%,12.0%,92.6%,7.1%,0.0%,35.7%,42.9%,35.7%,50.0%,14.3%,27.8%
Chase DeLauter LHB,,+599,18,19,3.60,0,0,0.105,0.105,0.105,-,0.094,-,3.3%,5.3%,1.5%,90.9,245.0,4,1,11.1%,5.6%,16.7%,38.9%,33.3%,71.8,19.2%,42.3%,23.1%,86.7%,16.7%,0.0%,33.3%,33.3%,27.8%,50.0%,22.2%,27.8%
Brayan Rocchio SHB,,+1000,16,18,3.60,0,1,0.235,0.278,0.294,0.059,0.259,-,12.0%,11.1%,5.6%,88.6,234.9,4,1,-,-,20.0%,26.7%,33.3%,72.1,4.2%,37.5%,12.5%,96.0%,20.0%,0.0%,26.7%,33.3%,40.0%,40.0%,20.0%,35.3%
Rhys Hoskins RHB,—,N/A,17,17,3.60,0,0,0.133,0.235,0.267,0.133,0.226,11.8%,18.2%,23.5%,9.2%,86.6,208.8,2,0,18.2%,9.1%,27.3%,18.2%,9.1%,73.4,35.7%,17.9%,7.1%,87.5%,36.4%,0.0%,9.1%,18.2%,45.5%,36.4%,18.2%,29.4%
Daniel Schneemann LHB,,+840,22,16,4.00,0,0,0.125,0.125,0.125,-,0.111,-,22.9%,43.8%,14.3%,88.6,229.7,1,0,-,-,11.1%,44.4%,22.2%,71.3,7.3%,12.2%,7.3%,85.4%,-,-,22.2%,66.7%,33.3%,44.4%,22.2%,36.4%
Kyle Manzardo LHB,,+472,28,16,3.40,0,0,0.188,0.188,0.312,0.125,0.214,-,31.4%,43.8%,15.3%,84.1,205.2,1,0,-,-,22.2%,22.2%,33.3%,69.8,3.4%,17.2%,3.4%,85.3%,22.2%,0.0%,33.3%,22.2%,22.2%,66.7%,11.1%,26.7%
David Fry RHB,—,N/A,16,9,2.20,0,1,0.500,0.556,0.750,0.250,0.552,11.1%,18.8%,11.1%,8.1%,90.1,246.2,2,1,14.3%,14.3%,57.1%,28.6%,42.9%,72.1,21.4%,28.6%,7.1%,93.3%,28.6%,0.0%,42.9%,14.3%,71.4%,28.6%,-,30.0%
Stuart Fairchild RHB,—,N/A,-,2,2.25,0,0,-,-,-,-,-,-,100.0%,100.0%,80.0%,-,-,0,0,-,-,-,-,-,69.8,-,-,-,100.0%,-,-,-,-,-,-,-,100.0%
