Matchup,TEX @ CLE
Pitcher,Jacob deGrom
Pitcher Team,TEX
Opposing Team,CLE

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,57.1,232,0.220,0.283,0.404,0.183,1.06,11,1.73,5.6%,35.8%,28.4%,24.4%,18.6%,10.36,63.4%,6.1%,6.5%,43.8%,29.4%,24.4%,21.6%
vsLHB,29.0,121,0.246,0.302,0.439,0.193,1.17,6,1.86,5.0%,35.9%,30.6%,26.8%,18.0%,11.48,63.3%,5.9%,6.4%,48.7%,28.2%,27.3%,24.4%
vsRHB,28.1,111,0.192,0.262,0.365,0.173,0.95,5,1.59,6.3%,35.7%,26.1%,21.8%,19.2%,9.21,63.4%,6.4%,6.7%,38.7%,30.7%,21.7%,18.7%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Cooper Ingle LHB,—,N/A,-,5,3.33,0,0,0.500,0.800,0.500,-,0.567,60.0%,10.0%,20.0%,4.2%,95.9,-,0,0,-,-,-,100.0%,-,66.7,-,11.1%,-,90.0%,-,-,-,-,100.0%,100.0%,-,-,50.0%
Gabriel Arias RHB,,+560,22,11,3.60,1,1,0.400,0.455,0.800,0.400,0.527,9.1%,57.9%,45.5%,25.0%,91.7,277.4,1,1,20.0%,-,20.0%,80.0%,60.0%,74.6,42.1%,21.1%,21.1%,100.0%,60.0%,20.0%,100.0%,40.0%,40.0%,40.0%,20.0%,40.0%,27.3%
Chase DeLauter LHB,,+508,24,19,3.80,0,0,0.222,0.263,0.278,0.056,0.242,5.3%,7.9%,31.6%,3.3%,96.0,247.0,4,2,16.7%,8.3%,16.7%,58.3%,33.3%,71.8,17.1%,25.7%,14.3%,92.1%,50.0%,25.0%,0.0%,25.0%,25.0%,16.7%,66.7%,16.7%,10.0%
Rhys Hoskins RHB,,+504,18,10,3.00,1,1,0.400,0.400,0.800,0.400,0.515,-,14.3%,10.0%,5.0%,97.2,276.1,3,2,11.1%,11.1%,22.2%,55.6%,44.4%,71.7,15.4%,69.2%,23.1%,92.9%,55.5%,22.2%,50.0%,33.3%,33.3%,55.6%,33.3%,11.1%,30.8%
Kahlil Watson LHB,,+560,14,18,3.80,1,2,0.389,0.389,0.667,0.278,0.456,-,37.5%,27.8%,19.4%,92.6,290.2,3,2,15.4%,7.7%,23.1%,53.8%,38.5%,73.3,24.1%,37.9%,24.1%,90.6%,46.2%,23.1%,33.3%,23.1%,38.5%,30.8%,38.5%,30.8%,37.5%
Kyle Manzardo LHB,,+380,30,23,3.40,1,1,0.304,0.304,0.435,0.130,0.323,-,33.3%,30.4%,20.2%,90.7,245.4,4,3,12.5%,6.2%,18.8%,50.0%,37.5%,69.2,2.3%,27.3%,9.1%,88.0%,56.2%,25.0%,0.0%,31.2%,25.0%,37.5%,50.0%,12.5%,40.9%
Austin Hedges RHB,,+940,6,12,2.60,0,1,0.500,0.583,0.500,-,0.485,8.3%,0.0%,8.3%,-,91.1,233.1,1,1,11.1%,11.1%,44.4%,44.4%,55.6%,68.5,14.3%,42.9%,28.6%,100.0%,66.6%,22.2%,0.0%,44.4%,22.2%,66.7%,22.2%,11.1%,8.3%
Travis Bazzana LHB,,+483,21,23,4.60,1,2,0.350,0.435,0.550,0.200,0.425,13.0%,37.2%,26.1%,21.1%,89.5,310.7,5,1,7.1%,7.1%,28.6%,35.7%,28.6%,69.7,15.4%,25.6%,12.8%,97.5%,57.1%,35.7%,20.0%,21.4%,42.9%,57.1%,21.4%,21.4%,50.0%
Brayan Rocchio SHB,,+900,14,21,4.60,0,0,0.350,0.381,0.500,0.150,0.382,4.8%,15.4%,4.8%,8.3%,88.5,218.1,1,0,-,-,21.1%,31.6%,31.6%,70.8,13.9%,36.1%,5.6%,97.3%,73.7%,21.1%,0.0%,52.6%,21.1%,36.8%,36.8%,26.3%,33.3%
Patrick Bailey SHB,,+900,15,16,2.60,0,0,0.333,0.375,0.333,-,0.319,6.2%,34.0%,31.2%,19.3%,88.9,263.1,2,0,-,-,-,30.0%,60.0%,72.9,36.8%,13.2%,5.3%,82.6%,60.0%,30.0%,0.0%,30.0%,40.0%,30.0%,30.0%,40.0%,35.7%
