HR Split,vsLHB
Dates,="9/2/2026"
Games,15

#,TIME,PITCHER,VS,HR RISK,VS LHB,VS RHB,HR/9,BARREL%,HR/FB%,HH%,FB%,MEATBALL%,BF
1,6:40 PM,Justin Hagenman,@,1.92,1.92,0.14,2.45,14.6%,25.0%,53.7%,29.3%,5.4%,49
2,3:10 PM,Tomoyuki Sugano,vs,1.56,1.56,0.45,2.66,11.3%,21.1%,37.6%,33.6%,7.0%,732
3,4:10 PM,Bryce Miller,@,1.09,1.09,0.45,2.28,7.5%,22.8%,38.7%,34.7%,7.5%,482
4,12:40 PM,Brandon Williamson,vs,0.70,0.70,-0.26,2.00,7.4%,27.8%,40.0%,23.7%,3.1%,41
5,8:10 PM,Davis Martin,@,0.69,0.69,0.82,1.74,8.0%,21.2%,46.6%,24.9%,7.3%,664
6,7:40 PM,Drew Anderson,@,0.43,0.43,0.68,1.37,8.9%,18.7%,37.5%,29.6%,7.8%,266
7,8:10 PM,Hayden Wesneski,vs,0.37,0.37,-1.08,1.10,10.5%,17.8%,40.2%,24.2%,10.1%,192
8,7:40 PM,Dean Kremer,vs,0.35,0.35,0.65,1.63,7.4%,19.0%,32.6%,31.3%,5.4%,603
9,3:40 PM,Taylor Clarke,vs,0.34,0.34,0.67,1.38,9.4%,20.1%,38.1%,23.2%,5.9%,248
10,6:40 PM,Griffin Jax,vs,0.28,0.28,-0.43,1.24,8.3%,20.8%,40.2%,25.6%,6.7%,444
11,2:35 PM,Cody Bradford,vs,0.27,0.27,-0.89,1.13,7.9%,7.1%,47.4%,36.8%,9.3%,88
12,3:40 PM,Andrew Painter,@,0.07,0.07,-0.53,1.53,4.7%,19.5%,36.1%,25.4%,6.8%,318
13,7:40 PM,Jacob Misiorowski,@,0.03,0.03,-0.96,1.12,6.4%,16.9%,35.6%,32.8%,7.2%,552
14,1:05 PM,Brad Lord,vs,0.02,0.02,-0.40,1.16,7.7%,17.9%,32.1%,23.2%,9.7%,436
15,7:40 PM,Noah Cameron,vs,-0.04,-0.04,-0.60,0.74,8.8%,10.2%,39.0%,31.4%,10.2%,313
16,9:38 PM,Cam Schlittler,@,-0.07,-0.07,-1.00,0.88,9.0%,5.1%,43.1%,29.1%,8.4%,673
17,6:40 PM,Bubba Chandler,vs,-0.20,-0.20,-1.33,0.84,6.4%,11.6%,47.6%,28.3%,5.6%,425
18,6:40 PM,Joey Cantillo,vs,-0.20,-0.20,0.10,0.62,10.0%,9.0%,43.5%,22.5%,7.9%,285
19,12:40 PM,Casey Mize,@,-0.27,-0.27,2.26,0.91,6.0%,9.7%,34.2%,31.5%,9.8%,670
20,6:40 PM,Dylan Cease,@,-0.27,-0.27,-0.61,0.92,6.5%,16.2%,29.1%,31.4%,5.7%,776
21,6:40 PM,Landen Roupp,@,-0.43,-0.43,-0.54,0.76,8.2%,10.9%,32.3%,25.9%,4.8%,700
22,1:05 PM,Grant Holmes,@,-0.53,-0.53,0.29,0.72,6.0%,9.7%,45.2%,21.0%,5.5%,655
23,4:10 PM,Patrick Sandoval,vs,-0.54,-0.54,0.34,0.77,5.9%,8.6%,37.3%,27.5%,5.4%,105
24,10:10 PM,Yoshinobu Yamamoto,vs,-0.61,-0.61,0.16,0.63,5.4%,19.2%,38.5%,16.4%,5.8%,788
25,9:38 PM,Reid Detmers,vs,-0.63,-0.63,-0.03,0.41,6.8%,2.9%,45.3%,25.6%,8.4%,286
26,7:40 PM,David Peterson,vs,-0.72,-0.72,-0.25,0.62,4.8%,14.6%,37.7%,17.2%,7.4%,354
27,7:40 PM,Eury Perez,@,-0.88,-0.88,0.41,0.37,4.8%,4.3%,38.5%,29.2%,7.0%,570
28,2:35 PM,Jacob Lopez,@,-0.93,-0.93,0.31,0.43,3.9%,7.7%,31.0%,29.1%,8.5%,224
29,3:10 PM,Trevor Rogers,@,-1.79,-1.79,1.17,0.12,2.3%,0.0%,24.4%,13.2%,9.3%,250
