Matchup,TOR @ BOS
Pitcher,Payton Tolle
Pitcher Team,BOS
Opposing Team,TOR

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,5.0,2.80,="7-22",.318,.455,0.137,1,0,0,3,20.7,7,.483,.938
Batting Second,6.2,0.90,="3-24",.125,.333,0.208,1,2,0,2,25.9,3,.222,.555
Batting Third,7.0,0.71,="5-25",.200,.240,0.040,0,1,0,1,16.0,0,.200,.440
Batting Fourth,5.2,1.41,="8-24",.333,.458,0.125,0,3,0,2,29.2,0,.333,.791
Batting Fifth,6.2,0.60,="2-21",.095,.095,0.000,0,0,0,0,39.1,2,.174,.269
Batting Sixth,6.2,0.45,="3-23",.130,.174,0.044,0,1,0,2,13.0,0,.130,.304
Batting Seventh,5.0,1.40,="5-21",.238,.476,0.238,1,2,0,3,30.4,2,.304,.780
Batting Eighth,4.2,1.07,="5-19",.263,.316,0.053,0,1,0,3,19.0,0,.333,.649
Batting Ninth,5.1,0.75,="4-19",.211,.316,0.105,0,2,0,1,35.0,0,.211,.527

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
George Springer RHB,Batting First ​,="39-188",.207,.356,0.149,6,10,0,15,18.9,24,.304,.660
Ernie Clement RHB,Batting Second ​,="20-57",.351,.474,0.123,0,7,0,3,6.8,2,.373,.847
Vladimir Guerrero Jr. RHB,Batting Third ​,="59-210",.281,.367,0.086,2,12,0,23,11.6,27,.368,.735
Alejandro Kirk RHB,Batting Fourth ​,="3-3",1.000,1.333,0.333,0,1,0,2,0.0,1,1.000,2.333
Kazuma Okamoto RHB,Batting Fifth ​,="7-49",.143,.388,0.245,3,3,0,7,27.3,4,.236,.624
Nathan Lukes LHB,Batting Sixth ​,="3-17",.176,.176,0.000,0,0,0,1,20.0,1,.300,.476
Davis Schneider RHB,Batting Seventh ​,="0-12",.000,.000,0.000,0,0,0,0,28.6,8,.400,.400
Andres Gimenez LHB,Batting Eighth ​,="30-129",.233,.372,0.139,4,6,0,20,18.4,5,.286,.658
Myles Straw RHB,Batting Ninth ​,="0-6",.000,.000,0.000,0,0,0,0,0.0,0,.000,.000
