Matchup,CHC @ MIL
Pitcher,Colin Rea
Pitcher Team,CHC
Opposing Team,MIL

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,79.1,347,0.265,0.332,0.428,0.163,1.40,12,1.36,8.1%,20.5%,17.0%,14.5%,9.6%,6.69,63.9%,7.4%,11.8%,42.0%,27.8%,12.7%,15.7%
vsLHB,43.2,207,0.308,0.356,0.438,0.130,1.74,4,0.82,9.2%,22.0%,17.9%,14.1%,10.2%,7.63,67.1%,7.0%,8.1%,41.6%,19.5%,13.8%,14.8%
vsRHB,33.2,140,0.203,0.295,0.414,0.211,1.04,8,2.14,6.4%,18.1%,15.7%,15.3%,8.7%,5.88,59.0%,7.9%,17.0%,42.5%,39.6%,11.9%,17.0%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
William Contreras RHB,,+564,20,25,4.40,2,3,0.409,0.480,0.682,0.273,0.495,12.0%,7.4%,4.0%,2.7%,96.0,300.4,7,5,14.3%,4.8%,14.3%,66.7%,52.4%,73.4,24.0%,68.0%,36.0%,92.6%,28.6%,33.3%,33.3%,33.3%,28.6%,42.9%,28.6%,37.0%
Gary Sanchez RHB,—,N/A,28,11,2.80,2,2,0.500,0.545,1.100,0.600,0.684,9.1%,21.1%,36.4%,7.7%,96.4,386.0,2,2,33.3%,33.3%,33.3%,50.0%,50.0%,70.4,18.2%,27.3%,18.2%,84.6%,33.3%,100.0%,16.7%,50.0%,66.7%,33.3%,-,21.4%
David Hamilton LHB,,+1080,13,15,3.20,1,1,0.286,0.333,0.571,0.286,0.387,6.7%,38.5%,46.7%,16.9%,81.3,301.9,2,1,14.3%,-,-,28.6%,57.1%,69.7,11.1%,16.7%,11.1%,100.0%,14.3%,100.0%,42.9%,28.6%,28.6%,14.3%,57.1%,30.8%
Jake Bauers LHB,,+374,17,9,4.00,1,1,0.571,0.667,1.000,0.429,0.674,22.2%,31.2%,22.2%,13.2%,102.6,305.3,2,1,20.0%,20.0%,40.0%,100.0%,60.0%,76.4,57.1%,28.6%,28.6%,93.3%,40.0%,50.0%,40.0%,20.0%,40.0%,20.0%,40.0%,42.9%
Joey Ortiz RHB,—,N/A,9,23,3.60,0,0,0.190,0.217,0.238,0.048,0.200,4.3%,19.5%,17.4%,10.8%,89.7,292.5,4,1,-,-,11.1%,22.2%,27.8%,72.9,21.2%,24.2%,6.1%,94.3%,22.2%,0.0%,16.7%,61.1%,27.8%,61.1%,11.1%,40.9%
Jackson Chourio RHB,,+390,35,23,4.40,0,0,0.143,0.217,0.190,0.048,0.192,4.3%,21.6%,30.4%,9.5%,92.7,221.1,1,0,7.1%,-,7.1%,35.7%,21.4%,74.7,48.4%,35.5%,16.1%,86.1%,14.3%,0.0%,7.1%,64.3%,35.7%,42.9%,21.4%,28.6%
Cooper Pratt RHB,,+940,12,18,3.40,0,0,0.250,0.333,0.250,-,0.270,11.1%,28.1%,22.2%,13.2%,91.1,224.3,1,1,9.1%,-,9.1%,36.4%,36.4%,69.1,3.4%,27.6%,10.3%,90.6%,9.1%,0.0%,45.5%,45.5%,27.3%,36.4%,36.4%,29.4%
Andrew Vaughn RHB,—,N/A,11,13,2.60,0,0,0.167,0.538,0.167,-,0.368,46.2%,18.2%,15.4%,2.9%,84.7,199.7,1,1,20.0%,-,40.0%,40.0%,20.0%,70.7,14.3%,28.6%,14.3%,87.5%,20.0%,0.0%,20.0%,40.0%,80.0%,20.0%,-,7.1%
Christian Yelich LHB,,+563,29,11,4.80,0,0,-,0.182,-,-,0.118,18.2%,17.4%,18.2%,6.6%,86.0,293.3,1,0,14.3%,14.3%,28.6%,28.6%,14.3%,73.4,33.3%,13.3%,6.7%,100.0%,28.6%,0.0%,14.3%,57.1%,42.9%,42.9%,14.3%,27.3%
Blake Perkins SHB,—,N/A,10,10,2.00,0,1,0.100,0.100,0.100,-,0.089,-,23.8%,20.0%,11.9%,82.5,257.7,1,1,-,-,12.5%,50.0%,-,70.0,5.6%,27.8%,5.6%,94.7%,37.5%,0.0%,-,37.5%,37.5%,25.0%,37.5%,8.3%
