Matchup,ATH @ SF
Pitcher,Aaron Civale
Pitcher Team,ATH
Opposing Team,SF

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,58.2,265,0.305,0.373,0.527,0.222,1.59,12,1.84,7.2%,20.3%,15.1%,14.3%,9.2%,6.14,66.2%,7.1%,9.8%,48.0%,33.3%,16.2%,27.0%
vsLHB,32.1,157,0.324,0.402,0.570,0.246,1.86,8,2.23,8.9%,17.3%,12.1%,11.5%,7.3%,5.29,62.2%,7.3%,8.2%,46.7%,35.2%,18.6%,27.0%
vsRHB,25.2,108,0.277,0.331,0.465,0.188,1.29,4,1.40,4.6%,24.2%,19.4%,18.4%,12.2%,7.36,71.8%,6.8%,12.2%,50.0%,30.5%,12.0%,26.8%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Bryce Eldridge LHB,—,N/A,37,21,4.60,3,4,0.533,0.667,1.133,0.600,0.697,28.6%,15.2%,9.5%,6.2%,98.5,340.2,6,4,38.5%,15.4%,23.1%,76.9%,30.8%,74.0,40.0%,33.3%,26.7%,90.9%,38.5%,60.0%,23.1%,38.5%,53.8%,46.2%,-,18.8%
Matt Chapman RHB,—,N/A,23,17,4.40,2,2,0.385,0.471,0.846,0.462,0.523,11.8%,18.5%,17.6%,7.5%,88.4,337.4,3,2,18.2%,-,-,45.5%,27.3%,76.1,72.7%,18.2%,13.6%,88.0%,18.2%,50.0%,18.2%,63.6%,18.2%,63.6%,18.2%,19.0%
Eric Haase RHB,—,N/A,29,11,3.80,2,2,0.300,0.364,0.900,0.600,0.522,9.1%,26.9%,18.2%,12.5%,87.0,384.6,3,3,37.5%,12.5%,12.5%,50.0%,25.0%,72.9,34.8%,17.4%,17.4%,92.0%,25.0%,100.0%,12.5%,50.0%,25.0%,75.0%,-,20.0%
Luis Arraez LHB,—,N/A,5,26,4.80,1,3,0.320,0.346,0.640,0.320,0.417,3.8%,4.2%,-,1.8%,89.3,287.2,9,5,-,-,20.0%,36.0%,36.0%,62.9,-,48.8%,2.4%,91.1%,40.0%,10.0%,24.0%,36.0%,24.0%,40.0%,36.0%,9.7%
Rafael Devers LHB,—,N/A,31,18,4.20,1,1,0.250,0.500,0.500,0.250,0.432,33.3%,33.3%,33.3%,11.6%,98.1,275.3,2,2,-,-,16.7%,66.7%,33.3%,71.6,29.0%,19.4%,12.9%,93.9%,33.3%,50.0%,33.3%,16.7%,33.3%,33.3%,33.3%,33.3%
Drew Gilbert LHB,—,N/A,12,23,3.80,0,1,0.250,0.478,0.375,0.125,0.388,26.1%,15.4%,8.7%,4.2%,84.1,277.3,2,1,-,-,7.1%,35.7%,42.9%,68.9,-,33.3%,16.7%,92.3%,14.3%,0.0%,28.6%,50.0%,42.9%,35.7%,21.4%,11.5%
Jung Hoo Lee LHB,—,N/A,14,22,4.00,0,1,0.211,0.273,0.316,0.105,0.255,9.1%,13.9%,-,6.2%,87.5,277.0,6,2,-,-,10.0%,25.0%,40.0%,68.1,-,47.1%,5.9%,94.4%,30.0%,0.0%,35.0%,30.0%,35.0%,40.0%,25.0%,28.6%
Willy Adames RHB,—,N/A,21,13,4.00,0,0,0.077,0.077,0.077,-,0.068,-,10.7%,7.7%,5.4%,90.5,228.0,2,0,-,-,8.3%,41.7%,33.3%,74.0,32.0%,28.0%,8.0%,92.6%,25.0%,0.0%,8.3%,50.0%,33.3%,41.7%,25.0%,25.0%
Casey Schmitt RHB,—,N/A,30,13,4.00,0,0,0.385,0.385,0.385,-,0.342,-,12.0%,7.7%,7.7%,83.0,206.3,1,0,-,-,16.7%,25.0%,33.3%,72.0,30.4%,26.1%,8.7%,92.0%,8.3%,0.0%,41.7%,33.3%,33.3%,33.3%,33.3%,46.2%
Daniel Susac RHB,—,N/A,16,11,3.60,0,1,0.222,0.273,0.222,-,0.227,-,9.5%,-,4.5%,81.7,252.4,2,1,10.0%,10.0%,10.0%,10.0%,50.0%,68.9,5.0%,20.0%,5.0%,95.2%,30.0%,0.0%,20.0%,40.0%,50.0%,20.0%,30.0%,25.0%
Victor Bericoto RHB,—,N/A,-,3,1.80,0,0,-,-,-,-,-,-,0.0%,-,-,81.1,-,0,0,-,-,-,33.3%,-,77.2,66.7%,33.3%,33.3%,100.0%,-,-,-,100.0%,100.0%,-,-,100.0%
Jonah Cox RHB,—,N/A,-,2,2.20,0,0,0.500,0.500,0.500,-,0.445,-,75.0%,50.0%,42.9%,95.3,226.0,0,0,-,-,-,100.0%,100.0%,73.3,-,25.0%,-,100.0%,-,-,100.0%,-,-,-,100.0%,0.0%
