Matchup,CHC @ COL
Pitcher,Ryan Feltner
Pitcher Team,COL
Opposing Team,CHC

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,32.0,130,0.227,0.315,0.445,0.218,1.16,5,1.41,7.7%,24.3%,17.7%,20.5%,11.9%,6.47,57.3%,9.8%,12.5%,44.8%,30.2%,17.2%,14.6%
vsLHB,16.1,62,0.158,0.243,0.333,0.175,0.80,2,1.10,6.5%,30.0%,24.2%,26.3%,14.2%,8.27,58.7%,11.6%,11.9%,42.9%,23.8%,20.0%,9.5%
vsRHB,15.1,68,0.290,0.380,0.548,0.258,1.57,3,1.76,8.8%,19.2%,11.8%,14.5%,9.7%,4.70,55.9%,8.0%,13.0%,46.3%,35.2%,15.8%,18.5%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Pete Crow-Armstrong LHB,,+310,16,26,4.40,2,3,0.333,0.385,0.667,0.333,0.448,3.8%,31.4%,30.8%,15.7%,89.4,297.6,7,4,12.5%,12.5%,31.2%,50.0%,68.8%,75.9,56.8%,22.7%,15.9%,89.8%,56.2%,22.2%,25.0%,12.5%,37.5%,43.8%,18.8%,30.8%
Ian Happ SHB,,+410,33,19,3.60,2,2,0.312,0.421,0.938,0.625,0.542,15.8%,34.1%,31.6%,15.4%,93.4,281.1,4,2,20.0%,20.0%,50.0%,50.0%,70.0%,72.8,38.5%,17.9%,12.8%,95.1%,40.0%,50.0%,40.0%,20.0%,60.0%,30.0%,10.0%,36.4%
Alex Bregman RHB,,+540,25,27,4.40,1,2,0.217,0.296,0.391,0.174,0.296,11.1%,14.6%,11.1%,7.1%,87.3,263.0,5,1,4.8%,4.8%,38.1%,33.3%,33.3%,70.6,5.3%,34.2%,10.5%,95.0%,33.3%,14.3%,23.8%,28.6%,52.4%,28.6%,19.0%,23.8%
Seiya Suzuki RHB,,+410,41,24,4.00,1,2,0.261,0.292,0.435,0.174,0.316,4.2%,30.6%,25.0%,15.5%,90.0,256.7,3,3,11.8%,5.9%,5.9%,41.2%,29.4%,73.5,32.6%,32.6%,14.0%,87.8%,11.8%,50.0%,35.3%,52.9%,41.2%,47.1%,11.8%,17.4%
Miguel Amaya RHB,—,N/A,18,22,2.40,1,2,0.105,0.227,0.316,0.211,0.245,9.1%,25.0%,18.2%,11.5%,84.4,249.7,3,2,13.3%,13.3%,26.7%,26.7%,33.3%,71.0,24.2%,24.2%,9.1%,97.1%,46.7%,14.3%,6.7%,33.3%,46.7%,40.0%,13.3%,26.3%
Michael Busch LHB,,+424,14,21,4.40,1,2,0.381,0.381,0.571,0.190,0.415,-,30.0%,28.6%,16.0%,89.3,271.3,3,2,6.7%,6.7%,6.7%,26.7%,33.3%,67.7,8.1%,29.7%,10.8%,92.5%,26.7%,25.0%,26.7%,40.0%,26.7%,46.7%,26.7%,40.0%
Matt Shaw RHB,—,N/A,15,16,2.40,1,1,0.200,0.250,0.400,0.200,0.283,6.2%,18.2%,12.5%,9.2%,75.4,236.4,3,1,-,-,7.7%,38.5%,30.8%,68.4,6.7%,20.0%,6.7%,90.9%,23.1%,33.3%,15.4%,30.8%,30.8%,38.5%,30.8%,21.4%
Carson Kelly RHB,,+680,11,29,3.00,0,0,0.259,0.310,0.259,-,0.262,3.4%,15.2%,10.3%,8.1%,82.8,228.0,3,1,-,-,25.0%,29.2%,37.5%,70.7,2.4%,31.7%,4.9%,89.1%,8.3%,0.0%,29.2%,45.8%,37.5%,50.0%,12.5%,46.4%
Nico Hoerner RHB,,+1000,17,29,3.80,0,0,0.148,0.207,0.148,-,0.168,6.9%,7.9%,-,3.2%,90.3,256.3,5,2,-,-,3.7%,33.3%,37.0%,68.9,-,56.8%,13.5%,97.4%,7.4%,0.0%,33.3%,55.6%,25.9%,59.3%,14.8%,25.0%
Moisés Ballesteros LHB,,+598,30,22,2.60,0,1,0.143,0.182,0.143,-,0.151,4.5%,35.0%,36.4%,18.4%,82.4,227.3,3,0,-,-,30.8%,23.1%,23.1%,74.1,38.2%,17.6%,5.9%,87.2%,15.4%,0.0%,23.1%,46.2%,61.5%,15.4%,23.1%,23.8%
Dansby Swanson RHB,,+550,35,21,3.80,0,0,0.294,0.429,0.412,0.118,0.372,19.0%,31.6%,19.0%,12.5%,89.8,238.7,1,0,-,-,23.1%,30.8%,38.5%,71.2,20.0%,31.4%,8.6%,94.6%,30.8%,0.0%,30.8%,38.5%,46.2%,23.1%,30.8%,29.2%
Pedro Ramirez SHB,—,N/A,20,17,2.80,0,0,0.267,0.353,0.333,0.067,0.308,11.8%,13.6%,5.9%,7.1%,95.8,273.1,1,0,-,-,-,64.3%,7.1%,73.0,30.0%,55.0%,35.0%,90.9%,7.1%,0.0%,7.1%,85.7%,50.0%,50.0%,-,40.0%
Michael Conforto LHB,—,N/A,27,15,2.20,0,1,0.077,0.200,0.154,0.077,0.171,13.3%,45.2%,46.7%,19.7%,91.6,335.2,3,1,16.7%,-,16.7%,50.0%,16.7%,71.7,29.2%,8.3%,8.3%,92.3%,50.0%,0.0%,-,50.0%,50.0%,16.7%,33.3%,38.9%
