Split,Season
Range,Season
Dates,="8/14/2026"
Games,14

,STATS,STATCAST
TIME,PITCHER,VS,IP,BF,FIP,AVG,WOBA,WHIP,ISO,SLG,HR,HR/9,TB,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,BB,BB%,1STPS%,MEATBALL%,BBE,HH%,BARRELS,BARREL%,FB%,HR/FB%,PULLAIR%
7:10 PM,Robert Stock,vs,8.0,41,4.97,0.343,0.422,2.12,0.200,0.543,1,1.12,19,30.3%,19.5%,23.5%,15.2%,9.00,5,12.2%,57.1%,7.3%,27,25.9%,3,11.1%,29.6%,12.5%,22.2%
7:10 PM,Chris Bassitt,@,56.1,261,4.77,0.307,0.365,1.63,0.140,0.447,6,0.96,102,21.2%,14.2%,14.8%,9.7%,5.91,22,8.4%,57.4%,7.3%,194,34.5%,8,4.1%,22.2%,14.0%,14.9%
10:15 PM,Kyle Freeland,@,112.2,510,4.67,0.301,0.372,1.50,0.232,0.533,21,1.68,253,22.8%,18.8%,18.0%,11.6%,7.67,26,5.1%,65.3%,7.9%,382,42.4%,41,10.7%,30.6%,17.1%,17.5%
2:20 PM,Matthew Liberatore,@,113.2,500,4.72,0.291,0.361,1.52,0.186,0.478,20,1.58,213,22.9%,22.0%,19.3%,10.8%,8.71,43,8.6%,60.9%,7.0%,342,42.1%,30,8.8%,28.7%,17.3%,21.9%
9:38 PM,Grayson Rodriguez,vs,55.0,254,5.10,0.289,0.377,1.62,0.229,0.518,9,1.47,113,23.7%,19.7%,15.2%,11.4%,8.18,26,10.2%,58.7%,7.8%,173,49.7%,19,11.0%,28.3%,16.3%,18.5%
7:15 PM,Shane Bieber,vs,42.2,195,5.96,0.281,0.368,1.66,0.211,0.491,9,1.90,84,23.8%,16.4%,18.2%,10.2%,6.75,23,11.8%,57.9%,5.9%,140,44.3%,15,10.7%,24.3%,26.5%,18.6%
8:10 PM,George Kirby,@,132.0,543,3.70,0.274,0.320,1.27,0.155,0.429,16,1.09,219,22.2%,20.4%,18.3%,11.6%,7.57,28,5.2%,64.7%,7.9%,400,41.5%,30,7.5%,26.0%,13.5%,11.8%
9:38 PM,Seth Lugo,@,134.2,571,4.24,0.270,0.337,1.37,0.175,0.445,16,1.07,229,18.5%,18.2%,17.3%,8.5%,6.95,45,7.9%,66.0%,8.3%,416,42.3%,35,8.4%,30.8%,12.5%,15.6%
9:40 PM,Kumar Rocker,@,111.0,481,4.33,0.257,0.327,1.38,0.171,0.428,16,1.30,185,26.2%,21.4%,20.9%,12.6%,8.35,42,8.7%,56.2%,6.9%,333,41.1%,26,7.8%,22.8%,15.8%,18.3%
7:10 PM,Andrew Alvarez,@,69.1,296,3.11,0.251,0.307,1.40,0.097,0.347,2,0.26,90,26.6%,22.0%,19.7%,12.0%,8.44,32,10.8%,52.3%,6.4%,196,42.3%,9,4.6%,16.8%,6.1%,15.3%
10:10 PM,Robert Gasser,@,67.0,286,4.53,0.246,0.324,1.22,0.192,0.438,11,1.48,114,22.0%,21.3%,16.4%,11.1%,8.19,18,6.3%,67.8%,8.4%,200,32.5%,12,6.0%,29.0%,17.2%,21.0%
7:15 PM,Brandon Pfaadt,@,85.2,356,4.03,0.243,0.296,1.20,0.129,0.372,8,0.84,121,20.3%,15.2%,15.6%,9.8%,5.67,24,6.7%,67.7%,8.1%,274,35.4%,21,7.7%,22.3%,13.1%,13.5%
6:10 PM,Sandy Alcantara,@,163.2,674,3.81,0.241,0.291,1.17,0.129,0.370,17,0.93,230,21.9%,18.7%,18.2%,11.2%,6.93,42,6.2%,63.7%,7.4%,497,35.8%,28,5.6%,23.9%,12.6%,14.7%
7:10 PM,Steven Matz,vs,62.2,265,5.11,0.238,0.321,1.23,0.213,0.450,12,1.72,108,21.7%,18.1%,15.5%,10.2%,6.89,20,7.5%,60.4%,7.8%,195,35.9%,23,11.8%,27.2%,20.8%,15.4%
7:15 PM,Gerrit Cole,@,80.2,327,3.39,0.227,0.285,1.08,0.168,0.395,11,1.23,122,21.4%,26.6%,23.0%,10.4%,9.71,17,5.2%,66.7%,7.8%,222,41.9%,19,8.6%,31.1%,14.5%,22.5%
6:40 PM,Jake Bennett,@,76.2,305,3.26,0.226,0.255,1.04,0.085,0.311,5,0.59,88,23.4%,18.0%,18.5%,12.3%,6.46,16,5.2%,64.4%,7.8%,231,35.5%,12,5.2%,25.1%,8.6%,11.7%
6:40 PM,Bubba Chandler,vs,116.1,507,4.17,0.224,0.302,1.38,0.128,0.352,10,0.77,154,23.5%,20.3%,16.4%,11.2%,7.97,62,12.2%,60.9%,7.3%,337,37.4%,20,5.9%,28.2%,10.5%,12.5%
10:15 PM,Landen Roupp,vs,123.2,522,3.55,0.224,0.294,1.29,0.120,0.344,9,0.65,158,25.3%,23.4%,19.3%,10.9%,8.88,57,10.9%,58.0%,4.8%,338,29.0%,14,4.1%,21.0%,12.7%,13.0%
2:20 PM,Clay Holmes,vs,56.2,232,3.51,0.219,0.271,1.16,0.100,0.319,4,0.64,67,21.0%,19.8%,18.1%,10.0%,7.31,20,8.6%,59.7%,7.5%,165,44.8%,9,5.5%,20.6%,11.8%,14.5%
7:15 PM,Chris Sale,vs,123.0,494,2.42,0.216,0.259,1.02,0.088,0.304,8,0.59,138,30.7%,30.6%,23.1%,15.4%,11.05,28,5.7%,64.1%,6.4%,305,33.4%,18,5.9%,23.6%,11.1%,13.1%
6:40 PM,Sean Newcomb,@,64.1,263,2.99,0.215,0.268,1.13,0.099,0.313,2,0.28,73,24.6%,22.8%,21.4%,10.9%,8.39,23,8.7%,61.1%,8.0%,174,35.6%,10,5.7%,19.0%,3.0%,13.8%
7:10 PM,Michael King,@,136.1,558,4.19,0.213,0.287,1.17,0.126,0.339,15,0.99,167,25.7%,21.3%,18.1%,11.9%,7.86,55,9.9%,62.6%,6.0%,374,32.6%,32,8.6%,26.5%,14.1%,12.8%
8:10 PM,Peter Lambert,vs,113.2,472,3.91,0.208,0.278,1.15,0.117,0.325,12,0.95,136,25.5%,23.3%,18.8%,12.4%,8.71,44,9.3%,62.4%,7.4%,309,36.9%,21,6.8%,33.7%,11.5%,15.2%
6:10 PM,Chase Burns,vs,124.0,501,3.29,0.206,0.275,1.12,0.139,0.345,13,0.94,156,31.7%,28.5%,22.6%,15.6%,10.38,46,9.2%,59.2%,6.4%,311,37.3%,24,7.7%,28.9%,13.3%,17.0%
7:10 PM,Gavin Williams,vs,144.2,573,3.45,0.206,0.278,1.04,0.168,0.374,22,1.37,198,31.2%,32.1%,23.8%,15.6%,11.45,41,7.2%,63.2%,8.7%,344,46.8%,39,11.3%,25.3%,23.0%,15.7%
10:10 PM,Yoshinobu Yamamoto,vs,139.1,533,3.45,0.186,0.241,0.89,0.125,0.311,15,0.97,154,25.8%,23.8%,20.1%,12.7%,8.20,32,6.0%,61.2%,6.7%,370,34.9%,24,6.5%,24.6%,14.3%,17.8%
6:40 PM,Jackson Jobe,vs,5.0,16,2.10,0.067,0.098,0.40,-,0.067,0,-,1,25.0%,25.0%,16.0%,12.7%,7.20,1,6.2%,56.2%,2.8%,11,36.4%,1,9.1%,36.4%,-,18.2%
