Matchup,MIL @ ARI
Pitcher,Kyle Harrison
Pitcher Team,MIL
Opposing Team,ARI

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,53.0,213,0.219,0.273,0.368,0.149,1.04,7,1.19,5.2%,29.8%,31.0%,22.4%,14.6%,11.21,65.3%,7.6%,6.7%,34.1%,31.1%,16.7%,17.0%
vsLHB,18.0,70,0.194,0.224,0.284,0.090,0.89,1,0.50,4.3%,24.8%,30.0%,21.2%,11.8%,10.50,67.1%,8.8%,4.3%,23.9%,23.9%,9.1%,15.2%
vsRHB,35.0,143,0.231,0.297,0.410,0.179,1.11,6,1.54,5.6%,32.2%,31.5%,23.1%,16.0%,11.57,64.3%,7.1%,7.9%,39.3%,34.8%,19.4%,18.0%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Ketel Marte SHB,,+366,30,15,4.20,1,2,0.286,0.333,0.500,0.214,0.361,6.7%,0.0%,6.7%,-,96.7,281.8,4,2,7.7%,7.7%,23.1%,46.2%,38.5%,80.0,90.0%,30.0%,25.0%,100.0%,69.3%,46.2%,16.7%,23.1%,23.1%,30.8%,61.5%,7.7%,22.2%
Tommy Troy RHB,,+1020,4,6,3.00,1,1,0.833,0.833,1.667,0.833,1.065,-,15.4%,-,6.9%,87.3,282.2,2,2,33.3%,16.7%,16.7%,50.0%,66.7%,72.5,36.4%,27.3%,27.3%,84.6%,83.3%,50.0%,33.3%,33.3%,16.7%,16.7%,50.0%,33.3%,12.5%
Nolan Arenado RHB,,+750,25,14,3.60,0,0,0.214,0.214,0.214,-,0.191,-,15.4%,-,8.9%,88.6,279.0,6,2,-,-,23.1%,30.8%,53.8%,73.2,30.4%,34.8%,4.3%,92.0%,84.7%,46.2%,0.0%,38.5%,15.4%,23.1%,53.8%,23.1%,40.0%
Lourdes Gurriel Jr. RHB,,+870,7,13,4.20,0,0,0.083,0.154,0.083,-,0.118,7.7%,17.4%,7.7%,9.8%,80.3,175.9,1,1,-,-,9.1%,9.1%,18.2%,69.7,9.1%,27.3%,4.5%,100.0%,18.2%,-,-,18.2%,54.5%,45.5%,18.2%,36.4%,54.5%
Geraldo Perdomo SHB,,+1080,18,11,4.20,0,0,0.333,0.455,0.333,-,0.361,18.2%,12.5%,9.1%,4.8%,77.2,202.0,0,0,-,-,-,12.5%,25.0%,68.5,-,19.0%,-,87.5%,37.5%,-,-,37.5%,50.0%,37.5%,37.5%,25.0%,14.3%
Jorge Barrosa SHB,—,N/A,17,11,2.60,0,1,0.111,0.273,0.222,0.111,0.233,18.2%,11.8%,9.1%,4.5%,82.6,312.3,4,0,-,-,25.0%,12.5%,37.5%,70.0,-,33.3%,-,93.8%,62.5%,37.5%,0.0%,25.0%,25.0%,50.0%,25.0%,25.0%,30.0%
Ildemaro Vargas SHB,,+1000,20,10,3.00,0,0,0.111,0.200,0.111,-,0.154,10.0%,0.0%,-,-,83.0,302.0,1,0,-,-,11.1%,11.1%,22.2%,71.4,31.6%,15.8%,5.3%,100.0%,33.3%,22.2%,0.0%,11.1%,66.7%,33.3%,33.3%,33.3%,44.4%
Corbin Carroll LHB,,+560,28,10,4.20,0,0,0.143,0.400,0.143,-,0.284,30.0%,47.6%,30.0%,26.3%,96.1,255.5,0,0,-,-,33.3%,66.7%,-,77.0,75.0%,10.0%,5.0%,95.2%,66.7%,66.7%,0.0%,-,33.3%,66.7%,-,33.3%,58.3%
Gabriel Moreno RHB,,+810,33,9,3.60,0,0,0.167,0.444,0.167,-,0.315,33.3%,20.0%,11.1%,6.1%,93.9,251.8,0,0,-,-,-,40.0%,40.0%,72.1,28.6%,28.6%,7.1%,100.0%,60.0%,20.0%,0.0%,40.0%,40.0%,20.0%,20.0%,60.0%,0.0%
LuJames Groover RHB,,+1100,7,8,3.60,0,0,-,-,-,-,-,-,20.0%,25.0%,9.5%,85.7,291.0,3,0,-,-,-,16.7%,-,70.0,-,29.4%,5.9%,85.0%,50.0%,50.0%,0.0%,-,33.3%,16.7%,33.3%,50.0%,25.0%
Adrian Del Castillo LHB,—,N/A,9,4,3.20,0,0,0.250,0.250,0.250,-,0.222,-,22.2%,50.0%,9.5%,90.6,285.6,1,0,-,-,-,50.0%,50.0%,70.2,-,28.6%,-,87.5%,100.0%,50.0%,0.0%,50.0%,-,-,50.0%,50.0%,33.3%
