HR Split,Overall
Dates,="8/27/2026"
Games,20

#,TIME,PITCHER,VS,HR RISK,VS LHB,VS RHB,HR/9,BARREL%,HR/FB%,HH%,FB%,MEATBALL%,BF
1,1:05 PM,Jake Irvin,vs,1.63,1.29,1.36,2.04,11.5%,24.1%,44.7%,30.5%,7.9%,1237
2,7:10 PM,Sean Manaea,vs,1.62,0.62,1.57,1.81,14.7%,17.6%,45.5%,34.4%,8.2%,898
3,7:07 PM,Spencer Arrighetti,vs,0.68,1.13,0.04,1.60,9.5%,20.0%,33.1%,29.9%,5.7%,646
4,9:45 PM,Jose Cabrera,@,0.37,0.74,-0.02,1.56,6.7%,20.0%,35.0%,25.0%,6.0%,162
5,2:15 PM,Trevor Rogers,@,-0.03,-1.50,0.53,1.00,7.7%,13.0%,38.7%,24.0%,9.0%,1100
6,7:10 PM,Jacob Misiorowski,@,-0.06,0.36,-0.70,1.02,5.6%,18.0%,32.6%,29.6%,7.4%,979
7,1:05 PM,Gabriel Hughes,@,-0.18,-0.50,0.66,1.22,5.4%,18.2%,30.5%,22.8%,6.3%,293
8,7:05 PM,Hayden Wesneski,@,-0.22,0.49,-0.87,0.85,6.9%,10.4%,40.3%,26.4%,7.9%,357
9,7:05 PM,Gerrit Cole,vs,-0.48,-0.28,-0.60,0.71,5.0%,9.9%,39.8%,25.6%,8.7%,497
10,7:15 PM,Yoshinobu Yamamoto,@,-0.59,-1.03,0.21,0.71,5.6%,13.0%,38.3%,21.4%,6.2%,1539
11,9:45 PM,Landen Roupp,vs,-0.72,-0.42,-0.73,0.72,6.7%,11.1%,29.2%,24.3%,4.8%,1167
12,7:07 PM,Noah Cameron,@,-0.83,-0.03,-0.71,0.53,4.6%,7.2%,35.0%,26.6%,8.0%,1283
13,7:15 PM,Chris Sale,vs,-1.20,-0.88,-0.73,0.34,4.4%,5.7%,38.0%,21.7%,5.6%,1168
