Matchup,NYM @ PHI
Pitcher,Sean Manaea
Pitcher Team,NYM
Opposing Team,PHI

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,49.0,214,0.257,0.327,0.424,0.168,1.35,6,1.10,7.9%,22.8%,23.8%,18.8%,10.8%,9.37,54.9%,7.3%,9.2%,38.0%,25.4%,16.7%,24.6%
vsLHB,17.0,71,0.250,0.292,0.397,0.147,1.12,2,1.06,2.8%,27.6%,31.0%,25.0%,13.1%,11.65,60.6%,9.7%,6.5%,34.8%,13.0%,33.3%,8.7%
vsRHB,32.0,143,0.260,0.346,0.439,0.179,1.47,4,1.12,10.5%,20.6%,20.3%,15.8%,9.8%,8.16,52.1%,6.2%,10.4%,39.6%,31.2%,13.3%,32.3%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Bryce Harper LHB,,+430,22,10,4.40,0,1,0.333,0.500,0.500,0.167,0.411,30.0%,23.1%,10.0%,9.7%,90.6,276.8,2,0,-,-,50.0%,50.0%,50.0%,74.8,54.5%,18.2%,13.6%,88.0%,-,-,50.0%,50.0%,66.7%,16.7%,16.7%,31.2%
Edmundo Sosa RHB,,+549,34,7,2.80,2,2,0.500,0.429,1.500,1.000,0.727,-,28.6%,14.3%,15.8%,90.6,306.7,2,2,16.7%,16.7%,33.3%,50.0%,33.3%,72.3,23.8%,14.3%,9.5%,100.0%,50.0%,66.7%,16.7%,33.3%,50.0%,16.7%,33.3%,45.5%
Alec Bohm RHB,,+610,26,13,3.60,0,0,0.273,0.308,0.273,-,0.255,7.7%,13.6%,23.1%,7.1%,91.4,241.4,3,1,11.1%,11.1%,22.2%,22.2%,55.6%,70.2,9.5%,38.1%,9.5%,100.0%,22.2%,0.0%,44.4%,33.3%,44.4%,22.2%,33.3%,60.0%
Brandon Marsh LHB,,+790,21,16,4.40,1,1,0.400,0.438,0.667,0.267,0.478,-,25.9%,18.8%,12.3%,93.2,269.4,1,1,8.3%,-,16.7%,58.3%,41.7%,72.8,28.0%,32.0%,16.0%,92.6%,33.3%,25.0%,25.0%,41.7%,50.0%,25.0%,25.0%,20.0%
Kyle Schwarber LHB,,+223,30,17,4.60,0,1,0.308,0.471,0.308,-,0.362,23.5%,37.0%,23.5%,14.3%,89.3,240.3,1,1,-,-,12.5%,37.5%,50.0%,76.9,79.2%,16.7%,12.5%,92.3%,12.5%,0.0%,50.0%,25.0%,25.0%,62.5%,12.5%,26.3%
Derek Hill RHB,,+810,31,12,2.80,0,0,0.083,0.083,0.167,0.083,0.106,-,37.5%,33.3%,22.5%,84.2,280.1,1,0,-,-,12.5%,25.0%,37.5%,72.7,34.8%,26.1%,-,95.8%,37.5%,0.0%,25.0%,25.0%,37.5%,25.0%,37.5%,50.0%
Trea Turner RHB,,+600,20,13,4.40,0,1,0.250,0.308,0.333,0.083,0.285,7.7%,11.1%,7.7%,6.2%,88.3,302.3,3,3,-,-,9.1%,27.3%,45.5%,71.2,19.2%,11.5%,3.8%,100.0%,18.2%,0.0%,36.4%,36.4%,18.2%,63.6%,18.2%,33.3%
J.T. Realmuto RHB,,+610,18,18,4.00,0,0,0.143,0.333,0.143,-,0.247,16.7%,23.1%,16.7%,11.8%,92.1,266.2,4,0,-,-,-,18.2%,36.4%,72.5,21.7%,34.8%,8.7%,92.0%,18.2%,0.0%,36.4%,36.4%,27.3%,36.4%,36.4%,43.8%
Justin Crawford LHB,—,N/A,5,9,2.60,0,0,0.375,0.444,0.375,-,0.369,11.1%,29.4%,22.2%,12.5%,69.5,196.8,0,0,-,-,-,33.3%,33.3%,68.1,-,16.7%,8.3%,70.6%,-,-,16.7%,50.0%,33.3%,33.3%,33.3%,33.3%
Bryson Stott LHB,,+820,14,9,4.00,0,0,0.222,0.222,0.222,-,0.198,-,23.5%,22.2%,9.8%,85.5,285.9,4,2,14.3%,-,-,28.6%,28.6%,67.8,-,31.2%,6.2%,94.1%,57.1%,0.0%,14.3%,14.3%,14.3%,42.9%,42.9%,21.4%
Rafael Marchan SHB,—,N/A,11,7,2.80,0,0,0.143,0.143,0.143,-,0.127,-,0.0%,14.3%,-,77.4,287.4,0,0,-,-,-,16.7%,16.7%,65.6,-,10.0%,-,90.9%,16.7%,0.0%,16.7%,66.7%,50.0%,50.0%,-,20.0%
Garrett Stubbs LHB,—,N/A,-,2,3.00,0,0,-,-,-,-,-,-,50.0%,50.0%,50.0%,79.4,-,0,0,-,-,-,-,-,66.7,-,-,-,100.0%,-,-,-,100.0%,100.0%,-,-,-
