Matchup,MIL @ COL
Pitcher,Jacob Misiorowski
Pitcher Team,MIL
Opposing Team,COL

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,71.0,273,0.150,0.204,0.211,0.061,0.79,4,0.51,7.0%,38.7%,39.6%,32.9%,18.9%,13.69,65.7%,7.9%,2.9%,33.6%,22.9%,12.5%,12.1%
vsLHB,37.0,142,0.106,0.191,0.171,0.065,0.70,2,0.49,9.2%,43.9%,49.3%,34.5%,21.9%,17.03,64.3%,8.6%,1.9%,38.9%,22.2%,16.7%,14.8%
vsRHB,34.0,131,0.194,0.218,0.250,0.056,0.88,2,0.53,4.6%,31.9%,29.0%,30.4%,15.1%,10.06,67.2%,7.0%,3.5%,30.2%,23.3%,10.0%,10.5%

,,STATS,STRIKES,STATCAST
BATTER,ODDS,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Hunter Goodman RHB,+360,19,4.80,3,3,0.250,0.316,0.812,0.562,0.447,10.5%,16.0%,26.3%,7.1%,98.7,41.7%,33.3%,41.7%,66.7%,41.7%,75.4,48.0%,36.0%,28.0%,100.0%,33.3%,50.0%,41.7%,25.0%,50.0%,33.3%,16.7%,33.3%
Ezequiel Tovar RHB,+775,22,4.60,1,1,0.263,0.273,0.421,0.158,0.287,4.5%,40.0%,36.4%,24.4%,83.9,7.7%,-,30.8%,30.8%,46.2%,71.8,22.5%,15.0%,7.5%,83.3%,15.4%,50.0%,38.5%,30.8%,46.2%,23.1%,30.8%,47.6%
Jake McCarthy LHB,+1000,18,5.00,1,1,0.250,0.278,0.500,0.250,0.322,5.6%,13.8%,27.8%,7.8%,85.6,8.3%,-,8.3%,41.7%,41.7%,70.4,3.7%,22.2%,11.1%,96.4%,16.7%,50.0%,33.3%,33.3%,41.7%,33.3%,25.0%,44.4%
Willi Castro SHB,+920,16,4.80,1,2,0.308,0.438,0.615,0.308,0.444,18.8%,28.2%,25.0%,14.1%,98.3,11.1%,11.1%,22.2%,77.8%,44.4%,72.6,25.0%,25.0%,6.2%,84.2%,44.4%,25.0%,22.2%,33.3%,55.6%,33.3%,11.1%,22.2%
Tyler Freeman RHB,+1200,18,4.00,0,2,0.333,0.444,0.467,0.133,0.398,16.7%,3.8%,5.6%,1.5%,88.6,7.1%,7.1%,14.3%,50.0%,28.6%,69.6,12.5%,37.5%,29.2%,92.3%,21.4%,0.0%,35.7%,42.9%,28.6%,35.7%,35.7%,25.0%
Kyle Karros RHB,+800,17,4.00,0,0,0.286,0.412,0.286,-,0.328,11.8%,30.0%,29.4%,11.5%,90.7,-,-,11.1%,33.3%,44.4%,70.6,5.6%,27.8%,16.7%,90.0%,33.3%,0.0%,33.3%,33.3%,33.3%,44.4%,22.2%,43.8%
Troy Johnston LHB,+880,17,4.80,0,0,0.286,0.412,0.357,0.071,0.346,17.6%,32.4%,23.5%,14.5%,90.5,-,-,20.0%,30.0%,50.0%,68.7,2.9%,22.9%,5.7%,94.6%,10.0%,0.0%,60.0%,30.0%,50.0%,30.0%,20.0%,39.1%
Sterlin Thompson LHB,+900,16,4.00,0,0,0.200,0.250,0.267,0.067,0.231,6.2%,27.3%,31.2%,12.5%,89.6,-,-,-,50.0%,20.0%,75.4,60.0%,16.7%,16.7%,90.9%,10.0%,0.0%,20.0%,70.0%,30.0%,50.0%,20.0%,50.0%
TJ Rumfield LHB,+720,15,3.80,0,0,0.100,0.333,0.100,-,0.237,20.0%,33.3%,20.0%,14.5%,91.8,-,-,12.5%,50.0%,50.0%,70.0,13.0%,26.1%,8.7%,88.5%,37.5%,0.0%,25.0%,25.0%,37.5%,37.5%,25.0%,42.1%
Brett Sullivan LHB,N/A,15,2.20,0,1,-,0.067,-,-,0.043,6.7%,18.2%,20.0%,10.0%,85.2,-,-,9.1%,36.4%,18.2%,66.8,-,26.7%,3.3%,93.8%,27.3%,0.0%,9.1%,36.4%,45.5%,27.3%,27.3%,38.5%
Edouard Julien LHB,+1000,14,2.80,0,0,0.273,0.429,0.364,0.091,0.357,21.4%,3.3%,7.1%,1.4%,88.4,-,-,30.0%,60.0%,50.0%,72.1,14.3%,25.0%,7.1%,93.3%,20.0%,0.0%,40.0%,30.0%,60.0%,20.0%,20.0%,43.8%
Chad Stevens RHB,N/A,7,1.80,0,0,0.200,0.286,0.200,-,0.220,14.3%,33.3%,28.6%,14.7%,86.7,-,-,-,25.0%,50.0%,72.2,25.0%,16.7%,-,92.3%,50.0%,0.0%,50.0%,-,-,50.0%,50.0%,55.6%
Braxton Fulford RHB,N/A,5,2.20,0,0,0.200,0.200,0.200,-,0.178,-,20.0%,20.0%,9.1%,85.8,-,-,-,25.0%,50.0%,66.7,-,60.0%,20.0%,100.0%,25.0%,0.0%,50.0%,25.0%,25.0%,50.0%,25.0%,0.0%
