Matchup,ATL @ SF
Pitcher,Logan Webb
Pitcher Team,SF
Opposing Team,ATL

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,64.0,258,0.224,0.268,0.336,0.112,1.06,5,0.70,5.4%,20.4%,21.3%,19.0%,9.7%,7.73,64.5%,5.2%,5.4%,41.9%,21.0%,12.8%,12.9%
vsLHB,42.2,172,0.235,0.273,0.346,0.111,1.10,4,0.84,5.2%,19.5%,22.1%,18.7%,9.2%,8.02,63.6%,4.8%,6.5%,37.9%,22.6%,14.3%,14.5%
vsRHB,21.1,86,0.203,0.258,0.316,0.114,0.98,1,0.42,5.8%,22.2%,19.8%,19.8%,10.8%,7.17,66.3%,6.1%,3.2%,50.0%,17.7%,9.1%,9.7%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Drake Baldwin LHB,,+540,26,23,3.80,1,1,0.176,0.348,0.353,0.176,0.313,17.4%,27.3%,26.1%,13.0%,89.4,290.3,2,2,16.7%,-,16.7%,41.7%,41.7%,74.8,50.0%,18.4%,10.5%,88.4%,8.3%,100.0%,33.3%,50.0%,41.7%,50.0%,8.3%,30.4%
Mike Yastrzemski LHB,,+870,16,21,3.40,1,1,0.250,0.286,0.400,0.150,0.300,4.8%,11.4%,19.0%,4.8%,91.4,326.8,5,4,-,-,12.5%,68.8%,37.5%,71.1,6.1%,36.4%,18.2%,97.1%,18.8%,33.3%,25.0%,56.2%,43.8%,56.2%,-,14.3%
Matt Olson LHB,,+450,22,21,4.00,1,3,0.250,0.286,0.450,0.200,0.319,4.8%,28.9%,28.6%,14.0%,94.1,279.5,5,3,14.3%,-,7.1%,57.1%,35.7%,75.4,65.1%,23.3%,14.0%,97.7%,28.6%,25.0%,21.4%,35.7%,28.6%,50.0%,21.4%,17.6%
Jorge Mateo RHB,,+1060,19,12,2.20,1,1,0.167,0.167,0.500,0.333,0.281,-,21.4%,25.0%,10.9%,96.3,317.4,5,3,11.1%,11.1%,44.4%,55.6%,77.8%,75.0,46.4%,21.4%,14.3%,100.0%,22.2%,50.0%,55.6%,22.2%,55.6%,33.3%,11.1%,41.7%
Joey Bart RHB,—,N/A,15,8,3.80,1,1,0.375,0.375,0.750,0.375,0.485,-,15.4%,25.0%,5.9%,85.1,277.7,1,1,-,-,16.7%,33.3%,33.3%,74.1,36.4%,18.2%,9.1%,84.6%,50.0%,33.3%,-,50.0%,50.0%,-,50.0%,30.0%
Rowdy Tellez LHB,—,N/A,2,5,1.80,1,1,0.400,0.400,1.000,0.600,0.598,-,15.4%,20.0%,7.1%,94.9,256.2,1,1,25.0%,-,25.0%,50.0%,50.0%,77.9,63.6%,18.2%,18.2%,84.6%,50.0%,50.0%,25.0%,25.0%,25.0%,50.0%,25.0%,0.0%
Dominic Smith LHB,,+910,20,21,2.80,0,1,0.278,0.286,0.333,0.056,0.261,4.8%,28.6%,9.5%,12.5%,82.6,262.9,4,1,5.6%,5.6%,16.7%,38.9%,27.8%,69.3,3.7%,37.0%,14.8%,79.4%,16.7%,0.0%,27.8%,50.0%,38.9%,50.0%,11.1%,25.0%
Ozzie Albies SHB,,+840,12,18,4.20,0,0,0.333,0.389,0.333,-,0.319,11.1%,14.3%,5.6%,6.6%,90.7,259.2,5,1,-,-,20.0%,26.7%,46.7%,70.5,7.7%,42.3%,11.5%,92.9%,33.3%,0.0%,40.0%,26.7%,46.7%,40.0%,13.3%,28.6%
Michael Harris II LHB,,+507,23,15,4.40,0,1,0.214,0.267,0.214,-,0.221,6.7%,20.0%,20.0%,10.0%,86.0,271.0,2,2,9.1%,-,-,45.5%,45.5%,74.2,42.3%,19.2%,19.2%,89.7%,9.1%,0.0%,36.4%,54.5%,9.1%,54.5%,36.4%,29.4%
Austin Riley RHB,,+700,22,13,4.20,0,0,0.100,0.308,0.100,-,0.218,23.1%,35.7%,38.5%,20.0%,88.8,233.5,1,1,-,-,-,20.0%,40.0%,76.7,70.8%,4.2%,-,88.9%,40.0%,0.0%,-,20.0%,20.0%,80.0%,-,18.2%
Mauricio Dubon RHB,,+1220,15,12,4.40,0,0,0.333,0.333,0.333,-,0.297,-,20.7%,16.7%,10.5%,87.7,198.1,0,0,-,-,-,40.0%,30.0%,69.5,4.0%,20.0%,8.0%,86.2%,-,-,30.0%,60.0%,30.0%,60.0%,10.0%,23.1%
Ha-Seong Kim RHB,—,N/A,13,9,3.20,0,0,-,0.222,-,-,0.144,22.2%,16.7%,11.1%,6.7%,75.8,288.4,0,0,-,-,16.7%,-,-,71.7,12.5%,-,-,94.1%,16.7%,0.0%,-,83.3%,100.0%,-,-,10.0%
Eli White RHB,—,N/A,22,8,3.00,0,0,0.250,0.250,0.375,0.125,0.270,-,17.6%,-,9.1%,83.1,301.5,2,1,-,-,-,25.0%,25.0%,72.5,25.0%,25.0%,12.5%,94.1%,12.5%,0.0%,25.0%,62.5%,12.5%,62.5%,25.0%,18.2%
