HR Split,Overall
Dates,="8/26/2026"
Games,15

#,TIME,PITCHER,VS,HR RISK,VS LHB,VS RHB,HR/9,BARREL%,HR/FB%,HH%,FB%,MEATBALL%,BF
1,6:45 PM,Tanner Gordon,@,1.18,1.41,0.57,1.62,8.9%,15.0%,43.4%,35.6%,7.7%,765
2,3:45 PM,Nick Lodolo,@,1.18,-1.25,1.18,1.68,9.8%,20.8%,41.1%,23.6%,7.5%,1094
3,3:40 PM,Matthew Boyd,@,1.07,-1.17,1.45,1.76,9.9%,16.5%,33.7%,25.9%,8.3%,1279
4,6:40 PM,Ryan Gusto,vs,1.00,0.18,1.43,1.53,8.8%,16.0%,44.1%,25.9%,9.8%,812
5,1:10 PM,Freddy Peralta,@,0.85,0.86,0.60,1.60,8.5%,16.7%,37.9%,29.9%,6.1%,1496
6,9:05 PM,Connor Prielipp,@,0.80,1.12,0.51,1.51,6.0%,22.0%,44.9%,27.4%,6.7%,521
7,7:40 PM,Sean Burke,vs,0.63,0.87,0.27,1.25,8.6%,13.8%,42.7%,32.6%,7.1%,1302
8,7:40 PM,MacKenzie Gore,@,0.51,0.06,0.47,1.15,9.9%,13.2%,39.0%,30.1%,7.2%,1419
9,7:45 PM,Michael McGreevy,vs,0.48,1.52,-0.66,1.17,8.9%,13.0%,42.4%,29.2%,7.3%,1062
10,4:07 PM,Joey Cantillo,@,0.47,0.11,0.44,0.96,9.6%,15.5%,46.4%,26.4%,7.7%,1065
11,4:07 PM,Grayson Rodriguez,vs,0.42,0.07,0.59,1.16,9.3%,16.1%,38.8%,22.3%,8.5%,410
12,7:15 PM,Roki Sasaki,@,0.22,-0.25,0.92,1.12,6.8%,16.4%,42.3%,24.5%,7.3%,816
13,4:10 PM,Bryan Woo,vs,0.17,-0.07,0.46,1.02,7.2%,13.4%,43.5%,29.1%,6.7%,1427
14,7:45 PM,Kyle Bradish,@,0.07,0.33,0.04,1.00,7.7%,14.5%,39.5%,26.0%,6.4%,824
15,6:45 PM,Matt Waldron,vs,0.05,0.88,-0.13,1.14,6.2%,12.2%,34.1%,34.2%,6.2%,224
16,7:10 PM,Dustin May,@,-0.07,-0.18,0.21,0.80,8.4%,11.1%,43.6%,25.8%,7.0%,1215
17,7:10 PM,Robert Stock,vs,-0.22,-0.12,-0.36,0.71,10.4%,6.8%,26.3%,35.6%,7.3%,177
18,4:10 PM,Randy Vasquez,vs,-0.24,0.10,-0.31,0.77,7.8%,8.6%,38.5%,25.9%,9.0%,1170
19,6:40 PM,Sonny Gray,@,-0.27,-0.28,0.21,0.96,6.0%,11.4%,40.0%,23.9%,6.7%,1445
20,4:10 PM,Jesus Luzardo,@,-0.28,-1.34,0.13,0.81,7.8%,15.1%,34.4%,23.2%,6.3%,1569
21,1:10 PM,Troy Melton,vs,-0.30,0.54,-1.04,0.90,6.3%,11.9%,37.5%,24.9%,7.0%,690
22,7:05 PM,Peter Lambert,@,-0.57,-0.25,-0.39,0.61,6.8%,7.3%,34.5%,32.2%,7.1%,627
23,3:45 PM,Landen Roupp,vs,-0.76,-0.25,-0.84,0.72,6.7%,11.1%,29.2%,24.3%,4.8%,1167
24,9:05 PM,J.T. Ginn,vs,-0.77,-0.46,-0.46,0.78,4.1%,12.5%,37.2%,21.1%,6.0%,1068
25,3:40 PM,Eduardo Rodriguez,vs,-0.79,-0.72,-0.41,0.67,5.8%,7.7%,31.9%,28.5%,6.2%,1458
26,4:10 PM,Bubba Chandler,@,-0.85,0.16,-1.28,0.56,4.9%,9.2%,40.5%,23.4%,6.7%,775
27,7:15 PM,AJ Smith-Shawver,vs,-1.16,-0.66,-0.73,0.15,8.1%,1.9%,38.4%,23.1%,8.1%,271
28,7:07 PM,Spencer Miles,vs,-1.27,-0.03,-1.70,0.42,2.6%,8.0%,38.8%,22.3%,7.8%,340
29,7:07 PM,Randy Dobnak,@,-1.55,-1.18,-1.15,0.28,3.0%,4.6%,41.7%,21.8%,5.2%,331
