Matchup,BAL @ BOS
Pitcher,Connelly Early
Pitcher Team,BOS
Opposing Team,BAL

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,61.0,254,0.217,0.296,0.372,0.155,1.16,9,1.33,8.7%,22.0%,22.4%,19.3%,10.2%,8.41,62.2%,7.4%,12.4%,42.4%,31.8%,14.8%,18.2%
vsLHB,16.0,64,0.190,0.280,0.397,0.207,0.94,4,2.25,6.2%,18.5%,25.0%,22.9%,8.6%,9.00,65.6%,9.9%,11.6%,41.9%,30.2%,23.1%,9.3%
vsRHB,45.0,190,0.226,0.301,0.363,0.137,1.24,5,1.00,9.5%,23.0%,21.6%,18.1%,10.7%,8.20,61.1%,6.6%,12.6%,42.5%,32.3%,12.2%,21.3%

,,STATS,STRIKES,STATCAST
BATTER,ODDS,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Weston Wilson RHB,N/A,16,1.60,1,1,0.200,0.250,0.400,0.200,0.283,6.2%,31.6%,18.8%,15.4%,85.0,-,-,16.7%,33.3%,33.3%,72.9,29.2%,16.7%,4.2%,92.3%,33.3%,25.0%,25.0%,25.0%,33.3%,41.7%,16.7%,25.0%
Coby Mayo RHB,+540,15,3.40,1,1,0.462,0.533,0.846,0.385,0.574,13.3%,32.0%,26.7%,13.8%,95.8,22.2%,11.1%,11.1%,55.6%,22.2%,77.0,76.2%,23.8%,23.8%,91.3%,22.2%,50.0%,11.1%,55.6%,44.4%,44.4%,11.1%,25.0%
Gunnar Henderson LHB,+640,13,4.60,1,1,0.167,0.231,0.417,0.250,0.285,-,27.8%,38.5%,11.6%,93.0,14.3%,14.3%,14.3%,57.1%,14.3%,74.9,66.7%,26.7%,6.7%,83.3%,14.3%,100.0%,14.3%,57.1%,42.9%,42.9%,14.3%,38.5%
Adley Rutschman SHB,+610,20,4.60,0,0,0.143,0.400,0.214,0.071,0.303,30.0%,17.2%,10.0%,6.0%,90.2,8.3%,-,16.7%,41.7%,50.0%,70.7,15.4%,30.8%,11.5%,89.7%,25.0%,0.0%,33.3%,41.7%,33.3%,58.3%,8.3%,17.6%
Taylor Ward RHB,+650,18,4.60,0,0,0.250,0.333,0.312,0.062,0.291,11.1%,18.5%,22.2%,7.6%,92.5,-,-,8.3%,41.7%,41.7%,68.9,8.0%,40.0%,12.0%,96.2%,33.3%,0.0%,50.0%,16.7%,25.0%,33.3%,41.7%,33.3%
Tyler O'Neill RHB,+540,17,2.20,0,0,0.125,0.176,0.125,-,0.143,5.9%,33.3%,35.3%,15.0%,85.7,-,-,10.0%,40.0%,50.0%,70.7,8.7%,30.4%,4.3%,85.2%,50.0%,0.0%,30.0%,20.0%,30.0%,30.0%,40.0%,15.4%
Pete Alonso RHB,+420,14,4.40,0,1,0.143,0.143,0.143,-,0.127,-,25.0%,21.4%,13.6%,95.4,9.1%,-,36.4%,63.6%,54.5%,75.0,39.1%,34.8%,13.0%,100.0%,27.3%,0.0%,45.5%,27.3%,45.5%,36.4%,18.2%,45.5%
Leody Taveras SHB,+1100,13,4.00,0,0,0.308,0.308,0.308,-,0.274,-,18.2%,7.7%,8.0%,76.7,8.3%,-,-,16.7%,50.0%,72.5,26.3%,26.3%,-,86.4%,8.3%,0.0%,41.7%,25.0%,16.7%,41.7%,41.7%,25.0%
Jeremiah Jackson RHB,+505,11,2.80,0,0,0.091,0.091,0.091,-,0.081,-,33.3%,27.3%,16.3%,91.8,-,-,12.5%,50.0%,37.5%,73.5,34.8%,21.7%,17.4%,95.8%,12.5%,0.0%,25.0%,62.5%,62.5%,37.5%,-,30.0%
Blaze Alexander RHB,+1120,11,3.20,0,0,0.400,0.455,0.400,-,0.383,9.1%,17.4%,-,8.7%,84.1,-,-,-,20.0%,30.0%,72.2,27.8%,22.2%,5.6%,90.0%,30.0%,0.0%,10.0%,50.0%,40.0%,30.0%,30.0%,42.9%
Samuel Basallo LHB,N/A,8,3.40,0,1,0.125,0.125,0.125,-,0.111,-,50.0%,50.0%,25.0%,85.4,25.0%,-,25.0%,50.0%,50.0%,72.9,27.3%,18.2%,18.2%,68.8%,25.0%,0.0%,25.0%,50.0%,50.0%,50.0%,-,44.4%
Colton Cowser LHB,N/A,3,2.60,0,0,0.333,0.333,0.333,-,0.297,-,0.0%,33.3%,-,41.1,-,-,-,-,50.0%,74.4,66.7%,-,-,75.0%,-,-,-,50.0%,-,100.0%,-,0.0%
Jackson Holliday LHB,+980,3,3.40,0,0,-,0.333,-,-,0.216,33.3%,40.0%,33.3%,12.5%,85.9,-,-,-,-,-,69.2,-,25.0%,-,80.0%,100.0%,0.0%,-,-,-,100.0%,-,40.0%
