Matchup,SF @ MIL
Pitcher,Shane Drohan
Pitcher Team,MIL
Opposing Team,SF

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,27.1,113,0.212,0.251,0.298,0.087,1.10,1,0.33,7.1%,26.4%,24.8%,22.2%,13.3%,9.22,69.0%,8.6%,6.5%,39.0%,27.3%,4.8%,11.7%
vsLHB,11.2,47,0.239,0.266,0.370,0.130,1.03,0,-,2.1%,27.9%,23.4%,23.4%,13.8%,8.49,66.0%,9.8%,11.4%,37.1%,25.7%,-,11.4%
vsRHB,15.2,66,0.190,0.240,0.241,0.052,1.15,1,0.57,10.6%,25.4%,25.8%,21.5%,12.9%,9.77,71.2%,7.8%,2.4%,40.5%,28.6%,8.3%,11.9%

,,STATS,STRIKES,STATCAST
BATTER,ODDS,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Casey Schmitt RHB,+423,12,4.80,1,2,0.500,0.500,0.833,0.333,0.578,-,22.7%,8.3%,12.8%,85.7,18.2%,9.1%,27.3%,27.3%,54.5%,70.2,11.1%,38.9%,11.1%,81.8%,45.5%,20.0%,27.3%,27.3%,36.4%,36.4%,27.3%,38.5%
Luis Arraez LHB,+1340,16,4.20,0,0,0.462,0.500,0.538,0.077,0.448,-,6.2%,6.2%,3.2%,83.3,-,-,15.4%,15.4%,61.5%,63.1,-,30.8%,-,89.7%,38.5%,0.0%,30.8%,15.4%,15.4%,53.8%,30.8%,22.2%
Daniel Susac RHB,+1020,14,4.20,0,0,0.385,0.429,0.385,-,0.364,7.1%,4.8%,7.1%,2.6%,89.7,-,-,8.3%,33.3%,16.7%,69.8,5.6%,38.9%,11.1%,94.7%,16.7%,0.0%,16.7%,66.7%,33.3%,50.0%,16.7%,36.4%
Drew Gilbert LHB,N/A,13,3.20,0,0,-,-,-,-,-,-,18.2%,23.1%,8.0%,69.6,-,-,10.0%,10.0%,-,68.0,5.9%,23.5%,-,81.0%,20.0%,0.0%,-,50.0%,40.0%,50.0%,10.0%,56.2%
Willy Adames RHB,+620,12,4.80,0,0,0.182,0.250,0.455,0.273,0.295,8.3%,28.0%,16.7%,16.3%,91.6,22.2%,11.1%,33.3%,66.7%,55.6%,73.3,40.9%,27.3%,13.6%,88.0%,55.6%,0.0%,33.3%,11.1%,44.4%,44.4%,11.1%,33.3%
Matt Chapman RHB,+740,11,4.60,0,0,-,0.182,-,-,0.118,18.2%,42.1%,36.4%,14.8%,82.1,-,-,-,-,-,77.0,75.0%,12.5%,-,88.9%,-,-,-,60.0%,40.0%,60.0%,-,35.7%
Rafael Devers LHB,+492,11,4.80,0,0,-,0.091,-,-,0.065,-,30.4%,27.3%,14.9%,87.1,-,-,-,42.9%,14.3%,69.1,-,26.3%,10.5%,82.6%,14.3%,0.0%,14.3%,71.4%,14.3%,42.9%,42.9%,27.3%
Jesus Rodriguez RHB,N/A,11,2.20,0,0,0.100,0.182,0.100,-,0.140,9.1%,11.8%,18.2%,6.7%,88.1,-,-,-,12.5%,25.0%,68.6,-,31.2%,6.2%,94.1%,37.5%,0.0%,-,62.5%,37.5%,50.0%,12.5%,45.5%
Jung Hoo Lee LHB,+1060,10,3.80,0,0,0.400,0.400,0.400,-,0.356,-,15.0%,-,6.4%,85.2,-,-,-,20.0%,10.0%,67.3,-,35.7%,7.1%,73.7%,30.0%,0.0%,10.0%,60.0%,30.0%,50.0%,20.0%,25.0%
Eric Haase RHB,N/A,6,2.40,0,0,0.400,0.500,0.600,0.200,0.468,16.7%,37.5%,16.7%,15.8%,77.8,-,-,-,-,50.0%,71.2,14.3%,-,-,87.5%,-,-,25.0%,50.0%,25.0%,50.0%,25.0%,37.5%
Bryce Eldridge LHB,+600,5,4.20,0,1,0.250,0.400,0.500,0.250,0.384,20.0%,18.8%,40.0%,11.5%,105.9,50.0%,50.0%,100.0%,100.0%,50.0%,73.5,42.9%,14.3%,14.3%,87.5%,50.0%,0.0%,50.0%,-,100.0%,-,-,16.7%
Victor Bericoto RHB,N/A,2,1.67,0,0,-,-,-,-,-,-,28.6%,100.0%,15.4%,-,-,-,-,-,-,74.5,50.0%,-,-,85.7%,-,-,-,-,-,-,-,0.0%
