Batter,Batter Team,Pitcher,Pitcher Team,AB,Avg,BABIP,ISO,SLG,1B,2B,3B,HR,XBH,RBI,TB,K%,OBP,BB
"Mookie Betts","LAD","Chase Burns","CIN","3","0.667","0.67","0.33","1.00","1","1","0","0","1","0","3","0.0","0.667","0"
"Mauricio Dubon","ATL","Jesus Luzardo","PHI","6","0.667","0.67","0.17","0.83","3","1","0","0","1","1","5","0.0","0.667","0"
"Luke Keaschall","MIN","Troy Melton","DET","5","0.600","0.60","0.20","0.80","2","1","0","0","1","1","4","0.0","0.600","0"
"Rafael Devers","SF","Michael McGreevy","STL","5","0.600","0.50","1.20","1.80","1","0","0","2","2","3","9","20.0","0.667","1"
"Matt Shaw","CHC","Robert Gasser","MIL","2","0.500","0.50","0.50","1.00","0","1","0","0","1","0","2","0.0","0.667","1"
"Keibert Ruiz","WSH","Nick Pivetta","SD","2","0.500","0.50","0.50","1.00","0","1","0","0","1","2","2","0.0","0.500","0"
"Tyrone Taylor","CHC","Robert Gasser","MIL","2","0.500","0.50","0.50","1.00","0","1","0","0","1","2","2","0.0","0.500","0"
"Ernie Clement","TOR","Jacob Lopez","ATH","4","0.500","0.33","1.00","1.50","0","1","0","1","2","3","6","0.0","0.500","0"
"Otto Lopez","MIA","Jonah Tong","NYM","4","0.500","0.67","0.25","0.75","1","1","0","0","1","2","3","25.0","0.500","0"
"Bryce Harper","PHI","Grant Holmes","ATL","4","0.500","1.00","0.75","1.25","1","0","0","1","1","1","5","50.0","0.714","3"
"Zack Gelof","ATH","Dylan Cease","TOR","6","0.500","0.60","0.17","0.67","2","1","0","0","1","1","4","16.7","0.500","0"
"Royce Lewis","MIN","Troy Melton","DET","6","0.500","0.40","0.67","1.17","1","1","0","1","2","3","7","0.0","0.500","0"
"Juan Soto","NYM","Eury Perez","MIA","6","0.500","0.33","1.00","1.50","1","0","0","2","2","3","9","16.7","0.500","0"
"Wilyer Abreu","BOS","Grayson Rodriguez","LAA","8","0.500","0.60","0.50","1.00","2","1","0","1","2","2","8","25.0","0.500","0"
"Alec Burleson","STL","Logan Webb","SF","9","0.444","0.43","0.33","0.78","3","0","0","1","1","4","7","11.1","0.444","0"
"Jackson Chourio","MIL","Matthew Boyd","CHC","7","0.429","0.75","0.14","0.57","2","1","0","0","1","0","4","42.9","0.556","2"
"Jose Ramirez","CLE","Trevor Rogers","BAL","7","0.429","0.25","1.00","1.43","0","1","0","2","3","3","10","28.6","0.375","0"
"Lane Thomas","ATL","Jesus Luzardo","PHI","22","0.409","0.42","0.64","1.05","3","2","0","4","6","6","23","27.3","0.458","2"
"William Contreras","MIL","Matthew Boyd","CHC","15","0.400","0.38","0.33","0.73","3","2","0","1","3","2","11","6.7","0.400","0"
"Brice Turang","MIL","Matthew Boyd","CHC","13","0.385","0.42","0.08","0.46","4","1","0","0","1","3","6","15.4","0.357","0"
"Sal Frelick","MIL","Matthew Boyd","CHC","8","0.375","0.50","0.13","0.50","2","1","0","0","1","1","4","25.0","0.444","1"
"Bo Bichette","NYM","Eury Perez","MIA","11","0.364","0.40","0.09","0.45","3","1","0","0","1","0","5","9.1","0.364","0"
"Michael Busch","CHC","Robert Gasser","MIL","3","0.333","0.00","1.00","1.33","0","0","0","1","1","1","4","0.0","0.333","0"
"Mark Vientos","NYM","Eury Perez","MIA","3","0.333","0.00","1.00","1.33","0","0","0","1","1","1","4","0.0","0.500","1"
"Myles Straw","TOR","Jacob Lopez","ATH","3","0.333","0.33","0.33","0.67","0","1","0","0","1","0","2","0.0","0.333","0"
"Shohei Ohtani","LAD","Chase Burns","CIN","3","0.333","0.33","0.33","0.67","0","1","0","0","1","2","2","0.0","0.333","0"
"Miguel Rojas","LAD","Chase Burns","CIN","3","0.333","0.50","0.33","0.67","0","1","0","0","1","0","2","33.3","0.333","0"
"David Fry","CLE","Trevor Rogers","BAL","6","0.333","0.33","0.50","0.83","1","0","0","1","1","3","5","33.3","0.429","1"
"Jarren Duran","BOS","Grayson Rodriguez","LAA","6","0.333","0.67","0.33","0.67","0","2","0","0","2","1","4","50.0","0.333","0"
"Kody Clemens","MIN","Troy Melton","DET","6","0.333","0.00","1.00","1.33","0","0","0","2","2","2","8","16.7","0.333","0"
"Josh Bell","MIN","Troy Melton","DET","6","0.333","0.50","0.50","0.83","1","0","0","1","1","1","5","50.0","0.333","0"
"Brooks Lee","MIN","Troy Melton","DET","7","0.286","0.20","0.43","0.71","1","0","0","1","1","1","5","14.3","0.286","0"
"Trea Turner","PHI","Grant Holmes","ATL","7","0.286","0.25","0.43","0.71","1","0","0","1","1","2","5","28.6","0.444","2"
"Gary Sanchez","MIL","Matthew Boyd","CHC","7","0.286","0.25","0.43","0.71","1","0","0","1","1","3","5","28.6","0.375","1"
"Austin Riley","ATL","Jesus Luzardo","PHI","23","0.261","0.40","0.09","0.35","4","2","0","0","2","2","8","34.8","0.346","3"
"Jackson Holliday","BAL","Joey Cantillo","CLE","4","0.250","0.25","0.25","0.50","0","1","0","0","1","0","2","0.0","0.400","1"
"Ryan Jeffers","MIN","Troy Melton","DET","4","0.250","0.33","0.50","0.75","0","0","1","0","1","0","3","25.0","0.250","0"
"Vladimir Guerrero Jr.","TOR","Jacob Lopez","ATH","4","0.250","0.00","0.75","1.00","0","0","0","1","1","2","4","50.0","0.400","1"
"Luis Arraez","PHI","Grant Holmes","ATL","8","0.250","0.25","0.13","0.38","1","1","0","0","1","0","3","0.0","0.250","0"
"Michael Harris II","ATL","Jesus Luzardo","PHI","13","0.231","0.50","0.08","0.31","2","1","0","0","1","1","4","53.8","0.333","2"
"Ozzie Albies","ATL","Jesus Luzardo","PHI","22","0.227","0.28","0.14","0.36","2","3","0","0","3","0","8","18.2","0.261","1"
"Brandon Marsh","PHI","Grant Holmes","ATL","9","0.222","0.33","0.11","0.33","1","1","0","0","1","0","3","33.3","0.222","0"
"Andrew Vaughn","MIL","Matthew Boyd","CHC","15","0.200","0.20","0.33","0.53","0","2","0","1","3","1","8","26.7","0.368","4"
"Christian Yelich","MIL","Matthew Boyd","CHC","16","0.188","0.18","0.25","0.44","1","1","0","1","2","2","7","25.0","0.235","1"
"Matt Olson","ATL","Jesus Luzardo","PHI","27","0.185","0.22","0.15","0.33","3","1","0","1","2","4","9","29.6","0.185","0"
"Ha-Seong Kim","ATL","Jesus Luzardo","PHI","11","0.182","0.22","0.09","0.27","1","1","0","0","1","0","3","18.2","0.182","0"
"Kyle Schwarber","PHI","Grant Holmes","ATL","7","0.143","0.00","0.43","0.57","0","0","0","1","1","2","4","42.9","0.333","2"
"Jonah Heim","ATH","Dylan Cease","TOR","7","0.143","0.20","0.14","0.29","0","1","0","0","1","0","2","28.6","0.250","1"
"Sean Murphy","ATL","Jesus Luzardo","PHI","12","0.083","0.17","0.08","0.17","0","1","0","0","1","1","2","50.0","0.154","1"
