Matchup,ARI @ SD
Pitcher,Jose Cabrera
Pitcher Team,ARI
Opposing Team,SD

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,12.2,60,0.296,0.372,0.500,0.204,1.66,3,2.13,8.3%,25.3%,16.7%,20.8%,11.2%,7.11,56.7%,6.3%,9.1%,43.2%,25.0%,27.3%,20.5%
vsLHB,7.2,36,0.303,0.384,0.545,0.242,1.70,2,2.35,8.3%,20.0%,13.9%,18.5%,8.5%,5.87,66.7%,10.2%,10.7%,46.4%,21.4%,33.3%,25.0%
vsRHB,5.0,24,0.286,0.354,0.429,0.143,1.60,1,1.80,8.3%,31.7%,20.8%,23.8%,14.9%,9.00,41.7%,1.1%,6.2%,37.5%,31.2%,20.0%,12.5%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Manny Machado RHB,,+390,25,24,4.20,2,3,0.250,0.375,0.600,0.350,0.410,16.7%,36.1%,29.2%,15.7%,92.7,345.6,5,3,15.4%,-,-,53.8%,38.5%,75.4,48.6%,22.9%,11.4%,100.0%,53.9%,46.2%,33.3%,7.7%,46.2%,15.4%,61.5%,23.1%,40.0%
Sung-Mun Song LHB,,+830,25,24,3.00,1,1,0.286,0.375,0.524,0.238,0.386,12.5%,17.5%,8.3%,7.4%,84.9,246.5,3,2,10.5%,5.3%,26.3%,21.1%,36.8%,72.3,21.6%,29.7%,8.1%,97.4%,52.6%,26.3%,0.0%,26.3%,26.3%,36.8%,21.1%,42.1%,33.3%
Gavin Sheets LHB,,+460,20,24,4.20,1,1,0.190,0.292,0.333,0.143,0.280,12.5%,18.4%,16.7%,7.2%,86.7,248.7,1,1,5.9%,5.9%,23.5%,23.5%,29.4%,74.2,48.5%,24.2%,9.1%,86.8%,29.4%,5.9%,100.0%,23.5%,64.7%,70.6%,11.8%,17.6%,4.2%
Jackson Merrill LHB,,+450,24,24,3.80,1,1,0.261,0.292,0.391,0.130,0.300,4.2%,30.8%,37.5%,16.7%,88.5,274.1,3,1,7.1%,-,14.3%,42.9%,35.7%,73.1,20.9%,14.0%,11.6%,86.0%,50.0%,21.4%,33.3%,28.6%,50.0%,42.9%,35.7%,21.4%,29.6%
Jake Cronenworth LHB,,+800,13,20,3.40,1,1,0.278,0.350,0.444,0.167,0.351,5.0%,35.3%,35.0%,15.2%,91.7,303.0,2,2,18.2%,9.1%,18.2%,36.4%,45.5%,71.6,18.2%,27.3%,9.1%,97.1%,54.6%,27.3%,33.3%,27.3%,45.5%,54.5%,27.3%,18.2%,10.0%
Luis Campusano RHB,,+650,4,20,2.80,1,1,0.278,0.350,0.556,0.278,0.389,5.0%,31.6%,35.0%,15.6%,91.2,242.4,3,1,9.1%,-,27.3%,63.6%,27.3%,72.3,28.0%,16.0%,4.0%,89.3%,54.6%,18.2%,0.0%,36.4%,27.3%,27.3%,63.6%,9.1%,40.0%
Fernando Tatis Jr. RHB,,+449,16,26,4.20,0,0,0.304,0.385,0.435,0.130,0.361,7.7%,26.7%,23.1%,12.8%,93.5,237.7,3,0,11.8%,-,-,52.9%,11.8%,75.6,62.2%,21.6%,18.9%,86.0%,35.2%,17.6%,0.0%,17.6%,52.9%,23.5%,35.3%,41.2%,46.4%
Samad Taylor RHB,—,N/A,10,24,2.60,0,0,0.333,0.500,0.333,-,0.385,25.0%,19.4%,20.8%,7.4%,81.1,235.8,1,0,-,-,7.7%,30.8%,46.2%,66.7,-,18.5%,-,87.1%,61.6%,15.4%,0.0%,46.2%,30.8%,30.8%,53.8%,15.4%,12.5%
Xander Bogaerts RHB,,+725,23,23,3.80,0,0,0.286,0.348,0.381,0.095,0.322,8.7%,11.1%,13.0%,5.5%,92.1,262.1,4,0,5.6%,5.6%,16.7%,55.6%,44.4%,74.0,50.0%,32.1%,14.3%,93.3%,50.0%,11.1%,0.0%,38.9%,50.0%,38.9%,44.4%,16.7%,35.0%
Ty France RHB,,+610,7,23,4.20,0,0,0.158,0.304,0.211,0.053,0.252,8.7%,21.3%,17.4%,12.2%,86.7,255.0,5,1,-,-,13.3%,20.0%,33.3%,72.0,18.2%,20.5%,2.3%,93.6%,46.7%,26.7%,0.0%,20.0%,33.3%,26.7%,33.3%,40.0%,35.0%
Rodolfo Durán RHB,,+910,12,18,2.80,0,0,0.111,0.111,0.111,-,0.099,-,24.3%,27.8%,11.2%,85.5,231.2,2,1,-,-,7.7%,30.8%,7.7%,72.4,38.7%,16.1%,3.2%,93.9%,30.8%,30.8%,0.0%,-,38.5%,38.5%,38.5%,23.1%,25.0%
Miguel Andujar RHB,—,N/A,19,12,1.80,0,0,0.100,0.250,0.100,-,0.188,8.3%,25.9%,8.3%,12.1%,83.3,219.9,1,0,-,-,22.2%,11.1%,22.2%,70.6,14.3%,14.3%,4.8%,77.8%,44.4%,11.1%,0.0%,33.3%,44.4%,44.4%,33.3%,22.2%,35.0%
Jase Bowen RHB,—,N/A,-,10,1.20,0,1,0.300,0.300,0.300,-,0.267,-,35.3%,30.0%,14.6%,68.0,233.7,1,1,14.3%,-,-,14.3%,28.6%,71.3,18.2%,9.1%,-,78.6%,71.5%,42.9%,0.0%,28.6%,14.3%,14.3%,57.1%,28.6%,28.6%
