HR Split,Overall
Dates,"=""8/3/2026"""
Games,20

#,TIME,PITCHER,VS,HR RISK,VS LHB,VS RHB,HR/9,BARREL%,HR/FB%,HH%,FB%,MEATBALL%,BF
1,6:40 PM,Aaron Nola,vs,1.45,1.28,0.35,2.08,10.4%,24.1%,43.4%,28.4%,6.3%,1031
2,8:40 PM,Ian Seymour,@,0.79,1.88,-0.15,1.39,10.6%,19.1%,38.4%,31.8%,11.0%,658
3,8:10 PM,Shane Bieber,@,0.76,-0.16,1.41,1.61,9.4%,23.5%,42.7%,23.7%,5.7%,481
4,7:05 PM,Michael McGreevy,@,0.44,0.32,0.30,1.10,12.2%,11.1%,45.8%,26.6%,7.1%,983
5,7:40 PM,Brandon Sproat,vs,0.38,0.07,0.53,1.44,8.4%,16.1%,41.3%,25.7%,7.9%,585
6,8:40 PM,Michael Lorenzen,vs,0.36,0.61,-0.34,1.30,9.8%,13.8%,42.6%,24.4%,8.3%,1219
7,8:10 PM,Cristian Javier,vs,-0.01,-1.02,1.12,0.96,9.9%,2.9%,41.1%,40.8%,6.5%,311
8,9:40 PM,Michael King,@,-0.31,-0.32,-0.15,1.03,8.5%,12.2%,30.8%,31.3%,5.8%,944
9,8:05 PM,Matthew Boyd,vs,-0.56,-0.53,-0.37,0.73,9.0%,10.8%,32.9%,25.5%,8.3%,1166
10,8:05 PM,Logan Webb,@,-0.66,-0.54,-0.51,0.91,6.2%,17.2%,36.0%,18.6%,5.0%,1465
11,7:05 PM,Cam Schlittler,vs,-0.71,-0.61,-0.30,0.69,6.7%,11.1%,37.2%,25.8%,8.7%,1020
12,9:40 PM,Brandon Pfaadt,vs,-0.83,-0.63,-0.56,0.60,7.5%,9.0%,37.3%,21.6%,9.0%,1192
13,7:40 PM,Bubba Chandler,@,-1.10,-0.35,-1.33,0.58,5.0%,8.2%,37.9%,26.6%,6.4%,699
14,6:40 PM,Trevor Williams,@,0.20,0.10,0.30,1.40,8.0%,14.0%,38.0%,26.0%,7.0%,200
15,8:05 PM,Justin Wrobleski,@,0.15,0.05,0.25,1.20,7.5%,13.0%,36.0%,25.0%,6.5%,400
16,8:05 PM,Cal Quantrill,vs,0.40,0.55,0.25,1.45,8.5%,15.0%,39.0%,27.0%,7.5%,900
