Matchup,COL @ LAA
Pitcher,Kyle Freeland
Pitcher Team,COL
Opposing Team,LAA

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,42.1,202,0.331,0.417,0.591,0.260,1.75,12,2.55,6.9%,23.1%,19.3%,17.3%,11.8%,8.29,63.1%,6.7%,9.0%,43.1%,29.2%,26.2%,19.4%
vsLHB,9.0,42,0.333,0.390,0.500,0.167,1.44,1,1.00,2.4%,24.7%,16.7%,13.0%,13.7%,7.00,59.5%,8.5%,3.2%,41.9%,35.5%,9.1%,19.4%
vsRHB,33.1,160,0.331,0.424,0.614,0.283,1.83,11,2.97,8.1%,22.7%,20.0%,18.6%,11.3%,8.64,64.0%,6.2%,10.6%,43.4%,27.4%,32.3%,19.5%

,,STATS,STRIKES,STATCAST
BATTER,ODDS,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Mike Trout RHB,+319,21,4.60,1,1,0.200,0.429,0.400,0.200,0.370,28.6%,25.0%,19.0%,8.4%,92.4,27.3%,-,9.1%,54.5%,54.5%,75.5,60.0%,20.0%,16.0%,92.6%,54.5%,16.7%,18.2%,18.2%,18.2%,63.6%,18.2%,11.1%
Zach Neto RHB,+391,18,4.40,1,1,0.286,0.444,0.500,0.214,0.409,22.2%,10.3%,5.6%,4.1%,88.0,7.7%,7.7%,30.8%,30.8%,23.1%,71.9,20.0%,28.0%,4.0%,89.3%,46.2%,16.7%,7.7%,38.5%,61.5%,23.1%,15.4%,21.4%
Oswald Peraza RHB,+610,14,3.60,1,1,0.214,0.214,0.429,0.214,0.277,-,17.9%,42.9%,11.4%,92.8,12.5%,12.5%,25.0%,25.0%,50.0%,73.5,42.9%,23.8%,9.5%,77.8%,25.0%,50.0%,37.5%,37.5%,37.5%,25.0%,37.5%,36.4%
Jose Siri RHB,N/A,6,2.00,1,1,0.600,0.667,1.200,0.600,0.755,16.7%,25.0%,16.7%,10.3%,89.3,25.0%,25.0%,50.0%,50.0%,50.0%,74.2,40.0%,20.0%,20.0%,83.3%,50.0%,50.0%,25.0%,-,50.0%,-,50.0%,25.0%
Vaughn Grissom RHB,+760,15,4.60,0,0,0.214,0.267,0.286,0.071,0.247,6.7%,29.7%,20.0%,15.1%,99.0,-,-,45.5%,72.7%,54.5%,72.4,28.6%,28.6%,22.9%,97.2%,18.2%,0.0%,63.6%,18.2%,54.5%,45.5%,-,13.3%
Jo Adell RHB,+330,14,4.00,0,1,0.083,0.143,0.083,-,0.110,7.1%,32.3%,35.7%,17.9%,88.9,-,-,12.5%,25.0%,37.5%,79.3,82.8%,10.3%,6.9%,96.7%,12.5%,0.0%,37.5%,37.5%,50.0%,25.0%,25.0%,44.4%
Jorge Soler RHB,+370,14,4.40,0,0,0.214,0.214,0.357,0.143,0.245,-,42.4%,50.0%,28.0%,95.8,-,-,28.6%,57.1%,42.9%,75.1,51.5%,15.2%,9.1%,100.0%,14.3%,0.0%,28.6%,57.1%,71.4%,28.6%,-,58.3%
Logan O'Hoppe RHB,+540,12,3.80,0,0,0.167,0.167,0.167,-,0.148,-,30.8%,16.7%,16.3%,85.2,10.0%,-,-,40.0%,30.0%,72.8,32.0%,20.0%,12.0%,96.2%,60.0%,0.0%,-,30.0%,20.0%,40.0%,40.0%,42.9%
Adam Frazier LHB,N/A,10,2.40,0,0,0.143,0.400,0.143,-,0.291,20.0%,6.2%,-,2.6%,73.6,-,-,-,14.3%,28.6%,65.1,6.7%,20.0%,-,93.8%,-,-,14.3%,71.4%,57.1%,14.3%,28.6%,18.2%
Sebastián Rivero RHB,N/A,9,3.60,0,0,0.125,0.222,0.125,-,0.171,11.1%,28.0%,11.1%,15.9%,85.5,-,-,-,14.3%,14.3%,72.2,18.2%,13.6%,4.5%,91.7%,42.9%,0.0%,14.3%,28.6%,28.6%,14.3%,57.1%,33.3%
Donovan Walton LHB,N/A,3,3.80,0,0,-,-,-,-,-,-,20.0%,33.3%,10.0%,47.0,-,-,-,-,50.0%,67.4,-,-,-,20.0%,-,-,-,100.0%,-,50.0%,50.0%,25.0%
Nick Madrigal RHB,N/A,2,2.33,0,0,-,-,-,-,-,-,0.0%,-,-,84.2,-,-,50.0%,-,-,67.6,-,50.0%,-,66.7%,100.0%,0.0%,-,-,50.0%,50.0%,-,50.0%
Wade Meckler LHB,N/A,1,3.40,0,0,-,-,-,-,-,-,0.0%,-,-,81.5,-,-,-,-,-,68.6,-,-,-,100.0%,-,-,-,100.0%,100.0%,-,-,100.0%
