Split,vsRHB
Range,L10
Dates,="9/10/2026"
Games,20

,STATS,STATCAST
TIME,PITCHER,VS,IP,BF,FIP,AVG,WOBA,WHIP,ISO,SLG,HR,HR/9,TB,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,BB,BB%,1STPS%,MEATBALL%,BBE,HH%,BARRELS,BARREL%,FB%,HR/FB%,PULLAIR%
7:05 PM,Ryan Feltner,@,21.2,97,5.96,0.311,0.407,1.57,0.311,0.622,6,2.49,56,21.1%,17.5%,16.7%,10.9%,7.06,6,6.2%,77.3%,6.3%,74,37.8%,10,13.5%,32.4%,25.0%,18.9%
12:15 PM,Nick Martinez,@,21.2,91,4.95,0.299,0.339,1.38,0.161,0.460,4,1.66,40,17.3%,13.2%,13.3%,8.9%,4.98,4,4.4%,68.1%,8.2%,75,30.7%,4,5.3%,26.7%,20.0%,17.3%
4:10 PM,Jacob deGrom,@,19.2,86,2.44,0.282,0.315,1.53,0.077,0.359,1,0.46,28,32.4%,29.1%,22.3%,17.0%,11.44,8,9.3%,62.8%,3.1%,53,35.8%,4,7.5%,15.1%,-,13.2%
4:10 PM,Logan Gilbert,vs,24.2,109,6.38,0.263,0.366,1.42,0.303,0.566,8,2.92,56,30.3%,22.9%,20.8%,14.9%,9.12,9,8.3%,64.2%,7.2%,75,40.0%,11,14.7%,28.0%,28.6%,21.3%
7:05 PM,Max Fried,vs,36.0,151,2.54,0.255,0.294,1.31,0.095,0.350,2,0.50,48,25.9%,27.2%,22.5%,12.1%,10.25,12,7.9%,58.3%,8.0%,98,29.6%,1,1.0%,25.5%,8.0%,10.2%
1:05 PM,Cristian Javier,@,20.1,89,4.08,0.250,0.325,1.38,0.188,0.438,4,1.77,35,36.2%,31.5%,19.7%,20.1%,12.39,8,9.0%,67.4%,6.4%,53,43.4%,7,13.2%,41.5%,13.6%,24.5%
7:40 PM,Jared Jones,@,21.0,86,3.96,0.247,0.297,1.10,0.160,0.407,4,1.71,33,30.3%,26.7%,24.0%,15.7%,9.86,3,3.5%,64.0%,5.6%,59,39.0%,6,10.2%,23.7%,28.6%,16.9%
12:15 PM,Martin Perez,vs,34.1,144,4.18,0.215,0.294,1.40,0.091,0.306,1,0.26,37,24.2%,14.6%,18.1%,9.7%,5.50,22,15.3%,59.0%,4.6%,101,35.6%,1,1.0%,19.8%,5.0%,19.8%
1:05 PM,Zack Wheeler,vs,24.1,93,3.35,0.157,0.240,0.86,0.145,0.301,3,1.11,25,32.2%,32.3%,23.4%,14.8%,11.10,8,8.6%,72.0%,5.7%,54,22.2%,2,3.7%,27.8%,20.0%,20.4%
7:40 PM,Hagen Smith,vs,10.2,41,2.35,0.061,0.186,0.94,0.030,0.091,0,-,3,35.7%,39.0%,25.0%,15.7%,13.50,8,19.5%,51.2%,6.3%,17,29.4%,0,-,29.4%,-,29.4%
