Matchup,NYM @ ATL
Pitcher,Reynaldo Lopez
Pitcher Team,ATL
Opposing Team,NYM

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,21.0,87,0.215,0.260,0.291,0.076,1.19,0,-,9.2%,25.0%,21.8%,16.8%,11.1%,8.14,57.5%,8.1%,3.3%,31.7%,28.3%,-,15.0%
vsLHB,11.0,48,0.175,0.273,0.275,0.100,1.36,0,-,16.7%,30.9%,22.9%,16.2%,12.7%,9.00,45.8%,8.3%,6.9%,34.5%,41.4%,-,24.1%
vsRHB,10.0,39,0.256,0.244,0.308,0.051,1.00,0,-,-,17.1%,20.5%,17.8%,8.5%,7.20,71.8%,7.8%,-,29.0%,16.1%,-,6.5%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Francisco Lindor SHB,,+430,22,20,4.60,2,2,0.222,0.300,0.667,0.444,0.400,10.0%,21.6%,20.0%,9.0%,98.2,317.5,6,4,14.3%,14.3%,21.4%,85.7%,42.9%,72.4,20.7%,44.8%,20.7%,90.6%,64.3%,42.9%,33.3%,21.4%,35.7%,57.1%,28.6%,14.3%,13.6%
Francisco Alvarez RHB,,+406,31,14,3.80,1,1,0.071,0.071,0.286,0.214,0.150,-,46.4%,42.9%,22.0%,92.0,324.8,3,2,25.0%,-,-,37.5%,25.0%,73.4,36.0%,20.0%,8.0%,89.3%,62.5%,50.0%,25.0%,12.5%,37.5%,12.5%,62.5%,25.0%,27.3%
Ronny Mauricio SHB,—,N/A,17,14,1.80,1,1,0.143,0.143,0.357,0.214,0.214,-,23.5%,42.9%,15.1%,94.0,227.3,1,1,12.5%,-,12.5%,50.0%,25.0%,74.3,46.7%,10.0%,10.0%,90.9%,25.0%,-,-,25.0%,50.0%,37.5%,62.5%,-,61.5%
Jared Young LHB,,+525,34,12,2.80,1,1,0.273,0.333,0.545,0.273,0.377,8.3%,28.0%,8.3%,13.7%,93.2,299.6,4,1,10.0%,10.0%,20.0%,60.0%,10.0%,73.6,45.8%,29.2%,12.5%,96.0%,50.0%,50.0%,20.0%,-,30.0%,30.0%,40.0%,30.0%,29.4%
Tyrone Taylor RHB,—,N/A,22,9,3.00,1,1,0.222,0.222,0.667,0.444,0.374,-,26.7%,11.1%,12.5%,85.8,270.3,2,2,12.5%,12.5%,25.0%,37.5%,37.5%,69.9,-,35.7%,14.3%,93.3%,37.5%,37.5%,33.3%,-,50.0%,75.0%,12.5%,12.5%,11.1%
Bo Bichette RHB,,+575,21,17,4.20,0,0,0.286,0.412,0.286,-,0.324,17.6%,27.6%,11.8%,14.3%,93.0,261.6,2,1,-,-,8.3%,50.0%,41.7%,71.8,22.2%,29.6%,18.5%,93.1%,50.0%,16.7%,0.0%,33.3%,41.7%,16.7%,33.3%,50.0%,40.0%
Brett Baty LHB,,+725,14,16,3.80,0,1,0.231,0.312,0.385,0.154,0.296,12.5%,14.3%,6.2%,8.0%,90.4,274.1,4,1,23.1%,15.4%,30.8%,53.8%,53.8%,76.4,63.0%,29.6%,14.8%,96.4%,61.6%,38.5%,0.0%,23.1%,30.8%,53.8%,23.1%,23.1%,55.6%
Carson Benge LHB,,+625,23,15,4.40,0,1,0.400,0.400,0.467,0.067,0.381,-,13.8%,20.0%,6.6%,89.9,237.6,2,1,-,-,8.3%,50.0%,41.7%,70.8,30.4%,34.8%,17.4%,79.3%,50.0%,16.7%,0.0%,33.3%,41.7%,33.3%,41.7%,25.0%,18.8%
Juan Soto LHB,,+301,38,13,4.40,0,1,0.154,0.154,0.231,0.077,0.166,-,21.7%,23.1%,8.8%,93.8,297.2,4,2,20.0%,-,20.0%,70.0%,50.0%,71.2,13.6%,36.4%,27.3%,100.0%,70.0%,40.0%,0.0%,30.0%,30.0%,40.0%,50.0%,10.0%,21.4%
A.J. Ewing LHB,,+850,14,12,3.40,0,2,-,0.083,-,-,0.060,-,10.0%,8.3%,4.2%,92.4,324.2,8,4,10.0%,-,10.0%,40.0%,40.0%,69.5,5.9%,58.8%,5.9%,85.0%,90.0%,80.0%,0.0%,10.0%,10.0%,10.0%,50.0%,40.0%,33.3%
Luis Torrens RHB,,+920,23,12,3.80,0,0,0.100,0.250,0.100,-,0.182,16.7%,21.9%,33.3%,13.7%,95.7,255.8,1,1,-,-,-,33.3%,16.7%,70.2,9.7%,19.4%,6.5%,96.9%,33.3%,-,-,33.3%,66.7%,16.7%,66.7%,16.7%,25.0%
Mark Vientos RHB,—,N/A,35,11,3.60,0,0,0.091,0.091,0.091,-,0.081,-,46.2%,36.4%,27.3%,92.2,249.8,2,0,-,-,14.3%,57.1%,-,74.5,57.1%,23.8%,4.8%,80.8%,42.9%,42.9%,0.0%,-,42.9%,14.3%,57.1%,28.6%,40.0%
Eric Wagaman RHB,—,N/A,1,1,2.40,0,0,-,-,-,-,-,-,42.9%,100.0%,25.0%,-,-,0,0,-,-,-,-,-,71.2,16.7%,-,-,85.7%,-,-,-,-,-,-,-,-,33.3%
