HR Split,vsRHB
Dates,="9/2/2026"
Games,15

#,TIME,PITCHER,VS,HR RISK,VS LHB,VS RHB,HR/9,BARREL%,HR/FB%,HH%,FB%,MEATBALL%,BF
1,12:40 PM,Casey Mize,@,2.26,-0.27,2.26,2.56,16.4%,20.2%,47.3%,37.4%,6.8%,533
2,3:10 PM,Trevor Rogers,@,1.17,-1.79,1.17,1.78,11.0%,22.9%,42.2%,26.8%,9.1%,868
3,8:10 PM,Davis Martin,@,0.82,0.69,0.82,1.80,7.1%,21.5%,42.6%,27.0%,6.8%,556
4,7:40 PM,Drew Anderson,@,0.68,0.43,0.68,1.66,8.4%,25.0%,34.2%,23.3%,7.4%,197
5,3:40 PM,Taylor Clarke,vs,0.67,0.34,0.67,1.36,12.7%,17.4%,34.7%,30.0%,6.6%,216
6,7:40 PM,Dean Kremer,vs,0.65,0.35,0.65,1.41,7.9%,19.4%,43.9%,28.6%,8.5%,470
7,3:10 PM,Tomoyuki Sugano,vs,0.45,1.56,0.45,1.25,9.4%,15.3%,47.6%,23.2%,7.3%,594
8,4:10 PM,Bryce Miller,@,0.45,1.09,0.45,1.34,9.8%,15.6%,34.1%,31.5%,6.6%,452
9,7:40 PM,Eury Perez,@,0.41,-0.88,0.41,1.20,9.8%,18.5%,38.4%,24.6%,8.0%,452
10,4:10 PM,Patrick Sandoval,vs,0.34,-0.54,0.34,1.38,9.5%,20.3%,31.3%,24.4%,5.7%,223
11,2:35 PM,Jacob Lopez,@,0.31,-0.93,0.31,1.48,7.7%,11.7%,28.2%,37.4%,6.3%,731
12,1:05 PM,Grant Holmes,@,0.29,-0.53,0.29,1.23,7.8%,14.4%,40.9%,27.4%,8.0%,498
13,10:10 PM,Yoshinobu Yamamoto,vs,0.16,-0.61,0.16,1.11,7.0%,14.1%,43.1%,28.0%,7.1%,773
14,6:40 PM,Justin Hagenman,@,0.14,1.92,0.14,0.71,9.4%,10.0%,46.9%,31.3%,9.5%,49
15,6:40 PM,Joey Cantillo,vs,0.10,-0.20,0.10,1.06,7.0%,17.1%,40.3%,26.1%,6.9%,813
16,9:38 PM,Reid Detmers,vs,-0.03,-0.63,-0.03,0.97,7.3%,14.6%,34.4%,29.1%,7.7%,718
17,7:40 PM,David Peterson,vs,-0.25,-0.72,-0.25,0.95,5.2%,19.6%,40.5%,17.5%,5.7%,1027
18,12:40 PM,Brandon Williamson,vs,-0.26,0.70,-0.26,0.61,10.0%,6.7%,42.3%,33.0%,2.9%,193
19,1:05 PM,Brad Lord,vs,-0.40,0.02,-0.40,0.92,4.0%,20.3%,30.0%,17.2%,9.1%,452
20,6:40 PM,Griffin Jax,vs,-0.43,0.28,-0.43,0.64,6.7%,11.8%,35.2%,27.3%,7.0%,330
21,3:40 PM,Andrew Painter,@,-0.53,0.07,-0.53,0.62,8.2%,9.7%,34.2%,22.8%,6.2%,224
22,6:40 PM,Landen Roupp,@,-0.54,-0.43,-0.54,1.06,5.3%,8.3%,29.0%,24.5%,4.8%,491
23,7:40 PM,Noah Cameron,vs,-0.60,-0.04,-0.60,0.67,4.8%,9.8%,36.3%,25.3%,6.9%,994
24,6:40 PM,Dylan Cease,@,-0.61,-0.27,-0.61,0.64,5.8%,10.3%,35.4%,26.2%,5.2%,680
25,2:35 PM,Cody Bradford,vs,-0.89,0.27,-0.89,0.00,10.7%,0.0%,33.9%,30.4%,7.1%,140
26,7:40 PM,Jacob Misiorowski,@,-0.96,0.03,-0.96,0.52,3.0%,10.6%,29.1%,24.1%,7.2%,452
27,9:38 PM,Cam Schlittler,@,-1.00,-0.07,-1.00,0.51,4.7%,7.2%,32.2%,17.4%,7.5%,447
28,8:10 PM,Hayden Wesneski,vs,-1.08,0.37,-1.08,0.38,2.3%,2.0%,38.1%,27.7%,7.2%,180
29,6:40 PM,Bubba Chandler,vs,-1.33,-0.20,-1.33,0.21,3.3%,4.5%,35.1%,17.6%,7.4%,373
