Matchup,TOR @ BAL
Pitcher,Spencer Miles
Pitcher Team,TOR
Opposing Team,BAL

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,33.1,133,0.202,0.234,0.266,0.065,1.02,2,0.54,6.8%,22.1%,24.1%,20.6%,10.9%,8.64,65.9%,7.8%,3.3%,30.4%,19.6%,11.1%,10.9%
vsLHB,16.2,68,0.242,0.265,0.348,0.106,1.08,2,1.08,2.9%,23.0%,22.1%,19.2%,11.6%,8.10,73.9%,8.8%,5.9%,33.3%,23.5%,16.7%,11.8%
vsRHB,16.2,65,0.155,0.201,0.172,0.017,0.96,0,-,10.8%,21.3%,26.2%,22.1%,10.3%,9.18,57.6%,6.8%,-,26.8%,14.6%,-,9.8%

,,STATS,STRIKES,STATCAST
BATTER,ODDS,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Pete Alonso RHB,+246,24,4.40,3,3,0.350,0.417,0.800,0.450,0.492,12.5%,19.0%,16.7%,9.5%,99.7,17.6%,-,5.9%,76.5%,23.5%,75.4,60.6%,36.4%,30.3%,84.6%,29.4%,60.0%,11.8%,58.8%,29.4%,41.2%,29.4%,37.5%
Colton Cowser LHB,+375,12,2.60,2,3,0.700,0.750,1.400,0.700,0.861,16.7%,9.5%,8.3%,4.8%,88.4,22.2%,-,11.1%,33.3%,44.4%,75.0,42.1%,21.1%,10.5%,90.5%,33.3%,66.7%,22.2%,44.4%,33.3%,33.3%,33.3%,50.0%
Coby Mayo RHB,+435,24,3.40,1,1,0.200,0.333,0.350,0.150,0.313,8.3%,15.9%,25.0%,7.2%,96.2,14.3%,7.1%,50.0%,57.1%,35.7%,75.9,69.2%,25.6%,15.4%,90.7%,42.9%,16.7%,21.4%,28.6%,71.4%,28.6%,-,14.3%
Blaze Alexander RHB,N/A,20,3.60,1,3,0.368,0.400,0.684,0.316,0.461,5.0%,21.4%,20.0%,11.1%,91.4,20.0%,6.7%,20.0%,66.7%,53.3%,73.2,33.3%,44.4%,29.6%,96.4%,20.0%,33.3%,40.0%,33.3%,33.3%,53.3%,13.3%,44.4%
Tyler O'Neill RHB,N/A,17,2.20,1,2,0.200,0.294,0.467,0.267,0.327,11.8%,14.8%,11.8%,8.0%,86.7,15.4%,15.4%,30.8%,15.4%,30.8%,71.3,8.3%,33.3%,4.2%,88.9%,53.8%,0.0%,15.4%,15.4%,46.2%,38.5%,15.4%,36.8%
Jackson Holliday LHB,+497,17,3.20,1,1,0.200,0.294,0.400,0.200,0.305,11.8%,34.4%,23.5%,14.7%,92.6,9.1%,9.1%,18.2%,36.4%,27.3%,71.0,6.7%,33.3%,13.3%,93.8%,27.3%,33.3%,18.2%,45.5%,63.6%,18.2%,18.2%,18.2%
Samuel Basallo LHB,+222,16,2.80,1,1,0.182,0.312,0.455,0.273,0.309,18.8%,15.4%,12.5%,7.0%,91.9,9.1%,-,-,36.4%,18.2%,75.1,62.5%,33.3%,12.5%,92.3%,36.4%,25.0%,9.1%,45.5%,27.3%,54.5%,18.2%,23.5%
Taylor Ward RHB,+378,24,4.40,0,1,0.263,0.417,0.263,-,0.321,20.8%,21.2%,20.8%,8.1%,87.9,7.1%,-,7.1%,42.9%,57.1%,67.6,3.2%,32.3%,16.1%,93.9%,28.6%,0.0%,35.7%,14.3%,7.1%,64.3%,28.6%,29.6%
Leody Taveras SHB,+567,21,4.00,0,0,0.412,0.524,0.647,0.235,0.491,19.0%,37.5%,23.8%,17.4%,81.4,-,-,33.3%,33.3%,33.3%,73.4,44.4%,18.5%,11.1%,87.1%,8.3%,0.0%,33.3%,41.7%,50.0%,33.3%,16.7%,54.5%
Jeremiah Jackson RHB,N/A,19,2.80,0,0,0.294,0.316,0.353,0.059,0.288,5.3%,13.3%,5.3%,7.3%,93.4,-,-,5.9%,52.9%,23.5%,73.8,32.1%,42.9%,28.6%,93.3%,17.6%,0.0%,23.5%,47.1%,35.3%,29.4%,35.3%,36.8%
Adley Rutschman SHB,+351,17,5.00,0,0,0.231,0.412,0.385,0.154,0.354,23.5%,6.1%,5.9%,2.4%,89.5,-,-,41.7%,41.7%,25.0%,71.9,23.3%,26.7%,6.7%,93.8%,16.7%,0.0%,25.0%,41.7%,50.0%,33.3%,16.7%,28.0%
Gunnar Henderson LHB,+251,14,4.40,0,0,0.091,0.286,0.182,0.091,0.230,21.4%,14.7%,21.4%,6.8%,86.3,12.5%,12.5%,25.0%,50.0%,25.0%,74.2,36.7%,13.3%,10.0%,88.2%,12.5%,0.0%,25.0%,50.0%,50.0%,37.5%,12.5%,29.4%
Weston Wilson RHB,N/A,9,1.60,0,0,0.286,0.444,0.286,-,0.342,22.2%,28.6%,11.1%,10.0%,91.8,-,-,16.7%,50.0%,16.7%,72.5,16.7%,41.7%,16.7%,92.3%,33.3%,0.0%,16.7%,50.0%,16.7%,50.0%,33.3%,25.0%
