Bat Side,L
Condition,night

#,BALLPARK,ELEV,ROOF,BBE,PARK,HR,HITS,1B,2B,3B,K,BB,BARREL,HARDHIT,DIST,AVG EV,AVG DIST
1,Rate Field,595',Open,"1,950",1.10,1.12,1.10,1.09,1.09,1.00,0.99,1.01,1.12,1.10,1.00,88.9,180.1
2,loanDepot park,10',Retractable,"2,756",1.04,1.02,1.05,1.04,1.04,1.05,0.96,0.98,1.01,1.07,0.99,88.8,166.4
3,Great American Ball Park,535',Open,"2,131",1.04,1.11,1.02,0.99,1.06,0.90,1.02,1.03,0.97,1.00,1.00,87.8,174.8
4,PNC Park,780',Open,"2,332",1.03,0.96,1.03,1.00,1.17,0.96,0.97,1.04,1.00,1.05,1.01,89.6,173.8
5,Rogers Centre,270',Retractable,"2,468",1.03,1.09,1.03,0.99,1.07,0.96,1.02,0.98,1.08,1.03,1.01,88.1,171.6
6,Target Field,828',Open,"2,108",1.03,1.00,1.04,1.03,1.09,0.92,1.01,1.01,1.05,1.03,1.01,88.6,177.9
7,Oriole Park at Camden Yards,33',Open,"3,117",1.03,1.11,1.03,1.04,0.92,0.98,0.98,0.98,1.02,1.03,1.00,89.5,172
8,Comerica Park,600',Open,"2,577",1.03,0.98,1.05,1.06,0.98,1.29,0.99,1.00,0.99,1.07,1.01,89.5,173.1
9,Nationals Park,35',Open,"2,759",1.02,1.03,1.02,1.02,1.00,0.99,0.94,1.00,1.08,1.02,1.01,88.9,164.9
10,Kauffman Stadium,856',Open,"2,183",1.01,0.88,1.03,1.04,1.06,1.15,0.95,1.03,0.97,1.01,1.02,88.4,168.5
11,Citizens Bank Park,20',Open,"3,048",1.01,1.04,1.01,1.00,0.97,1.04,1.02,1.04,0.95,0.98,1.01,88.9,170.8
12,Busch Stadium,460',Open,"2,277",1.00,0.93,1.01,1.02,1.02,0.92,0.94,1.00,1.02,1.03,1.01,88.8,157
13,Wrigley Field,595',Open,"1,009",0.99,0.97,1.01,1.03,0.91,1.07,0.96,1.02,0.95,1.04,1.01,89.2,163.6
14,George M. Steinbrenner Field,34',Open,"1,298",0.99,0.97,1.00,1.02,0.97,0.85,1.00,1.00,0.93,1.05,0.99,89.2,156.7
15,Fenway Park,21',Open,"3,280",0.99,0.88,1.01,1.00,1.13,0.93,1.02,1.01,0.96,1.00,1.00,89.1,163.5
16,American Family Field,597',Retractable,"1,834",0.99,0.99,1.01,1.05,0.91,0.95,1.04,0.98,0.93,1.00,1.01,86.8,161.3
17,Citi Field,10',Open,"2,614",0.99,0.88,1.01,1.05,0.99,0.95,1.01,1.05,0.91,0.99,0.99,88.8,167.9
18,Yankee Stadium,55',Open,"2,825",0.99,0.98,1.00,1.00,0.98,0.93,1.01,1.00,0.97,1.03,1.00,89.2,171.1
19,Truist Park,1001',Open,"3,397",0.99,0.94,1.02,1.04,0.98,1.00,1.06,0.96,0.96,1.00,1.02,89.3,169
20,Progressive Field,653',Open,"4,021",0.97,1.00,0.98,1.00,0.93,0.78,1.05,0.99,0.98,1.04,0.99,87.7,165.7
21,Tropicana Field,15',Dome,"1,102",0.96,0.89,0.99,1.01,0.94,1.16,1.05,1.02,0.90,0.98,1.00,87.9,160.9
