Batter,Batter Team,Pitcher,Pitcher Team,AB,Avg,BABIP,ISO,SLG,1B,2B,3B,HR,XBH,RBI,TB,K%,OBP,BB
"Yohendrick Pinango","TOR","Ian Seymour","TB","1","1.000","1.00","1.00","2.00","0","1","0","0","1","0","2","0.0","1.000","0"
"Michael Harris II","ATL","Griffin Canning","SD","5","0.800","0.80","0.40","1.20","2","2","0","0","2","2","6","0.0","0.800","0"
"Chase DeLauter","CLE","Taj Bradley","MIN","3","0.667","0.67","0.33","1.00","1","1","0","0","1","0","3","0.0","0.667","0"
"Gabriel Moreno","ARI","Michael McGreevy","STL","3","0.667","1.00","0.33","1.00","1","1","0","0","1","0","3","33.3","0.667","0"
"Tim Tawa","ARI","Michael McGreevy","STL","2","0.500","0.00","1.50","2.00","0","0","0","1","1","1","4","0.0","0.500","0"
"Junior Caminero","TB","Shane Bieber","TOR","2","0.500","0.00","1.50","2.00","0","0","0","1","1","1","4","0.0","0.667","1"
"Jonathan Aranda","TB","Shane Bieber","TOR","2","0.500","0.00","1.50","2.00","0","0","0","1","1","1","4","0.0","0.500","0"
"Andres Gimenez","TOR","Ian Seymour","TB","2","0.500","0.00","1.50","2.00","0","0","0","1","1","2","4","0.0","0.500","0"
"Alejandro Kirk","TOR","Ian Seymour","TB","4","0.500","0.25","1.00","1.50","0","1","0","1","2","5","6","0.0","0.400","0"
"Ernie Clement","TOR","Ian Seymour","TB","8","0.500","0.67","0.13","0.63","3","1","0","0","1","0","5","25.0","0.500","0"
"Daniel Schneemann","CLE","Taj Bradley","MIN","7","0.429","0.75","0.29","0.71","1","2","0","0","2","0","5","42.9","0.429","0"
"Rhys Hoskins","CLE","Taj Bradley","MIN","5","0.400","0.50","0.80","1.20","0","1","0","1","2","1","6","40.0","0.400","0"
"Masyn Winn","STL","Brandon Pfaadt","ARI","10","0.400","0.50","0.30","0.70","3","0","0","1","1","1","7","30.0","0.538","2"
"Byron Buxton","MIN","Gavin Williams","CLE","10","0.400","0.50","0.10","0.50","3","1","0","0","1","2","5","20.0","0.455","1"
"Jose Ramirez","CLE","Taj Bradley","MIN","8","0.375","0.60","0.13","0.50","2","1","0","0","1","0","4","37.5","0.444","1"
"Ryan Jeffers","MIN","Gavin Williams","CLE","16","0.375","0.46","0.13","0.50","4","2","0","0","2","2","8","18.8","0.375","0"
"Manny Machado","SD","Chris Sale","ATL","31","0.355","0.45","0.19","0.55","7","3","0","1","4","3","17","25.8","0.444","5"
"Gavin Sheets","SD","Chris Sale","ATL","3","0.333","0.00","1.00","1.33","0","0","0","1","1","1","4","66.7","0.333","0"
"Ildemaro Vargas","ARI","Michael McGreevy","STL","3","0.333","0.33","0.67","1.00","0","0","1","0","1","0","3","0.0","0.333","0"
"Fernando Tatis Jr.","SD","Chris Sale","ATL","12","0.333","0.50","0.33","0.67","2","1","0","1","2","1","8","41.7","0.333","0"
"Xander Bogaerts","SD","Chris Sale","ATL","22","0.318","0.33","0.14","0.45","6","0","0","1","1","2","10","13.6","0.423","3"
"Lars Nootbaar","STL","Brandon Pfaadt","ARI","12","0.250","0.20","0.25","0.50","2","0","0","1","1","4","6","8.3","0.250","0"
"Royce Lewis","MIN","Gavin Williams","CLE","18","0.222","0.25","0.22","0.44","2","1","0","1","2","2","8","27.8","0.222","0"
"Matt Olson","ATL","Griffin Canning","SD","19","0.211","0.22","0.37","0.58","1","1","0","2","3","3","11","42.1","0.250","1"
"Kody Clemens","MIN","Gavin Williams","CLE","12","0.167","0.33","0.17","0.33","0","2","0","0","2","0","4","50.0","0.167","0"
"Cedric Mullins","TB","Shane Bieber","TOR","7","0.143","0.00","0.43","0.57","0","0","0","1","1","1","4","42.9","0.143","0"
