HR Split,Overall
Dates,="6/1/2026"
Games,20

#,TIME,PITCHER,VS,HR RISK,VS LHB,VS RHB,HR/9,BARREL%,HR/FB%,HH%,FB%,MEATBALL%,BF
1,7:10 PM,Lyon Richardson,vs,2.28,0.07,1.87,3.77,17.1%,31.6%,47.2%,27.7%,8.6%,178
2,9:38 PM,Kyle Freeland,@,1.42,-0.05,1.75,3.10,11.0%,26.9%,44.4%,30.6%,7.1%,1026
3,7:45 PM,Jacob deGrom,@,1.10,2.06,0.37,2.28,10.5%,26.5%,47.0%,34.6%,6.1%,1022
4,9:40 PM,Emmet Sheehan,@,0.47,0.90,0.13,1.58,9.7%,21.0%,37.1%,29.7%,8.0%,654
5,7:45 PM,Michael McGreevy,vs,0.11,0.65,-0.48,1.11,9.7%,14.7%,44.5%,25.3%,6.0%,751
6,6:45 PM,Sandy Alcantara,@,0.07,0.59,-0.47,1.33,8.0%,14.6%,39.6%,25.3%,7.8%,1197
7,7:40 PM,Joe Ryan,vs,-0.16,0.26,-0.72,0.59,9.3%,8.0%,43.1%,28.0%,7.9%,1042
8,9:40 PM,Emerson Hancock,vs,-0.17,0.24,-0.51,0.81,7.8%,12.5%,44.1%,24.0%,7.3%,773
9,9:38 PM,Jose Soriano,vs,-0.19,-0.25,0.16,0.84,8.5%,14.2%,39.5%,24.2%,6.4%,1138
10,6:45 PM,Cade Cavalli,vs,-0.28,-0.30,-0.09,0.65,8.1%,8.5%,42.9%,22.5%,8.6%,610
11,6:40 PM,Griffin Jax,vs,-0.48,-0.74,0.32,0.83,5.4%,14.9%,34.4%,22.4%,7.5%,486
12,6:40 PM,Ty Madden,@,-0.49,0.59,-0.97,0.79,6.9%,16.7%,34.5%,20.7%,5.1%,86
13,9:40 PM,Eduardo Rodriguez,vs,-0.59,-0.36,-0.47,0.61,7.2%,7.3%,34.1%,26.2%,5.9%,1094
14,7:40 PM,Chad Patrick,vs,-0.67,-0.51,-0.47,0.36,4.5%,4.8%,34.5%,32.8%,8.8%,754
15,9:40 PM,Sean Manaea,@,-0.68,-0.72,-0.05,0.60,4.8%,9.1%,37.0%,21.2%,7.8%,480
16,7:40 PM,Landen Roupp,@,-0.90,-1.12,-0.23,0.65,4.9%,14.2%,28.5%,17.5%,5.2%,835
17,7:10 PM,Luinder Avila,@,-0.94,-0.62,-0.86,0.20,7.6%,2.5%,28.9%,23.1%,6.6%,193
18,7:40 PM,David Sandlin,@,-,-,-,1.50,6.7%,0.0%,40.0%,40.0%,8.2%,38
