Split,Season
Range,L10
Dates,="6/1/2026"
Games,20

,STATS,STATCAST
TIME,PITCHER,VS,IP,BF,FIP,AVG,WOBA,WHIP,ISO,SLG,HR,HR/9,TB,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,BB,BB%,1STPS%,MEATBALL%,BBE,HH%,BARRELS,BARREL%,FB%,HR/FB%,PULLAIR%
7:10 PM,Lyon Richardson,vs,0.2,3,19.60,0.333,0.668,1.50,1.000,1.333,1,13.50,4,-,33.3%,50.0%,-,13.50,0,-,33.3%,9.1%,2,50.0%,1,50.0%,50.0%,100.0%,-
9:38 PM,Kyle Freeland,@,42.1,202,6.29,0.331,0.417,1.75,0.260,0.591,12,2.55,107,23.1%,19.3%,17.3%,11.8%,8.29,14,6.9%,63.1%,6.7%,144,43.1%,13,9.0%,29.2%,26.2%,19.4%
7:45 PM,Jacob deGrom,@,54.2,218,4.31,0.205,0.277,0.99,0.205,0.410,12,1.98,84,34.0%,28.9%,22.8%,18.0%,10.37,12,5.5%,60.3%,6.5%,143,44.1%,16,11.2%,34.3%,24.5%,23.8%
9:40 PM,Emmet Sheehan,@,50.1,217,4.09,0.253,0.330,1.27,0.207,0.460,9,1.61,91,31.3%,27.2%,21.8%,16.0%,10.55,14,6.5%,65.0%,8.4%,141,37.6%,13,9.2%,27.7%,23.1%,27.0%
7:40 PM,David Sandlin,@,6.0,19,3.93,0.053,0.106,0.17,0.158,0.211,1,1.50,4,24.1%,21.1%,23.5%,11.5%,6.00,0,-,63.2%,8.2%,15,40.0%,1,6.7%,40.0%,-,26.7%
6:45 PM,Sandy Alcantara,@,59.1,267,4.92,0.295,0.359,1.53,0.184,0.480,9,1.37,117,20.2%,14.6%,13.5%,10.1%,5.92,19,7.1%,65.5%,7.3%,204,37.7%,15,7.4%,24.5%,16.0%,14.7%
7:45 PM,Michael McGreevy,vs,53.0,218,4.36,0.249,0.305,1.21,0.166,0.415,8,1.36,85,21.0%,17.4%,15.5%,9.6%,6.45,13,6.0%,54.6%,6.1%,167,41.9%,18,10.8%,25.7%,16.3%,13.2%
9:40 PM,Emerson Hancock,vs,57.2,232,3.90,0.231,0.290,1.11,0.153,0.384,8,1.25,83,23.8%,22.8%,18.2%,12.6%,8.27,14,6.0%,66.1%,8.0%,162,43.8%,16,9.9%,27.2%,18.2%,13.0%
6:40 PM,Griffin Jax,vs,25.0,101,4.14,0.225,0.282,1.24,0.112,0.337,3,1.08,30,29.7%,22.8%,23.5%,14.2%,8.28,11,10.9%,69.0%,7.3%,67,35.8%,4,6.0%,23.9%,18.8%,10.4%
9:38 PM,Jose Soriano,vs,58.0,244,3.48,0.217,0.276,1.24,0.097,0.313,6,0.93,68,32.9%,27.5%,24.5%,15.3%,10.40,25,10.2%,56.3%,6.1%,151,37.1%,15,9.9%,28.5%,14.0%,13.2%
6:40 PM,Ty Madden,@,11.1,43,2.66,0.171,0.201,0.79,0.073,0.244,1,0.79,10,26.2%,27.9%,23.1%,12.0%,9.53,2,4.7%,62.8%,5.1%,29,34.5%,2,6.9%,20.7%,16.7%,3.4%
9:40 PM,Eduardo Rodriguez,vs,60.2,252,3.86,0.223,0.286,1.22,0.135,0.358,5,0.74,82,19.6%,17.5%,18.1%,9.0%,6.53,23,9.1%,60.9%,5.9%,185,36.2%,15,8.1%,27.0%,8.0%,17.3%
7:40 PM,Joe Ryan,vs,55.0,216,2.74,0.181,0.237,0.87,0.111,0.291,4,0.65,58,26.2%,27.8%,19.4%,13.0%,9.82,12,5.6%,68.3%,7.9%,140,40.0%,11,7.9%,27.1%,7.9%,17.9%
9:40 PM,Sean Manaea,@,29.1,136,3.20,0.294,0.356,1.57,0.151,0.445,2,0.61,53,22.7%,25.0%,18.5%,10.8%,10.43,11,8.1%,61.8%,7.0%,87,36.8%,7,8.0%,25.3%,9.1%,27.6%
6:45 PM,Cade Cavalli,vs,50.1,226,2.92,0.276,0.320,1.41,0.085,0.362,3,0.54,72,25.2%,26.5%,23.5%,11.9%,10.73,16,7.1%,62.4%,9.0%,142,43.7%,12,8.5%,21.8%,6.5%,15.5%
7:40 PM,Landen Roupp,@,54.0,227,2.82,0.229,0.285,1.24,0.107,0.337,3,0.50,69,25.7%,26.4%,21.9%,10.8%,10.00,20,8.8%,56.6%,4.9%,144,26.4%,4,2.8%,17.4%,12.0%,15.3%
7:10 PM,Luinder Avila,@,19.1,95,3.57,0.325,0.391,2.02,0.169,0.494,1,0.47,41,23.5%,21.1%,15.7%,9.9%,9.31,12,12.6%,52.6%,7.1%,63,34.9%,6,9.5%,27.0%,5.9%,12.7%
7:40 PM,Chad Patrick,vs,32.1,131,3.10,0.214,0.266,1.18,0.103,0.316,1,0.28,37,27.5%,19.8%,17.8%,13.9%,7.24,13,9.9%,66.2%,6.4%,92,38.0%,5,5.4%,30.4%,3.6%,20.7%
