Split,vsLHB
Range,Season
Dates,="7/25/2026"
Games,10

,STATS,STATCAST
TIME,PITCHER,VS,IP,BF,FIP,AVG,WOBA,WHIP,ISO,SLG,HR,HR/9,TB,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,BB,BB%,1STPS%,MEATBALL%,BBE,HH%,BARRELS,BARREL%,FB%,HR/FB%,PULLAIR%
7:10 PM,Brady Basso,@,2.2,13,0.10,0.385,0.475,1.88,0.385,0.769,0,-,10,29.6%,30.8%,26.7%,17.4%,13.50,0,-,38.5%,17.4%,9,66.7%,0,-,33.3%,-,33.3%
6:05 PM,Ryan Weathers,@,22.0,98,2.92,0.290,0.323,1.41,0.129,0.419,3,1.23,39,32.0%,29.6%,30.9%,15.4%,11.86,4,4.1%,57.7%,7.3%,63,41.3%,5,7.9%,25.4%,18.8%,12.7%
7:15 PM,Andre Pallante,vs,54.2,237,4.07,0.273,0.322,1.41,0.145,0.418,6,0.99,92,19.8%,16.0%,14.9%,8.9%,6.26,17,7.2%,63.3%,9.1%,182,39.6%,14,7.7%,17.6%,15.6%,11.0%
7:15 PM,Nathan Eovaldi,vs,63.0,268,4.47,0.267,0.333,1.30,0.203,0.470,12,1.71,118,28.7%,22.0%,19.7%,15.3%,8.43,15,5.6%,66.0%,4.8%,192,43.8%,19,9.9%,27.6%,22.6%,17.2%
7:10 PM,Mike Paredes,vs,21.0,96,6.72,0.265,0.358,1.48,0.205,0.470,4,1.71,39,16.7%,6.2%,7.6%,8.4%,2.57,9,9.4%,61.5%,7.6%,78,50.0%,4,5.1%,28.2%,18.2%,24.4%
7:15 PM,Bryan Woo,@,61.1,263,3.82,0.254,0.309,1.30,0.154,0.408,8,1.17,98,23.5%,22.8%,18.1%,12.3%,8.80,19,7.2%,66.2%,6.5%,183,45.9%,15,8.2%,33.9%,11.3%,13.1%
7:10 PM,Ryan Feltner,@,30.1,137,6.13,0.250,0.354,1.52,0.233,0.483,7,2.08,58,26.5%,18.2%,18.5%,12.2%,7.42,16,11.7%,59.4%,9.8%,95,41.1%,11,11.6%,29.5%,25.0%,20.0%
6:10 PM,Nick Martinez,vs,63.1,260,4.22,0.238,0.295,1.15,0.168,0.406,8,1.14,99,19.5%,15.0%,16.2%,9.6%,5.54,15,5.8%,63.8%,7.2%,206,34.5%,16,7.8%,32.5%,10.4%,19.9%
7:05 PM,Brandon Young,vs,54.1,229,4.81,0.238,0.314,1.31,0.163,0.401,7,1.16,81,21.1%,15.3%,15.4%,10.4%,5.80,23,10.0%,63.9%,7.9%,169,42.6%,12,7.1%,29.0%,14.3%,21.3%
7:10 PM,Hunter Brown,@,20.1,94,5.41,0.227,0.343,1.62,0.160,0.387,3,1.33,29,30.1%,24.5%,24.7%,11.5%,10.18,16,17.0%,56.2%,6.8%,53,45.3%,4,7.5%,26.4%,14.3%,7.5%
6:05 PM,Tim Mayza,vs,21.0,86,2.96,0.225,0.258,1.10,0.075,0.300,1,0.43,24,20.0%,19.8%,15.3%,8.2%,7.29,5,5.8%,70.9%,5.6%,63,39.7%,3,4.8%,9.5%,16.7%,6.3%
7:15 PM,Nolan McLean,vs,63.1,272,3.49,0.219,0.300,1.23,0.139,0.359,6,0.85,85,25.5%,27.9%,24.4%,11.5%,10.80,26,9.6%,60.7%,7.2%,163,39.3%,11,6.7%,26.4%,11.6%,15.3%
7:10 PM,Sean Burke,vs,69.2,284,3.70,0.218,0.292,1.13,0.167,0.385,9,1.16,99,23.7%,26.4%,20.9%,11.6%,9.69,23,8.1%,64.8%,7.0%,184,37.0%,14,7.6%,32.1%,13.6%,20.1%
6:10 PM,Tanner Bibee,@,66.2,270,5.11,0.215,0.301,1.10,0.207,0.423,14,1.89,104,26.3%,21.1%,19.2%,12.6%,7.69,20,7.4%,60.7%,8.7%,190,38.9%,21,11.1%,30.5%,20.7%,22.1%
6:40 PM,Paul Skenes,vs,72.0,285,2.91,0.215,0.276,1.04,0.142,0.356,6,0.75,93,27.4%,27.7%,21.7%,14.3%,9.88,19,6.7%,59.0%,5.2%,184,37.0%,12,6.5%,25.5%,10.6%,14.1%
7:10 PM,Robert Gasser,vs,16.2,71,4.18,0.213,0.326,1.26,0.213,0.426,2,1.08,26,31.2%,26.8%,17.8%,14.9%,10.26,8,11.3%,67.6%,7.9%,42,33.3%,2,4.8%,31.0%,15.4%,21.4%
7:15 PM,Hunter Greene,@,9.2,42,1.96,0.211,0.277,1.24,0.132,0.342,1,0.93,13,31.1%,42.9%,36.7%,16.6%,16.76,4,9.5%,57.1%,9.5%,20,50.0%,1,5.0%,30.0%,16.7%,15.0%
7:05 PM,Bryce Elder,@,71.1,288,4.12,0.203,0.271,1.07,0.146,0.349,9,1.14,91,22.6%,20.1%,23.9%,10.6%,7.32,23,8.0%,62.8%,6.4%,206,35.9%,10,4.9%,30.1%,14.5%,18.9%
6:40 PM,Shota Imanaga,@,31.2,127,4.74,0.198,0.298,1.07,0.233,0.431,7,1.99,50,30.6%,28.3%,26.3%,14.9%,10.23,11,8.7%,59.8%,7.0%,80,38.8%,10,12.5%,33.8%,25.9%,17.5%
7:15 PM,Yoshinobu Yamamoto,@,62.0,233,3.57,0.193,0.244,0.87,0.124,0.317,7,1.02,69,23.2%,22.3%,17.1%,11.3%,7.55,12,5.2%,60.5%,6.6%,167,34.1%,12,7.2%,25.1%,16.7%,16.8%
