Batter,Batter Team,Pitcher,Pitcher Team,AB,Avg,BABIP,ISO,SLG,1B,2B,3B,HR,XBH,RBI,TB,K%,OBP,BB
"Francisco Alvarez","NYM","Matthew Boyd","CHC","1","1.000","0.00","3.00","4.00","0","0","0","1","1","2","4","0.0","1.000","1"
"Anthony Seigler","BOS","Cam Schlittler","NYY","1","1.000","1.00","1.00","2.00","0","1","0","0","1","0","2","0.0","1.000","1"
"Lawrence Butler","ATH","Landen Roupp","SF","1","1.000","1.00","1.00","2.00","0","1","0","0","1","0","2","0.0","1.000","2"
"Justin Crawford","PHI","Cade Cavalli","WSH","2","1.000","1.00","0.50","1.50","1","1","0","0","1","0","3","0.0","1.000","0"
"Myles Straw","TOR","MacKenzie Gore","TEX","5","0.600","0.60","0.20","0.80","2","1","0","0","1","0","4","0.0","0.600","0"
"Luis Torrens","NYM","Matthew Boyd","CHC","2","0.500","0.50","1.00","1.50","0","0","1","0","1","1","3","0.0","0.500","0"
"Vladimir Guerrero Jr.","TOR","MacKenzie Gore","TEX","8","0.500","0.50","0.50","1.00","2","1","0","1","2","4","8","12.5","0.500","0"
"Cedric Mullins","TB","Seth Lugo","KC","8","0.500","0.50","0.50","1.00","2","1","0","1","2","1","8","12.5","0.500","0"
"Davis Schneider","TOR","MacKenzie Gore","TEX","7","0.429","0.40","0.57","1.00","1","1","0","1","2","1","7","14.3","0.500","0"
"Mark Vientos","NYM","Matthew Boyd","CHC","5","0.400","0.33","0.60","1.00","1","0","0","1","1","1","5","20.0","0.400","0"
"Bo Bichette","NYM","Matthew Boyd","CHC","5","0.400","0.25","0.60","1.00","1","0","0","1","1","1","5","0.0","0.400","0"
"Lars Nootbaar","STL","Zac Gallen","ARI","5","0.400","0.25","0.60","1.00","1","0","0","1","1","1","5","0.0","0.625","3"
"Luis Arraez","SF","Jeffrey Springs","ATH","8","0.375","0.29","0.38","0.75","2","0","0","1","1","1","6","0.0","0.375","0"
"Pete Crow-Armstrong","CHC","Freddy Peralta","NYM","17","0.353","0.33","0.24","0.59","4","1","0","1","2","3","10","5.9","0.368","1"
"Tyler Soderstrom","ATH","Landen Roupp","SF","3","0.333","0.50","0.33","0.67","0","1","0","0","1","0","2","33.3","0.333","0"
"Jonathan Aranda","TB","Seth Lugo","KC","6","0.333","0.50","0.17","0.50","1","1","0","0","1","2","3","33.3","0.333","0"
"Trea Turner","PHI","Cade Cavalli","WSH","9","0.333","0.43","0.11","0.44","2","1","0","0","1","1","4","22.2","0.400","1"
