Batter,Batter Team,Pitcher,Pitcher Team,AB,Avg,BABIP,ISO,SLG,1B,2B,3B,HR,XBH,RBI,TB,K%,OBP,BB
"Brett Sullivan","COL","Edward Cabrera","CHC","2","1.000","1.00","1.50","2.50","1","0","0","1","1","1","5","0.0","1.000","0"
"Brandon Marsh","PHI","Tyler Phillips","MIA","3","0.667","0.67","0.33","1.00","1","1","0","0","1","0","3","0.0","0.750","1"
"Amed Rosario","NYY","Davis Martin","CWS","3","0.667","0.67","0.67","1.33","0","2","0","0","2","2","4","0.0","0.667","0"
"Cody Bellinger","NYY","Davis Martin","CWS","3","0.667","0.50","1.00","1.67","1","0","0","1","1","2","5","0.0","0.800","2"
"Masataka Yoshida","BOS","Dylan Cease","TOR","5","0.600","0.75","0.20","0.80","2","1","0","0","1","0","4","20.0","0.600","0"
"Zack Short","NYM","Brady Singer","CIN","5","0.600","0.67","0.60","1.20","2","0","0","1","1","2","6","20.0","0.600","0"
"Isiah Kiner-Falefa","BOS","Dylan Cease","TOR","7","0.571","0.67","0.14","0.71","3","1","0","0","1","0","5","14.3","0.571","0"
"Nick Kurtz","ATH","Mitch Keller","PIT","2","0.500","0.00","1.50","2.00","0","0","0","1","1","1","4","50.0","0.500","0"
"Cole Carrigg","COL","Edward Cabrera","CHC","2","0.500","0.00","1.50","2.00","0","0","0","1","1","1","4","50.0","0.500","0"
"Seiya Suzuki","CHC","Ryan Feltner","COL","2","0.500","0.00","1.50","2.00","0","0","0","1","1","4","4","50.0","0.500","0"
"Sam Huff","BAL","Logan Gilbert","SEA","2","0.500","0.50","0.50","1.00","0","1","0","0","1","0","2","0.0","0.500","0"
"Vladimir Guerrero Jr.","TOR","Payton Tolle","BOS","2","0.500","0.50","0.50","1.00","0","1","0","0","1","0","2","0.0","0.500","0"
"Max Schuemann","NYY","Davis Martin","CWS","4","0.500","0.67","0.50","1.00","1","0","1","0","1","0","4","25.0","0.500","0"
"Wilyer Abreu","BOS","Dylan Cease","TOR","4","0.500","0.67","0.25","0.75","1","1","0","0","1","1","3","25.0","0.600","1"
"Lourdes Gurriel Jr.","ARI","Reid Detmers","LAA","4","0.500","0.50","0.50","1.00","0","2","0","0","2","0","4","0.0","0.667","2"
"Austin Riley","ATL","Adrian Houser","SF","19","0.421","0.47","0.16","0.58","7","0","0","1","1","8","11","15.8","0.450","1"
"Alec Burleson","STL","Michael King","SD","5","0.400","0.25","0.60","1.00","1","0","0","1","1","1","5","0.0","0.571","2"
"Luis Garcia Jr.","WSH","Michael Wacha","KC","5","0.400","0.25","1.00","1.40","0","0","1","1","2","4","7","0.0","0.400","0"
"Rafael Devers","SF","Grant Holmes","ATL","5","0.400","0.67","0.20","0.60","1","1","0","0","1","0","3","40.0","0.500","1"
"Santiago Espinal","LAD","Drew Rasmussen","TB","10","0.400","0.40","0.10","0.50","3","1","0","0","1","1","5","0.0","0.455","1"
"Juan Soto","NYM","Brady Singer","CIN","10","0.400","0.44","0.10","0.50","3","1","0","0","1","0","5","10.0","0.500","2"
"Willi Castro","COL","Edward Cabrera","CHC","8","0.375","0.43","0.13","0.50","2","1","0","0","1","0","4","12.5","0.375","0"
"Connor Norby","MIA","Jesus Luzardo","PHI","11","0.364","0.50","0.09","0.45","3","1","0","0","1","0","5","27.3","0.417","1"
"Ozzie Albies","ATL","Adrian Houser","SF","17","0.353","0.38","0.12","0.47","4","2","0","0","2","2","8","5.9","0.450","3"
"CJ Abrams","WSH","Michael Wacha","KC","3","0.333","0.33","0.67","1.00","0","0","1","0","1","0","3","0.0","0.333","0"
"Spencer Steer","CIN","Kodai Senga","NYM","3","0.333","0.00","1.00","1.33","0","0","0","1","1","1","4","66.7","0.333","0"
"Esteury Ruiz","MIA","Jesus Luzardo","PHI","3","0.333","0.00","1.00","1.33","0","0","0","1","1","2","4","66.7","0.333","0"
"Vidal Brujan","NYM","Brady Singer","CIN","3","0.333","0.33","0.33","0.67","0","1","0","0","1","0","2","0.0","0.333","0"
"Tyler O'Neill","BAL","Logan Gilbert","SEA","3","0.333","0.33","0.33","0.67","0","1","0","0","1","1","2","0.0","0.500","1"
"Joc Pederson","TEX","Zebby Matthews","MIN","3","0.333","0.00","1.00","1.33","0","0","0","1","1","1","4","33.3","0.333","0"
"Colt Keith","DET","Hunter Brown","HOU","9","0.333","0.60","0.11","0.44","2","1","0","0","1","0","4","44.4","0.400","1"
"Zach McKinstry","DET","Hunter Brown","HOU","10","0.300","0.38","0.30","0.60","1","1","1","0","2","0","6","20.0","0.364","1"
"Shea Langeliers","ATH","Mitch Keller","PIT","7","0.286","0.17","0.57","0.86","0","1","0","1","2","1","6","0.0","0.286","0"
"Willson Contreras","BOS","Dylan Cease","TOR","14","0.286","0.33","0.29","0.57","2","1","0","1","2","3","8","28.6","0.412","2"
"Marcus Semien","NYM","Brady Singer","CIN","14","0.286","0.40","0.07","0.36","3","1","0","0","1","2","5","28.6","0.333","1"
"Taylor Ward","BAL","Logan Gilbert","SEA","25","0.280","0.35","0.16","0.44","5","1","0","1","2","2","11","32.0","0.310","1"
"Javier Sanoja","MIA","Jesus Luzardo","PHI","11","0.273","0.30","0.09","0.36","2","1","0","0","1","2","4","18.2","0.308","1"
"Bo Bichette","NYM","Brady Singer","CIN","11","0.273","0.38","0.18","0.45","2","0","1","0","1","3","5","27.3","0.273","0"
"Manny Machado","SD","Andre Pallante","STL","11","0.273","0.38","0.09","0.36","2","1","0","0","1","1","4","27.3","0.273","0"
"Eric Wagaman","NYM","Brady Singer","CIN","4","0.250","0.33","0.25","0.50","0","1","0","0","1","0","2","25.0","0.400","1"
"Jazz Chisholm Jr.","NYY","Davis Martin","CWS","4","0.250","0.00","0.75","1.00","0","0","0","1","1","1","4","25.0","0.250","0"
"Ceddanne Rafaela","BOS","Dylan Cease","TOR","8","0.250","0.29","0.13","0.38","1","1","0","0","1","0","3","12.5","0.250","0"
"Pete Alonso","BAL","Logan Gilbert","SEA","9","0.222","0.29","0.11","0.33","1","1","0","0","1","0","3","22.2","0.222","0"
"Riley Greene","DET","Hunter Brown","HOU","14","0.214","0.38","0.07","0.29","2","1","0","0","1","2","4","50.0","0.400","5"
"Andrew Benintendi","CWS","Gerrit Cole","NYY","19","0.211","0.23","0.16","0.37","3","0","0","1","1","4","7","26.3","0.286","2"
"Ryan Vilade","TB","Justin Wrobleski","LAD","5","0.200","0.00","0.60","0.80","0","0","0","1","1","1","4","60.0","0.200","0"
"Andruw Monasterio","BOS","Dylan Cease","TOR","5","0.200","0.33","0.20","0.40","0","1","0","0","1","1","2","40.0","0.200","0"
"Kyle Higashioka","TEX","Zebby Matthews","MIN","5","0.200","0.33","0.20","0.40","0","1","0","0","1","0","2","40.0","0.200","0"
"Matt Olson","ATL","Adrian Houser","SF","11","0.182","0.29","0.09","0.27","1","1","0","0","1","2","3","36.4","0.357","3"
"Anthony Volpe","NYY","Davis Martin","CWS","6","0.167","0.17","0.17","0.33","0","1","0","0","1","0","2","0.0","0.167","0"
"Lawrence Butler","ATH","Mitch Keller","PIT","6","0.167","0.00","0.50","0.67","0","0","0","1","1","3","4","50.0","0.167","0"
"Christian Vazquez","HOU","Framber Valdez","DET","12","0.167","0.22","0.08","0.25","1","1","0","0","1","0","3","25.0","0.167","0"
"Kerry Carpenter","DET","Hunter Brown","HOU","15","0.133","0.09","0.20","0.33","1","0","0","1","1","1","5","20.0","0.188","1"
"Jeff McNeil","ATH","Mitch Keller","PIT","17","0.118","0.07","0.18","0.29","1","0","0","1","1","1","5","11.8","0.118","0"
