Batter,Batter Team,Pitcher,Pitcher Team,AB,Avg,BABIP,ISO,SLG,1B,2B,3B,HR,XBH,RBI,TB,K%,OBP,BB
"Freddie Freeman","LAD","Robert Gasser","MIL","2","1.000","1.00","1.00","2.00","0","2","0","0","2","0","4","0.0","1.000","2"
"Miguel Amaya","CHC","Matthew Liberatore","STL","3","1.000","1.00","0.33","1.33","2","1","0","0","1","2","4","0.0","1.000","0"
"Kyle Tucker","LAD","Robert Gasser","MIL","3","1.000","1.00","1.67","2.67","1","0","1","1","2","1","8","0.0","1.000","1"
"Drake Baldwin","ATL","Brandon Pfaadt","ARI","8","0.625","0.67","0.38","1.00","4","0","0","1","1","2","8","12.5","0.625","0"
"Julio Rodriguez","SEA","Peter Lambert","HOU","5","0.600","0.67","0.60","1.20","2","0","0","1","1","1","6","20.0","0.600","0"
"Tyler Soderstrom","ATH","Kumar Rocker","TEX","7","0.571","1.00","0.43","1.00","1","3","0","0","3","1","7","42.9","0.700","3"
"Mike Yastrzemski","ATL","Brandon Pfaadt","ARI","9","0.556","0.63","0.11","0.67","4","1","0","0","1","0","6","11.1","0.600","1"
"Jackson Merrill","SD","Gavin Williams","CLE","2","0.500","1.00","0.50","1.00","0","1","0","0","1","0","2","50.0","0.500","0"
"Coby Mayo","BAL","Steven Matz","TB","2","0.500","1.00","0.50","1.00","0","1","0","0","1","0","2","50.0","0.667","1"
"Francisco Alvarez","NYM","Andrew Alvarez","WSH","2","0.500","0.50","0.50","1.00","0","1","0","0","1","2","2","0.0","0.500","0"
"Andy Pages","LAD","Robert Gasser","MIL","2","0.500","0.50","0.50","1.00","0","1","0","0","1","1","2","0.0","0.500","0"
"Kyle Isbel","KC","Grayson Rodriguez","LAA","2","0.500","0.00","1.50","2.00","0","0","0","1","1","1","4","0.0","0.500","0"
"Trent Grisham","NYY","Shane Bieber","TOR","2","0.500","0.50","0.50","1.00","0","1","0","0","1","0","2","0.0","0.500","0"
"Teoscar Hernandez","LAD","Robert Gasser","MIL","2","0.500","0.00","1.50","2.00","0","0","0","1","1","3","4","50.0","0.500","0"
"Salvador Perez","KC","Grayson Rodriguez","LAA","2","0.500","0.00","1.50","2.00","0","0","0","1","1","2","4","50.0","0.500","0"
"Gunnar Henderson","BAL","Steven Matz","TB","6","0.500","0.67","0.50","1.00","2","0","0","1","1","2","6","33.3","0.500","0"
"Nelson Velazquez","HOU","George Kirby","SEA","6","0.500","0.40","0.50","1.00","2","0","0","1","1","1","6","0.0","0.500","0"
"Mauricio Dubon","ATL","Brandon Pfaadt","ARI","6","0.500","0.50","0.17","0.67","2","1","0","0","1","1","4","0.0","0.571","1"
"Chandler Simpson","TB","Chris Bassitt","BAL","8","0.500","0.50","0.13","0.63","3","1","0","0","1","2","5","0.0","0.500","0"
"Javier Baez","DET","Sean Newcomb","CWS","14","0.500","0.60","0.21","0.71","6","0","0","1","1","4","10","21.4","0.500","0"
"Alec Burleson","STL","Clay Holmes","CHC","9","0.444","0.57","0.11","0.56","3","1","0","0","1","2","5","22.2","0.444","0"
"Alex Bregman","CHC","Matthew Liberatore","STL","7","0.429","0.40","0.71","1.14","0","2","0","1","3","3","8","14.3","0.429","0"
"Carlos Cortes","ATH","Kumar Rocker","TEX","5","0.400","0.40","0.40","0.80","1","0","1","0","1","2","4","0.0","0.500","1"
"Austin Riley","ATL","Brandon Pfaadt","ARI","10","0.400","0.57","0.20","0.60","2","2","0","0","2","1","6","30.0","0.400","0"
"Pete Alonso","BAL","Steven Matz","TB","10","0.400","0.38","0.30","0.70","3","0","0","1","1","3","7","10.0","0.455","1"
"Daulton Varsho","HOU","George Kirby","SEA","8","0.375","0.43","0.13","0.50","2","1","0","0","1","3","4","12.5","0.333","0"
"Cedric Mullins","TB","Chris Bassitt","BAL","8","0.375","0.40","0.38","0.75","2","0","0","1","1","2","6","25.0","0.444","1"
"Alejandro Kirk","TOR","Gerrit Cole","NYY","24","0.375","0.38","0.33","0.71","3","5","0","1","6","3","17","8.3","0.375","0"
"Nico Hoerner","CHC","Matthew Liberatore","STL","14","0.357","0.33","0.07","0.43","4","1","0","0","1","1","6","0.0","0.375","1"
"Vladimir Guerrero Jr.","TOR","Gerrit Cole","NYY","35","0.343","0.32","0.29","0.63","6","4","0","2","6","5","22","8.6","0.415","3"
"Bryce Eldridge","SF","Kyle Freeland","COL","3","0.333","1.00","0.33","0.67","0","1","0","0","1","0","2","66.7","0.333","0"
"Mike Trout","LAA","Seth Lugo","KC","3","0.333","0.00","1.00","1.33","0","0","0","1","1","2","4","0.0","0.500","1"
"Junior Caminero","TB","Chris Bassitt","BAL","6","0.333","0.40","0.17","0.50","1","1","0","0","1","1","3","16.7","0.333","0"
