Matchup,PHI @ WSH
Pitcher,Zack Littell
Pitcher Team,WSH
Opposing Team,PHI

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,71.0,312,0.266,0.358,0.521,0.255,1.38,20,2.54,7.4%,14.9%,13.1%,13.3%,7.4%,5.20,62.9%,7.4%,11.4%,45.5%,37.0%,20.9%,19.5%
vsLHB,37.1,172,0.295,0.415,0.647,0.353,1.61,16,3.86,8.1%,12.0%,9.9%,10.1%,5.7%,4.10,59.0%,7.8%,13.5%,46.1%,40.4%,26.3%,19.9%
vsRHB,33.0,140,0.230,0.288,0.365,0.135,1.15,4,1.09,6.4%,18.4%,17.1%,17.0%,9.5%,6.55,67.9%,6.9%,8.6%,44.8%,32.4%,11.8%,19.0%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
J.T. Realmuto RHB,—,N/A,26,24,4.00,2,2,0.174,0.208,0.478,0.304,0.292,4.2%,34.5%,37.5%,21.8%,91.4,281.7,4,2,14.3%,14.3%,28.6%,28.6%,57.1%,71.6,19.1%,23.4%,4.3%,87.0%,21.4%,33.3%,50.0%,28.6%,50.0%,14.3%,35.7%,56.5%
Alec Bohm RHB,,N/A,22,22,4.20,2,1,0.286,0.318,0.571,0.286,0.382,4.5%,16.3%,18.2%,8.6%,88.5,247.0,2,1,11.8%,-,5.9%,41.2%,35.3%,69.5,5.4%,27.0%,16.2%,86.0%,29.4%,40.0%,17.6%,47.1%,17.6%,41.2%,41.2%,40.9%
Bryce Harper LHB,,N/A,30,16,4.20,2,2,0.500,0.625,1.333,0.833,0.740,25.0%,40.0%,18.8%,18.2%,95.5,275.1,3,1,-,-,22.2%,66.7%,33.3%,74.6,43.5%,34.8%,21.7%,92.0%,22.2%,100.0%,55.6%,22.2%,22.2%,55.6%,22.2%,44.4%
Rafael Marchan SHB,,N/A,9,19,2.80,1,1,0.167,0.211,0.333,0.167,0.238,5.3%,17.5%,5.3%,9.3%,82.3,193.4,1,1,5.9%,5.9%,29.4%,17.6%,29.4%,65.9,-,32.4%,2.9%,85.0%,11.8%,50.0%,17.6%,35.3%,47.1%,23.5%,29.4%,28.6%
Kyle Schwarber LHB,,N/A,31,15,4.40,1,1,0.214,0.267,0.429,0.214,0.302,6.7%,27.3%,46.7%,14.3%,97.7,267.8,2,1,-,-,42.9%,71.4%,57.1%,77.5,79.3%,17.2%,13.8%,93.5%,28.6%,0.0%,57.1%,14.3%,57.1%,42.9%,-,53.8%
Trea Turner RHB,,N/A,22,26,3.80,0,0,0.160,0.192,0.200,0.040,0.179,-,34.1%,26.9%,16.3%,82.9,211.5,1,1,-,-,5.6%,33.3%,27.8%,69.8,8.1%,18.9%,8.1%,90.2%,11.1%,0.0%,16.7%,55.6%,22.2%,50.0%,27.8%,28.0%
Bryson Stott LHB,,N/A,5,17,4.20,0,0,0.357,0.471,0.500,0.143,0.421,17.6%,16.1%,11.8%,6.9%,92.2,267.7,4,2,-,-,8.3%,41.7%,41.7%,70.2,13.3%,30.0%,10.0%,96.8%,33.3%,0.0%,25.0%,33.3%,33.3%,25.0%,41.7%,13.3%
Edmundo Sosa RHB,,N/A,17,13,3.40,0,0,0.250,0.308,0.333,0.083,0.290,-,25.0%,15.4%,13.3%,88.0,290.5,4,2,10.0%,10.0%,20.0%,40.0%,50.0%,71.7,29.2%,25.0%,8.3%,100.0%,40.0%,0.0%,40.0%,20.0%,20.0%,40.0%,40.0%,23.1%
Garrett Stubbs LHB,—,N/A,11,13,3.00,0,0,0.182,0.308,0.182,-,0.242,7.7%,8.0%,7.7%,3.8%,82.0,240.3,3,0,-,-,10.0%,40.0%,40.0%,68.4,-,35.0%,5.0%,90.9%,20.0%,0.0%,40.0%,20.0%,20.0%,60.0%,20.0%,23.1%
Justin Crawford LHB,—,N/A,10,12,3.80,0,1,0.417,0.417,0.500,0.083,0.402,-,28.9%,25.0%,19.0%,87.3,234.7,1,1,-,-,11.1%,55.6%,22.2%,68.0,5.6%,16.7%,2.8%,94.7%,22.2%,0.0%,22.2%,33.3%,22.2%,44.4%,33.3%,38.5%
Brandon Marsh LHB,,N/A,22,12,4.20,0,0,0.182,0.250,0.273,0.091,0.234,8.3%,41.2%,41.7%,24.1%,85.9,229.1,2,0,-,-,16.7%,16.7%,50.0%,71.7,16.7%,13.3%,-,88.2%,16.7%,0.0%,33.3%,16.7%,33.3%,16.7%,50.0%,60.0%
Derek Hill RHB,,N/A,21,8,3.20,0,0,0.286,0.375,0.286,-,0.312,-,40.0%,37.5%,18.2%,72.6,179.9,0,0,-,-,-,-,25.0%,69.9,16.7%,8.3%,-,85.7%,-,-,25.0%,25.0%,25.0%,25.0%,50.0%,42.9%
Gabriel Rincones Jr. LHB,—,N/A,11,4,3.20,0,0,-,-,-,-,-,-,28.6%,50.0%,15.4%,93.6,368.8,1,1,-,-,-,50.0%,50.0%,76.2,76.9%,7.7%,7.7%,92.9%,50.0%,0.0%,-,50.0%,-,50.0%,50.0%,42.9%
