Matchup,DET @ NYY
Pitcher,Will Warren
Pitcher Team,NYY
Opposing Team,DET

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,54.1,237,0.267,0.336,0.438,0.171,1.44,6,0.99,9.3%,21.8%,19.8%,17.6%,9.7%,7.79,62.6%,8.8%,7.8%,35.9%,25.7%,14.0%,17.4%
vsLHB,30.0,128,0.270,0.326,0.409,0.139,1.40,2,0.60,8.6%,15.8%,12.5%,13.9%,6.9%,4.80,60.5%,7.8%,6.0%,32.0%,26.0%,7.7%,16.0%
vsRHB,24.1,109,0.263,0.349,0.474,0.211,1.48,4,1.48,10.1%,28.0%,28.4%,20.4%,12.6%,11.47,65.1%,9.9%,10.4%,41.8%,25.4%,23.5%,19.4%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Riley Greene LHB,,+329,23,25,4.40,3,3,0.333,0.360,0.750,0.417,0.471,4.0%,14.6%,12.0%,7.9%,94.8,292.6,6,3,19.0%,14.3%,28.6%,61.9%,33.3%,76.2,60.9%,30.4%,21.7%,95.8%,61.9%,38.1%,37.5%,23.8%,33.3%,57.1%,23.8%,19.0%,40.9%
Dillon Dingler RHB,,+390,25,22,4.00,3,5,0.364,0.364,0.818,0.455,0.506,-,10.9%,13.6%,5.4%,92.4,294.7,8,4,21.1%,5.3%,26.3%,52.6%,47.4%,71.8,16.3%,27.9%,14.0%,93.5%,63.2%,47.4%,22.2%,15.8%,26.3%,36.8%,36.8%,26.3%,20.8%
Jake Rogers RHB,,+359,8,21,3.00,1,1,0.167,0.286,0.333,0.167,0.277,14.3%,20.0%,28.6%,9.7%,81.2,231.9,1,1,8.3%,8.3%,33.3%,41.7%,33.3%,70.0,-,24.2%,3.0%,94.3%,33.4%,16.7%,50.0%,16.7%,33.3%,50.0%,33.3%,16.7%,52.2%
Kerry Carpenter LHB,,+330,25,19,4.00,1,2,0.222,0.263,0.389,0.167,0.285,5.3%,20.0%,15.8%,10.0%,93.0,295.7,6,3,6.7%,6.7%,6.7%,66.7%,40.0%,72.2,10.7%,42.9%,10.7%,93.3%,80.0%,53.3%,12.5%,26.7%,20.0%,26.7%,33.3%,40.0%,22.2%
James Outman LHB,,+530,20,17,3.60,1,2,0.062,0.118,0.250,0.188,0.162,5.9%,43.8%,52.9%,25.6%,93.4,368.8,4,2,28.6%,14.3%,28.6%,42.9%,42.9%,72.7,26.8%,14.6%,7.3%,85.4%,57.2%,28.6%,50.0%,28.6%,42.9%,71.4%,28.6%,-,42.9%
Spencer Torkelson RHB,,+360,18,16,4.00,1,1,0.417,0.562,0.833,0.417,0.568,18.8%,29.6%,18.8%,13.6%,90.7,288.1,3,2,22.2%,-,11.1%,44.4%,55.6%,73.6,20.0%,24.0%,12.0%,92.6%,55.5%,22.2%,50.0%,33.3%,44.4%,22.2%,55.6%,22.2%,28.6%
Zach McKinstry LHB,,+1000,12,11,4.40,1,1,0.455,0.455,1.000,0.545,0.615,-,3.4%,-,1.9%,89.7,274.7,3,1,-,-,36.4%,27.3%,81.8%,68.1,-,29.2%,8.3%,85.7%,100.0%,36.4%,25.0%,63.6%,-,36.4%,18.2%,45.5%,47.4%
Colt Keith LHB,,+575,23,24,4.00,0,2,0.167,0.167,0.208,0.042,0.164,-,10.3%,8.3%,5.1%,91.0,287.6,6,2,-,-,4.5%,50.0%,31.8%,71.6,5.9%,44.1%,26.5%,89.5%,45.4%,22.7%,0.0%,22.7%,50.0%,40.9%,31.8%,27.3%,16.7%
Kevin McGonigle LHB,,+500,15,23,4.80,0,2,0.353,0.522,0.412,0.059,0.421,21.7%,13.3%,13.0%,4.8%,92.3,261.9,4,3,7.1%,-,14.3%,42.9%,50.0%,71.6,22.2%,33.3%,18.5%,93.1%,71.5%,28.6%,0.0%,42.9%,28.6%,35.7%,35.7%,28.6%,25.0%
Hao-Yu Lee RHB,,+750,8,21,4.20,0,0,0.300,0.333,0.300,-,0.285,4.8%,28.6%,28.6%,15.0%,82.0,221.7,2,1,7.1%,-,14.3%,28.6%,35.7%,69.9,14.3%,20.0%,5.7%,85.4%,57.1%,21.4%,0.0%,35.7%,35.7%,28.6%,35.7%,35.7%,40.9%
