Matchup,LAA @ ARI
Pitcher,Merrill Kelly
Pitcher Team,ARI
Opposing Team,LAA

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,64.1,281,0.264,0.352,0.496,0.232,1.45,13,1.82,9.6%,22.4%,13.5%,14.6%,10.7%,5.32,62.9%,5.5%,15.0%,43.0%,29.0%,16.1%,19.6%
vsLHB,36.1,171,0.277,0.391,0.581,0.304,1.68,10,2.48,11.7%,18.3%,11.1%,12.4%,8.2%,4.71,57.8%,5.3%,18.5%,49.2%,34.6%,20.0%,22.3%
vsRHB,27.0,110,0.245,0.290,0.373,0.127,1.19,3,1.00,6.4%,28.4%,17.3%,17.6%,14.9%,6.33,70.9%,5.8%,9.5%,33.3%,20.2%,5.9%,15.5%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Mike Trout RHB,,+361,30,29,4.60,2,2,0.231,0.310,0.500,0.269,0.350,6.9%,25.5%,37.9%,11.7%,93.6,294.3,3,2,20.0%,-,13.3%,73.3%,33.3%,75.2,53.8%,21.2%,15.4%,94.5%,33.3%,40.0%,20.0%,46.7%,26.7%,40.0%,33.3%,17.9%
Zach Neto RHB,,+491,22,27,4.60,2,2,0.208,0.296,0.458,0.250,0.329,7.4%,33.3%,37.0%,19.5%,88.3,317.8,5,2,14.3%,7.1%,28.6%,28.6%,21.4%,71.5,3.6%,16.1%,3.6%,87.5%,35.7%,40.0%,14.3%,50.0%,57.1%,21.4%,21.4%,56.7%
Jo Adell RHB,,+470,22,27,4.60,1,1,0.308,0.333,0.462,0.154,0.349,-,20.7%,18.5%,13.2%,83.8,242.6,3,3,5.0%,5.0%,15.0%,30.0%,45.0%,77.4,73.6%,11.3%,7.5%,91.4%,15.0%,33.3%,30.0%,50.0%,25.0%,50.0%,25.0%,55.6%
Logan O'Hoppe RHB,,+590,15,22,3.40,1,1,0.273,0.273,0.455,0.182,0.315,-,17.2%,13.6%,7.7%,86.5,299.9,8,4,15.8%,5.3%,10.5%,42.1%,31.6%,73.5,36.4%,50.0%,31.8%,78.6%,42.1%,12.5%,21.1%,26.3%,26.3%,36.8%,36.8%,28.6%
Jose Siri RHB,—,N/A,8,21,3.80,1,1,0.389,0.476,0.611,0.222,0.468,9.5%,35.9%,9.5%,18.4%,79.5,236.9,2,2,12.5%,-,12.5%,18.8%,37.5%,72.9,41.2%,17.6%,8.8%,91.9%,25.0%,25.0%,25.0%,37.5%,31.2%,43.8%,25.0%,31.8%
Donovan Walton LHB,,+950,7,20,3.00,1,2,0.421,0.450,0.684,0.263,0.487,5.0%,15.0%,15.0%,8.0%,83.9,268.0,5,2,18.8%,6.2%,31.2%,50.0%,43.8%,67.1,-,25.7%,17.1%,94.6%,31.2%,20.0%,25.0%,31.2%,43.8%,31.2%,25.0%,26.3%
Oswald Peraza RHB,,+880,16,26,3.40,0,1,0.154,0.154,0.154,-,0.137,-,28.8%,23.1%,16.9%,89.3,303.8,3,2,-,-,-,50.0%,20.0%,71.6,16.3%,28.6%,10.2%,96.1%,20.0%,0.0%,5.0%,75.0%,30.0%,45.0%,25.0%,48.3%
Wade Meckler LHB,,+920,7,22,3.40,0,0,0.368,0.455,0.474,0.105,0.406,13.6%,25.0%,27.3%,9.9%,79.5,208.6,0,0,-,-,23.1%,15.4%,46.2%,69.2,-,26.1%,8.7%,85.2%,-,-,46.2%,46.2%,53.8%,30.8%,15.4%,38.9%
Nick Madrigal RHB,—,N/A,9,22,4.20,0,1,0.500,0.636,0.562,0.062,0.521,22.7%,9.3%,-,4.3%,91.4,250.3,3,1,-,-,12.5%,43.8%,37.5%,66.1,3.2%,35.5%,12.9%,79.5%,6.2%,0.0%,43.8%,50.0%,25.0%,43.8%,31.2%,13.6%
Nolan Schanuel LHB,,+980,12,20,3.20,0,0,0.167,0.250,0.167,-,0.198,10.0%,13.5%,15.0%,6.1%,88.4,224.0,1,0,-,-,20.0%,26.7%,20.0%,67.4,5.9%,32.4%,11.8%,94.4%,13.3%,0.0%,20.0%,53.3%,33.3%,53.3%,13.3%,37.5%
Denzer Guzman RHB,,+725,5,16,4.20,0,0,0.375,0.375,0.438,0.062,0.358,-,13.8%,-,8.7%,90.2,225.5,2,0,-,-,31.2%,43.8%,31.2%,74.9,53.8%,34.6%,15.4%,92.9%,12.5%,0.0%,43.8%,43.8%,62.5%,25.0%,12.5%,50.0%
Trey Mancini RHB,—,N/A,-,6,2.80,0,0,-,-,-,-,-,-,12.5%,-,8.0%,82.2,196.6,0,0,-,-,-,16.7%,-,75.5,46.7%,6.7%,-,93.8%,16.7%,0.0%,16.7%,66.7%,33.3%,33.3%,33.3%,71.4%
Logan Porter RHB,—,N/A,-,1,3.00,0,0,-,-,-,-,-,-,0.0%,100.0%,-,-,-,0,0,-,-,-,-,-,65.8,-,-,-,100.0%,-,-,-,-,-,-,-,0.0%
