Matchup,MIL @ STL
Pitcher,Robert Gasser
Pitcher Team,MIL
Opposing Team,STL

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,36.0,154,0.241,0.337,0.467,0.226,1.28,7,1.75,8.4%,24.3%,23.4%,16.8%,12.1%,9.00,65.6%,8.3%,6.9%,28.4%,30.4%,19.4%,19.6%
vsLHB,10.2,48,0.250,0.390,0.550,0.300,1.69,2,1.69,16.7%,32.5%,22.9%,20.0%,13.7%,9.28,58.3%,7.6%,3.4%,31.0%,34.5%,20.0%,24.1%
vsRHB,25.1,106,0.237,0.313,0.433,0.196,1.11,5,1.78,4.7%,21.3%,23.6%,15.7%,11.3%,8.88,68.9%,8.6%,8.2%,27.4%,28.8%,19.0%,17.8%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
JJ Wetherholt LHB,,+680,24,17,4.80,1,1,0.250,0.294,0.500,0.250,0.341,5.9%,19.4%,29.4%,8.2%,97.9,297.2,5,3,18.2%,-,-,81.8%,54.5%,71.7,8.0%,40.0%,20.0%,86.2%,63.7%,27.3%,33.3%,36.4%,36.4%,-,63.6%,36.4%,26.3%
Nelson Velazquez RHB,—,N/A,29,15,3.00,1,1,0.231,0.267,0.538,0.308,0.327,6.7%,35.7%,13.3%,20.8%,95.9,282.4,4,2,8.3%,-,16.7%,66.7%,33.3%,75.6,67.9%,32.1%,21.4%,100.0%,58.3%,33.3%,25.0%,25.0%,33.3%,50.0%,33.3%,16.7%,75.0%
Ivan Herrera RHB,,+630,20,14,4.40,0,0,0.077,0.143,0.077,-,0.110,7.1%,17.4%,28.6%,7.3%,91.0,194.6,2,1,-,-,33.3%,44.4%,44.4%,74.4,42.9%,28.6%,9.5%,91.3%,55.6%,-,-,55.6%,11.1%,33.3%,33.3%,33.3%,35.7%
Lars Nootbaar LHB,,+600,13,13,3.40,0,0,0.250,0.231,0.250,-,0.205,-,20.0%,23.1%,10.3%,87.4,268.1,0,0,-,-,10.0%,50.0%,10.0%,72.3,33.3%,33.3%,11.1%,90.0%,40.0%,30.0%,0.0%,10.0%,60.0%,40.0%,40.0%,20.0%,27.3%
Blaze Jordan RHB,,+900,3,12,3.60,0,0,0.250,0.250,0.417,0.167,0.283,-,0.0%,8.3%,-,80.0,210.2,2,1,-,-,18.2%,27.3%,27.3%,73.7,40.0%,30.0%,10.0%,87.0%,63.7%,18.2%,0.0%,45.5%,36.4%,27.3%,45.5%,27.3%,36.4%
Alec Burleson LHB,,N/A,20,12,3.80,0,0,0.091,0.083,0.091,-,0.074,-,36.0%,33.3%,20.9%,94.0,333.5,3,0,-,-,-,50.0%,-,72.3,27.3%,22.7%,4.5%,91.7%,37.5%,37.5%,0.0%,-,62.5%,50.0%,37.5%,12.5%,36.4%
Nathan Church LHB,,+800,10,10,4.40,0,0,0.111,0.200,0.111,-,0.154,10.0%,24.0%,20.0%,12.0%,89.3,295.9,1,1,14.3%,-,-,42.9%,14.3%,69.2,4.5%,18.2%,9.1%,88.0%,28.6%,28.6%,0.0%,-,71.4%,28.6%,42.9%,28.6%,7.1%
Jordan Walker RHB,,+420,32,10,4.60,0,0,0.571,0.700,0.714,0.143,0.589,30.0%,44.4%,20.0%,15.7%,88.8,237.7,1,0,-,-,-,40.0%,60.0%,80.1,87.5%,18.8%,12.5%,88.9%,80.0%,-,-,80.0%,20.0%,20.0%,40.0%,40.0%,31.2%
Pedro Pages RHB,,+680,13,10,2.60,0,0,0.111,0.200,0.111,-,0.154,10.0%,14.3%,10.0%,8.3%,86.5,247.0,1,1,-,-,-,50.0%,12.5%,72.2,11.1%,14.8%,11.1%,96.4%,50.0%,37.5%,0.0%,12.5%,37.5%,25.0%,50.0%,25.0%,40.0%
Bryan Torres LHB,,N/A,2,7,1.80,0,0,0.143,0.143,0.143,-,0.127,-,0.0%,-,-,70.9,204.2,0,0,-,-,-,-,16.7%,64.5,-,15.4%,-,86.7%,33.4%,16.7%,0.0%,16.7%,50.0%,-,50.0%,50.0%,14.3%
Masyn Winn RHB,,+1000,14,7,4.20,0,0,0.250,0.429,0.250,-,0.313,28.6%,9.5%,-,4.0%,91.9,247.8,2,1,-,-,20.0%,40.0%,60.0%,73.2,33.3%,9.5%,9.5%,100.0%,80.0%,20.0%,0.0%,60.0%,-,20.0%,60.0%,20.0%,23.1%
Jose Fermin RHB,,+1060,18,6,3.80,0,0,0.500,0.500,1.000,0.500,0.635,-,12.5%,-,5.9%,87.8,307.8,3,0,-,-,16.7%,50.0%,50.0%,69.9,-,21.4%,14.3%,93.3%,66.7%,16.7%,0.0%,50.0%,33.3%,33.3%,50.0%,16.7%,30.0%
Jimmy Crooks LHB,,N/A,-,4,2.20,0,1,-,0.250,-,-,0.162,25.0%,42.9%,50.0%,17.6%,103.9,402.1,1,1,100.0%,-,-,100.0%,100.0%,72.6,20.0%,20.0%,20.0%,71.4%,100.0%,100.0%,0.0%,-,-,-,100.0%,-,25.0%
