Bat Side,L
Condition,all

#,BALLPARK,ELEV,ROOF,BBE,PARK,HR,HITS,1B,2B,3B,K,BB,BARREL,HARDHIT,DIST,AVG EV,AVG DIST
1,Coors Field,5190',Open,"5,459",1.13,1.12,1.10,1.07,1.11,1.40,0.87,1.01,1.06,1.02,1.07,88.4,174.5
2,Sutter Health Park,24',Open,"3,054",1.05,1.03,1.04,1.03,1.08,0.84,0.95,1.09,0.98,0.98,1.01,88.5,176.2
3,Great American Ball Park,535',Open,"4,506",1.04,1.12,1.03,1.01,1.01,0.93,1.00,1.05,1.02,0.99,1.00,88.3,175.6
4,PNC Park,780',Open,"5,096",1.02,0.95,1.02,0.98,1.19,0.92,0.97,0.99,1.02,1.02,1.01,89.4,174.2
5,Oriole Park at Camden Yards,33',Open,"5,919",1.02,1.08,1.01,1.01,0.97,0.95,0.98,0.97,1.02,1.01,1.00,88.9,170.8
6,Nationals Park,35',Open,"6,214",1.02,1.01,1.01,1.03,0.96,0.95,0.94,1.02,1.04,1.01,1.00,88.5,167.2
7,Citizens Bank Park,20',Open,"5,235",1.02,1.11,1.02,1.02,0.96,0.92,1.05,0.95,0.96,0.98,1.01,88.8,171.4
8,Daikin Park,45',Retractable,"4,169",1.02,1.08,1.03,1.02,0.97,0.89,1.08,1.02,0.99,1.03,1.00,89.3,174.9
9,Rate Field,595',Open,"5,261",1.02,1.04,1.00,1.00,0.97,0.99,0.97,1.06,1.02,1.01,0.99,88.1,172.8
10,Target Field,828',Open,"5,574",1.01,0.96,1.03,1.04,1.04,0.87,0.99,0.98,0.99,1.00,1.01,88.6,176.7
11,Kauffman Stadium,856',Open,"5,552",1.01,0.86,1.02,1.01,1.12,1.27,0.93,1.01,0.98,1.02,1.01,88.5,171.8
12,Progressive Field,653',Open,"6,786",1.01,1.07,1.00,0.99,1.00,0.83,1.05,1.02,1.04,1.01,0.99,87.6,167.9
13,Rogers Centre,270',Retractable,"4,992",1.01,1.05,1.00,0.97,1.07,0.85,1.02,0.99,1.03,1.00,1.00,87.6,165.8
14,loanDepot park,10',Retractable,"5,522",1.00,0.96,1.01,1.01,1.00,1.16,0.97,1.04,1.03,1.05,1.00,88.7,166.7
15,Yankee Stadium,55',Open,"5,571",1.00,1.04,0.99,0.96,1.03,0.86,1.03,1.05,1.01,1.00,1.00,89.3,172.9
16,Angel Stadium,151',Open,"4,455",0.99,1.01,1.00,1.01,0.95,0.91,1.01,1.02,0.99,1.04,1.00,88.4,163.8
17,Truist Park,1001',Open,"5,407",0.99,1.01,1.00,1.03,0.93,0.97,1.03,0.98,0.96,0.98,1.02,88.8,169.6
18,Fenway Park,21',Open,"5,656",0.99,0.86,1.01,1.00,1.12,0.90,0.98,0.98,0.93,0.99,0.99,88.6,164.2
19,Chase Field,1086',Retractable,"5,783",0.98,0.83,1.00,1.01,1.03,1.32,0.92,0.99,0.96,1.03,1.02,88.8,165.1
20,Comerica Park,600',Open,"5,406",0.98,0.95,0.99,1.00,0.93,1.30,0.98,0.97,0.95,1.02,1.00,88.6,171.4
21,American Family Field,597',Retractable,"5,053",0.98,1.01,0.99,1.00,0.92,1.05,1.09,1.01,0.95,0.97,1.01,87.1,161.6
22,Wrigley Field,595',Open,"4,860",0.98,0.98,0.99,1.03,0.86,1.10,1.01,0.97,0.98,1.00,1.00,88.7,171.8
23,Citi Field,10',Open,"5,306",0.97,0.94,0.99,1.01,0.98,0.82,1.04,1.06,0.92,0.97,0.99,88.6,166.1
24,Globe Life Field,545',Retractable,"5,232",0.97,0.96,0.98,0.98,0.97,0.97,1.01,0.95,1.00,1.01,1.00,88.7,173.1
25,Busch Stadium,460',Open,"5,617",0.97,0.81,0.99,1.02,1.03,0.90,0.93,0.94,0.98,1.02,1.00,88.6,161.3
26,Oracle Park,',Open,"5,246",0.96,0.80,1.00,1.02,1.01,1.16,0.96,0.98,0.96,1.01,0.99,88.3,157.8
27,T-Mobile Park,10',Retractable,"5,581",0.96,1.01,0.99,0.98,1.01,0.65,1.10,0.93,1.00,1.02,0.99,88.7,169.7
28,Dodger Stadium,515',Open,"5,323",0.96,1.02,0.96,0.96,0.94,0.79,1.05,1.01,0.95,1.00,1.01,89.4,171.3
29,Tropicana Field,15',Dome,"2,639",0.96,0.95,0.97,0.96,0.98,1.01,1.02,0.94,0.97,0.97,1.00,87.2,172
30,Petco Park,23',Open,"5,234",0.94,0.96,0.95,0.96,0.92,0.86,1.05,1.02,1.01,0.99,0.99,87.7,167.1
