Batter,Batter Team,Pitcher,Pitcher Team,AB,Avg,BABIP,ISO,SLG,1B,2B,3B,HR,XBH,RBI,TB,K%,OBP,BB
"Masyn Winn","STL","Bradgley Rodriguez","SD","1","1.000","1.00","2.00","3.00","0","0","1","0","1","1","3","0.0","1.000","0"
"Jordan Walker","STL","Bradgley Rodriguez","SD","1","1.000","1.00","1.00","2.00","0","1","0","0","1","0","2","0.0","1.000","0"
"Joey Ortiz","MIL","Gavin Williams","CLE","1","1.000","1.00","2.00","3.00","0","0","1","0","1","0","3","0.0","1.000","1"
"Nathaniel Lowe","CIN","Nolan McLean","NYM","1","1.000","1.00","1.00","2.00","0","1","0","0","1","0","2","0.0","1.000","1"
"Matt Vierling","DET","Peter Lambert","HOU","1","1.000","1.00","2.00","3.00","0","0","1","0","1","0","3","0.0","1.000","0"
"Jonah Heim","ATH","Braxton Ashcraft","PIT","1","1.000","1.00","1.00","2.00","0","1","0","0","1","0","2","0.0","1.000","0"
"Cole Young","SEA","Kyle Bradish","BAL","3","1.000","1.00","1.00","2.00","2","0","0","1","1","1","6","0.0","1.000","0"
"Ceddanne Rafaela","BOS","Max Scherzer","TOR","3","0.667","0.67","0.33","1.00","1","1","0","0","1","0","3","0.0","0.667","0"
"Xavier Edwards","MIA","Andrew Painter","PHI","3","0.667","0.50","1.00","1.67","1","0","0","1","1","1","5","0.0","0.667","0"
"Masataka Yoshida","BOS","Max Scherzer","TOR","6","0.667","0.60","0.67","1.33","2","1","0","1","2","2","8","0.0","0.667","0"
"Nick Gonzales","PIT","Aaron Civale","ATH","8","0.625","0.63","0.13","0.75","4","1","0","0","1","1","6","0.0","0.700","2"
"Edmundo Sosa","PHI","Sandy Alcantara","MIA","9","0.556","0.56","0.22","0.78","4","0","1","0","1","0","7","0.0","0.600","0"
"Garrett Mitchell","MIL","Gavin Williams","CLE","2","0.500","1.00","0.50","1.00","0","1","0","0","1","1","2","50.0","0.500","0"
"JJ Bleday","CIN","Nolan McLean","NYM","2","0.500","0.00","1.50","2.00","0","0","0","1","1","1","4","50.0","0.500","0"
"Tyler Stephenson","CIN","Nolan McLean","NYM","2","0.500","0.00","1.50","2.00","0","0","0","1","1","2","4","50.0","0.500","0"
"Jake Bauers","MIL","Gavin Williams","CLE","2","0.500","1.00","0.50","1.00","0","1","0","0","1","1","2","50.0","0.500","0"
"James Outman","DET","Peter Lambert","HOU","4","0.500","0.33","0.75","1.25","1","0","0","1","1","2","5","0.0","0.500","0"
"Cedric Mullins","TB","Shohei Ohtani","LAD","6","0.500","0.33","1.00","1.50","1","0","0","2","2","2","9","16.7","0.500","0"
"Marcus Semien","NYM","Nick Lodolo","CIN","6","0.500","0.67","0.50","1.00","2","0","0","1","1","2","6","33.3","0.500","0"
"Starling Marte","KC","Zack Littell","WSH","6","0.500","0.75","0.17","0.67","2","1","0","0","1","2","4","33.3","0.500","0"
"Pete Alonso","BAL","George Kirby","SEA","8","0.500","0.67","0.75","1.25","2","0","0","2","2","4","10","37.5","0.600","2"
"Ezequiel Tovar","COL","Javier Assad","CHC","10","0.500","0.56","0.10","0.60","4","1","0","0","1","0","6","10.0","0.500","0"
"Luke Raley","SEA","Kyle Bradish","BAL","11","0.455","0.50","0.55","1.00","3","0","0","2","2","3","11","27.3","0.455","0"
"Gunnar Henderson","BAL","George Kirby","SEA","18","0.444","0.54","0.28","0.72","5","2","0","1","3","1","13","22.2","0.474","1"
"Hunter Goodman","COL","Javier Assad","CHC","7","0.429","0.29","0.43","0.86","2","0","0","1","1","4","6","0.0","0.375","0"
"Colson Montgomery","CWS","Carlos Rodon","NYY","5","0.400","0.50","0.20","0.60","1","1","0","0","1","0","3","20.0","0.500","1"
"Spencer Horwitz","PIT","Aaron Civale","ATH","5","0.400","0.50","0.60","1.00","1","0","0","1","1","1","5","40.0","0.400","0"
"Blaze Alexander","BAL","George Kirby","SEA","5","0.400","0.40","0.40","0.80","0","2","0","0","2","1","4","0.0","0.400","0"
"Eric Wagaman","NYM","Nick Lodolo","CIN","5","0.400","0.25","0.60","1.00","1","0","0","1","1","1","5","0.0","0.400","0"
"Julio Rodriguez","SEA","Kyle Bradish","BAL","10","0.400","0.50","0.10","0.50","3","1","0","0","1","3","5","20.0","0.500","2"
"Isiah Kiner-Falefa","BOS","Max Scherzer","TOR","10","0.400","0.44","0.20","0.60","2","2","0","0","2","1","6","10.0","0.400","0"
"Kyle Tucker","LAD","Shane McClanahan","TB","8","0.375","0.25","0.50","0.88","1","1","0","1","2","3","7","0.0","0.333","0"
