Matchup,NYY @ CLE
Pitcher,Slade Cecconi
Pitcher Team,CLE
Opposing Team,NYY

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,67.2,293,0.288,0.341,0.439,0.152,1.43,9,1.20,7.2%,21.2%,18.4%,16.2%,9.9%,7.18,66.3%,6.9%,7.9%,33.5%,25.6%,10.9%,14.0%
vsLHB,36.2,160,0.277,0.320,0.376,0.099,1.42,3,0.74,8.1%,19.6%,20.6%,18.8%,9.2%,8.10,63.1%,7.2%,6.2%,33.0%,30.4%,5.9%,14.3%
vsRHB,31.0,133,0.301,0.367,0.512,0.211,1.45,6,1.74,6.0%,23.0%,15.8%,13.3%,10.8%,6.10,70.1%,6.6%,9.7%,34.0%,20.4%,19.0%,13.6%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Ryan McMahon LHB,,+493,16,18,2.40,3,3,0.389,0.389,0.889,0.500,0.548,-,32.4%,27.8%,14.5%,94.0,314.4,4,3,23.1%,-,-,53.8%,46.2%,75.5,61.3%,29.0%,22.6%,93.9%,30.8%,50.0%,23.1%,46.2%,23.1%,53.8%,23.1%,19.0%
Paul Goldschmidt RHB,,+591,21,25,3.80,2,2,0.174,0.240,0.478,0.304,0.306,8.0%,31.9%,24.0%,15.5%,79.4,261.2,4,2,5.9%,5.9%,29.4%,17.6%,29.4%,71.4,18.6%,11.6%,4.7%,91.5%,35.3%,33.3%,5.9%,41.2%,41.2%,29.4%,29.4%,33.3%
Ben Rice LHB,,+270,33,21,4.20,2,3,0.412,0.524,1.059,0.647,0.625,19.0%,14.3%,28.6%,5.8%,92.4,311.3,5,4,18.2%,9.1%,27.3%,36.4%,63.6%,72.2,28.1%,25.0%,9.4%,94.1%,45.5%,40.0%,27.3%,18.2%,36.4%,36.4%,27.3%,31.6%
Jazz Chisholm Jr. LHB,,+390,33,27,4.00,1,1,0.125,0.185,0.250,0.125,0.192,7.4%,26.5%,25.9%,12.3%,91.2,292.7,2,2,5.6%,5.6%,5.6%,44.4%,11.1%,73.3,37.5%,29.2%,8.3%,100.0%,11.1%,50.0%,11.1%,72.2%,61.1%,22.2%,16.7%,28.6%
Cody Bellinger LHB,,+390,21,21,4.00,1,1,0.312,0.476,0.500,0.188,0.424,23.8%,18.2%,9.5%,7.6%,92.3,298.4,3,2,14.3%,7.1%,14.3%,57.1%,35.7%,69.5,3.4%,34.5%,17.2%,87.9%,35.7%,20.0%,14.3%,50.0%,42.9%,42.9%,14.3%,52.6%
Jose Caballero RHB,,+950,16,19,3.20,1,1,0.222,0.263,0.389,0.167,0.285,5.3%,16.1%,10.5%,6.3%,80.3,249.1,4,1,-,-,20.0%,20.0%,46.7%,70.3,10.0%,20.0%,3.3%,96.8%,20.0%,33.3%,33.3%,33.3%,40.0%,20.0%,40.0%,13.6%
J.C. Escarra LHB,,+730,12,21,2.80,0,0,0.111,0.238,0.111,-,0.177,14.3%,22.2%,14.3%,8.7%,82.7,290.7,3,1,-,-,13.3%,26.7%,20.0%,69.1,-,36.0%,8.0%,92.6%,13.3%,0.0%,20.0%,53.3%,26.7%,40.0%,33.3%,15.8%
Trent Grisham LHB,,+346,29,20,4.40,0,1,0.312,0.450,0.375,0.062,0.371,20.0%,16.7%,5.0%,6.2%,88.0,257.8,3,1,6.7%,-,6.7%,26.7%,46.7%,70.0,7.7%,34.6%,11.5%,92.9%,26.7%,0.0%,26.7%,40.0%,26.7%,46.7%,26.7%,28.6%
Spencer Jones LHB,,+525,14,16,2.40,0,0,0.312,0.312,0.375,0.062,0.302,-,31.4%,43.8%,17.4%,99.1,263.7,1,1,-,-,-,75.0%,12.5%,77.3,73.9%,13.0%,8.7%,92.0%,12.5%,0.0%,-,75.0%,37.5%,50.0%,12.5%,40.0%
Anthony Volpe RHB,,+820,12,16,3.40,0,0,0.154,0.312,0.154,-,0.233,18.8%,22.2%,18.8%,11.6%,83.8,252.9,1,1,-,-,11.1%,44.4%,22.2%,70.9,5.9%,17.6%,5.9%,94.4%,22.2%,0.0%,22.2%,55.6%,33.3%,33.3%,33.3%,38.1%
Amed Rosario RHB,—,N/A,30,11,2.40,0,0,0.273,0.273,0.273,-,0.243,-,34.8%,36.4%,19.0%,87.3,225.4,0,0,-,-,-,28.6%,14.3%,72.5,16.7%,5.6%,5.6%,81.8%,28.6%,0.0%,14.3%,57.1%,14.3%,28.6%,57.1%,30.8%
Max Schuemann RHB,—,N/A,6,9,2.00,0,0,0.167,0.444,0.333,0.167,0.357,33.3%,40.0%,33.3%,15.7%,96.7,260.4,1,0,-,-,33.3%,66.7%,33.3%,70.2,18.8%,6.2%,6.2%,94.1%,66.7%,0.0%,33.3%,-,33.3%,33.3%,33.3%,33.3%
Ali Sanchez RHB,—,N/A,-,1,1.50,0,0,-,-,-,-,-,-,50.0%,100.0%,20.0%,-,-,0,0,-,-,-,-,-,67.4,-,-,-,100.0%,-,-,-,-,-,-,-,0.0%
