Batter,Bats,Team,Pitcher,Throws,Contact,Barrel,HR,HardHit,ZoneScore
Esmerlyn Valdez,RHB,PIT,Blade Tidwell,R,20.3,38.6,43.1,51.4,41.3
Jesus Sanchez,LHB,TOR,Tanner Bibee,R,25.4,53.9,19.2,54.4,40.8
Munetaka Murakami,LHB,CWS,Hunter Brown,R,33.7,49,23.9,50.7,40.4
Christian Encarnacion-Strand,RHB,BAL,Jake Bennett,L,27.7,43.1,44.4,33.7,39.6
Tyrone Taylor,RHB,CHC,Logan Henderson,R,47.6,32.3,36.1,48.4,39
Lawrence Butler,LHB,ATH,Kade Anderson,L,49.4,33.3,33.3,48.1,38.6
Junior Caminero,RHB,TB,Cal Quantrill,R,37.2,37.2,34,39.4,36.8
Jake Burger,RHB,TEX,Shane McClanahan,L,44.8,29.3,27.1,54.5,36.5
Seiya Suzuki,RHB,CHC,Logan Henderson,R,45,27.5,38.7,37.1,35
Justin Foscue,RHB,TEX,Shane McClanahan,L,26.7,29.6,20.6,61.4,34.6
Gabriel Arias,RHB,CHC,Logan Henderson,R,44.5,30.4,29.9,41.3,34.4
Henry Davis,RHB,PIT,Blade Tidwell,R,36.4,37.6,22.5,41.8,34
Jorge Mateo,RHB,TB,Cal Quantrill,R,52.2,31,30.2,34.9,33.9
Griffin Conine,LHB,MIA,Michael Wacha,R,41,26.7,34.5,40.1,33.8
Joshua Baez,RHB,STL,Tarik Skubal,L,30.6,14.2,39.4,54.8,33.6
Taylor Trammell,LHB,HOU,Luis Castillo,R,25,39.5,19.8,44.5,33.4
Miguel Vargas,RHB,CWS,Hunter Brown,R,24.1,36.3,33.4,31.3,33
Oneil Cruz,LHB,PIT,Blade Tidwell,R,19.6,48.8,12.9,40,32.9
Miguel Amaya,RHB,CHC,Logan Henderson,R,48.3,35.1,21.6,36,32.6
Grant McCray,LHB,SF,Lake Bachar,R,42.4,35.3,9.6,51.4,32.3
Tommy Edman,SHB,LAD,Quinn Mathews,L,37.7,21.5,21.5,56.8,31.9
Michael Conforto,LHB,CHC,Logan Henderson,R,43.6,19,16.6,61.4,31.3
Luis Robert,RHB,BAL,Jake Bennett,L,52.3,29.4,24.5,33.6,31.3
Henry Bolte,RHB,ATH,Kade Anderson,L,32.1,25.8,27.5,42.9,31.2
Bryce Eldridge,LHB,SF,Lake Bachar,R,33.5,38.3,11.5,41.8,30.7
Jordan Walker,RHB,STL,Tarik Skubal,L,39.2,39.1,21.8,25.1,30.4
Teoscar Hernandez,RHB,LAD,Quinn Mathews,L,27,31.5,21.5,40.5,30.3
Gary Sanchez,RHB,MIL,Kevin Gausman,R,34.8,29.3,29,30.8,30.1
Colson Montgomery,LHB,CWS,Hunter Brown,R,24.8,22.6,23.8,50.4,30.1
Josh Smith,LHB,TOR,Tanner Bibee,R,32.7,32.1,11.2,47.6,29.8
Yainer Diaz,RHB,HOU,Luis Castillo,R,19.2,28.1,29.1,34,29
Jackson Chourio,RHB,MIL,Kevin Gausman,R,34.8,25.5,17.1,45.2,28.8
Pete Crow-Armstrong,LHB,CHC,Logan Henderson,R,21,29.1,25,34.5,28.4
Ian Happ,SHB,CHC,Logan Henderson,R,24.7,28.5,19.6,39.6,28.2
Rafael Flores,RHB,PIT,Blade Tidwell,R,43.2,17.4,17.4,49.3,28
Zack Gelof,RHB,ATH,Kade Anderson,L,28.3,21.3,17.5,50,28
Alec Burleson,LHB,STL,Tarik Skubal,L,31.3,23.8,20.6,41.1,27.9
Brandon Lowe,LHB,PIT,Blade Tidwell,R,40,33.1,18.6,26.7,27.8
Michael Busch,LHB,CHC,Logan Henderson,R,38.1,25.2,20.6,35.7,27.7
Ezequiel Duran,RHB,TEX,Shane McClanahan,L,27.6,31.4,8.3,44,27.2
Matt Shaw,RHB,CHC,Logan Henderson,R,34.4,29.8,13.1,37.6,27.2
Rafael Devers,LHB,SF,Lake Bachar,R,26,13.8,29.8,42.6,27
Yordan Alvarez,LHB,HOU,Luis Castillo,R,28.2,33.3,14.3,32.4,26.9
Shohei Ohtani,LHB,LAD,Quinn Mathews,L,38.4,25.3,23.2,28.4,26.8
Spencer Horwitz,LHB,PIT,Blade Tidwell,R,31.5,26.5,28.4,20.2,26
Andrew Vaughn,RHB,MIL,Kevin Gausman,R,25,14.8,23.4,44.6,25.8
Jeremy Pena,RHB,HOU,Luis Castillo,R,48.9,14.9,19.2,39.4,25.7
Alex Bregman,RHB,CHC,Logan Henderson,R,35.5,7.5,24.4,48.4,25.6
Josh Naylor,LHB,SEA,Jack Perkins,R,52,19.6,11.9,38.9,25.4
Coby Mayo,RHB,BAL,Jake Bennett,L,36.1,30.1,21.7,19.1,25.4
Christian Yelich,LHB,MIL,Kevin Gausman,R,36.1,21.5,15.7,37.4,25.2
Elias Diaz,RHB,TEX,Shane McClanahan,L,38.3,34.7,8.3,26.4,25.1
Adley Rutschman,SHB,BOS,Brandon Young,R,13.9,23.2,15.2,43.8,25
Owen Caissie,LHB,MIA,Michael Wacha,R,41.5,20.5,12,40.3,25
William Contreras,RHB,MIL,Kevin Gausman,R,43.1,15.5,15.1,42.7,24.9
Bryan Reynolds,SHB,PIT,Blade Tidwell,R,40,13,20,40,24.6
Michael Massey,LHB,KC,Sandy Alcantara,R,28.3,15.1,19.2,42.5,24.5
Thomas Saggese,RHB,STL,Tarik Skubal,L,24.7,18.2,18.2,40.3,24.4
Jac Caglianone,LHB,KC,Sandy Alcantara,R,26.9,26.5,17.4,28.7,24.4
Carlos Narvaez,RHB,BAL,Jake Bennett,L,29.4,24,,51.4,24.2
Randal Grichuk,RHB,CWS,Hunter Brown,R,34,14,8.3,53.2,24.1
Bobby Witt Jr.,RHB,KC,Sandy Alcantara,R,31.1,24.6,10,37,24
Kyle Stowers,LHB,MIA,Michael Wacha,R,18.9,21.2,11.9,42.8,23.6
Ryan Vilade,RHB,TB,Cal Quantrill,R,47.9,14.2,20,30.5,23.4
Mickey Gasper,SHB,BOS,Brandon Young,R,32.5,13.5,25.1,31.6,23.4
Jonah Heim,SHB,ATH,Kade Anderson,L,30.5,16,20.9,34.1,23.4
Julio Rodriguez,RHB,SEA,Jack Perkins,R,29.6,19.2,10.6,40.6,23
Cal Raleigh,SHB,SEA,Jack Perkins,R,32.3,22.7,20,23.1,22.9
Jarren Duran,LHB,BOS,Brandon Young,R,18.8,21.4,13.9,37.5,22.9
Freddie Freeman,LHB,LAD,Quinn Mathews,L,40.3,9.9,16.8,41.1,22.8
Leo Jimenez,RHB,MIA,Michael Wacha,R,31.6,30.6,,35.9,22.8
Carter Jensen,LHB,KC,Sandy Alcantara,R,37.1,18.2,17.8,28.7,22.6
Gunnar Henderson,LHB,BAL,Jake Bennett,L,49.9,13.6,19.3,27.2,22.3
Roman Anthony,LHB,BOS,Brandon Young,R,39.9,23.2,9.2,28.8,22.1
Pedro Ramirez,SHB,CHC,Logan Henderson,R,29.4,18.2,15,32.7,22
Pete Alonso,RHB,BAL,Jake Bennett,L,24.4,23.1,22.1,18.9,21.9
LaMonte Wade Jr.,LHB,HOU,Luis Castillo,R,20.2,14.4,20.2,35.2,21.9
Kazuma Okamoto,RHB,TOR,Tanner Bibee,R,29.2,22,12.6,29.8,21.8
Jo Adell,RHB,CLE,Jose Soriano,R,36,18.4,12.5,31.9,21.8
Connor Wong,RHB,BOS,Brandon Young,R,49.7,15.8,9,34.4,21.8
Jonathan Aranda,LHB,TB,Cal Quantrill,R,13.4,18,15.6,37.9,21.8
Nolan Gorman,LHB,STL,Tarik Skubal,L,42.9,17.1,17.1,25.4,21.8
Osleivis Basabe,RHB,SF,Lake Bachar,R,30.6,16.6,18.2,29.2,21.6
Nathan Church,LHB,STL,Tarik Skubal,L,45.8,17.1,12,29.1,21.4
Graham Pauley,LHB,MIA,Michael Wacha,R,17.3,18.8,16.9,31.9,21.4
Miguel Rojas,RHB,LAD,Quinn Mathews,L,12.3,12.3,9.3,51.9,21.3
Dominic Canzone,LHB,SEA,Jack Perkins,R,25.1,15.2,25.6,23.1,21.3
Joey Ortiz,RHB,MIL,Kevin Gausman,R,27.9,20.1,13,29.8,21.2
Christian Walker,RHB,HOU,Luis Castillo,R,27.1,13.8,12.7,38.9,21.1
Jared Triolo,RHB,PIT,Blade Tidwell,R,45.5,10.3,3,46.8,20.8
Nick Fortes,RHB,TB,Cal Quantrill,R,46.2,12,17.5,27,20.8
Jake Rogers,RHB,CWS,Hunter Brown,R,42.2,15.6,17.8,23.2,20.8
Victor Mesa Jr.,LHB,TB,Cal Quantrill,R,32.4,20,7.3,32.5,20.6
Samuel Basallo,LHB,BAL,Jake Bennett,L,49.2,14,8.7,32,20.4
Joc Pederson,LHB,TEX,Shane McClanahan,L,28,11.1,11.1,41.3,20.3
Brandon Nimmo,LHB,TEX,Shane McClanahan,L,25.2,8.8,18,37,20.2
Nathaniel Lowe,LHB,CLE,Jose Soriano,R,32.8,15.8,16.1,25.1,19.9
David Fry,RHB,CLE,Jose Soriano,R,28.6,16,16,26.3,19.8
Charles McAdoo,RHB,TOR,Tanner Bibee,R,34.2,22.2,9.6,22.2,19.6
Alejandro Kirk,RHB,TOR,Tanner Bibee,R,26.6,13.7,17.6,27.3,19.6
Shay Whitcomb,RHB,SF,Lake Bachar,R,40.4,9.7,9.7,36.9,19.6
Drew Cavanaugh,LHB,SF,Lake Bachar,R,27,23,,34.4,19.4
Cedric Mullins,LHB,TB,Cal Quantrill,R,14.1,12.5,16.6,34.3,19.3
Jacob Gonzalez,LHB,PIT,Blade Tidwell,R,24.2,10.8,19.1,28.5,19.1
Jose Ramirez,SHB,CLE,Jose Soriano,R,29.3,17.3,6.7,32.5,19.1
