Matchup,SF @ CHC
Pitcher,Edward Cabrera
Pitcher Team,CHC
Opposing Team,SF

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,54.0,226,0.261,0.324,0.414,0.153,1.35,8,1.33,8.8%,27.3%,20.4%,18.1%,13.0%,7.67,61.8%,6.1%,12.0%,39.2%,22.8%,19.4%,21.5%
vsLHB,29.1,132,0.267,0.330,0.405,0.138,1.50,4,1.23,9.8%,22.2%,15.2%,15.2%,10.2%,6.14,61.7%,6.4%,11.2%,39.8%,20.4%,20.0%,20.4%
vsRHB,23.2,94,0.253,0.316,0.425,0.172,1.23,4,1.52,7.4%,33.5%,27.7%,21.3%,16.8%,9.89,62.1%,5.6%,13.3%,38.3%,26.7%,18.8%,23.3%

,,STATS,STRIKES,STATCAST
BATTER,ODDS,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Willy Adames RHB,N/A,22,4.60,2,2,0.350,0.409,0.750,0.400,0.487,9.1%,29.7%,22.7%,12.4%,88.8,6.7%,6.7%,33.3%,40.0%,33.3%,73.2,37.1%,25.7%,11.4%,94.6%,46.7%,28.6%,13.3%,20.0%,33.3%,40.0%,26.7%,20.0%
Eric Haase RHB,N/A,16,3.20,2,2,0.250,0.250,0.625,0.375,0.374,-,39.4%,31.2%,18.6%,90.4,27.3%,9.1%,18.2%,45.5%,27.3%,72.5,13.3%,20.0%,16.7%,90.9%,27.3%,66.7%,18.2%,45.5%,36.4%,54.5%,9.1%,11.1%
Casey Schmitt RHB,N/A,21,5.20,1,1,0.095,0.095,0.286,0.190,0.160,-,27.5%,23.8%,15.1%,88.7,6.7%,-,13.3%,26.7%,26.7%,72.0,25.7%,25.7%,5.7%,87.5%,46.7%,14.3%,26.7%,6.7%,20.0%,46.7%,33.3%,39.1%
Bryce Eldridge LHB,N/A,19,4.00,1,4,0.333,0.474,0.667,0.333,0.475,21.1%,15.4%,21.1%,5.4%,96.7,36.4%,-,9.1%,63.6%,45.5%,74.5,40.0%,36.0%,28.0%,96.2%,54.5%,16.7%,18.2%,18.2%,27.3%,45.5%,27.3%,29.4%
Matt Chapman RHB,N/A,25,4.40,0,1,0.208,0.240,0.292,0.083,0.234,4.0%,10.6%,8.0%,5.7%,86.5,4.5%,-,9.1%,36.4%,22.7%,75.2,51.1%,17.8%,13.3%,97.8%,22.7%,0.0%,22.7%,31.8%,18.2%,40.9%,36.4%,42.9%
Daniel Susac RHB,N/A,25,4.20,0,1,0.250,0.360,0.350,0.100,0.315,12.0%,26.1%,32.0%,13.5%,82.7,15.4%,-,7.7%,38.5%,38.5%,69.1,8.1%,16.2%,8.1%,82.2%,30.8%,0.0%,30.8%,30.8%,30.8%,46.2%,23.1%,40.0%
Rafael Devers LHB,N/A,23,5.20,0,1,0.227,0.261,0.364,0.136,0.271,4.3%,23.1%,30.4%,10.5%,96.6,6.7%,6.7%,13.3%,53.3%,13.3%,72.9,29.4%,23.5%,20.6%,94.4%,20.0%,0.0%,26.7%,40.0%,33.3%,40.0%,26.7%,33.3%
Luis Arraez LHB,N/A,22,5.00,0,0,0.450,0.455,0.550,0.100,0.431,-,10.4%,-,6.2%,89.2,-,-,14.3%,28.6%,52.4%,63.1,-,38.6%,-,93.6%,23.8%,0.0%,42.9%,33.3%,33.3%,23.8%,42.9%,29.2%
Drew Gilbert LHB,N/A,14,3.20,0,0,0.308,0.357,0.462,0.154,0.355,7.1%,36.4%,28.6%,16.3%,83.4,-,-,11.1%,22.2%,66.7%,68.5,5.0%,20.0%,5.0%,95.2%,22.2%,0.0%,55.6%,22.2%,22.2%,22.2%,55.6%,26.7%
Jung Hoo Lee LHB,N/A,14,4.00,0,1,0.714,0.714,0.857,0.143,0.690,-,7.4%,-,3.8%,80.4,7.1%,-,7.1%,28.6%,50.0%,69.5,-,25.0%,8.3%,88.9%,21.4%,0.0%,28.6%,42.9%,28.6%,28.6%,42.9%,23.5%
Victor Bericoto RHB,N/A,2,2.20,0,0,-,-,-,-,-,-,0.0%,-,-,85.3,-,-,-,50.0%,-,74.8,50.0%,50.0%,50.0%,100.0%,-,-,-,100.0%,100.0%,-,-,100.0%
Jonah Cox RHB,N/A,1,1.50,0,0,1.000,1.000,2.000,1.000,1.270,-,0.0%,-,-,101.5,-,-,-,100.0%,100.0%,68.6,-,50.0%,50.0%,100.0%,-,-,100.0%,-,-,-,100.0%,0.0%
