Matchup,ATL @ SD
Pitcher,Grant Holmes
Pitcher Team,ATL
Opposing Team,SD

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,68.2,300,0.243,0.331,0.433,0.190,1.40,13,1.70,10.7%,28.5%,20.3%,20.7%,13.6%,8.00,58.1%,6.7%,9.8%,44.9%,27.3%,21.4%,22.0%
vsLHB,39.2,176,0.245,0.342,0.444,0.199,1.49,8,1.82,12.5%,27.8%,21.6%,22.0%,13.2%,8.62,59.3%,6.7%,13.0%,51.3%,31.3%,22.2%,23.5%
vsRHB,28.2,124,0.241,0.315,0.420,0.179,1.29,5,1.57,8.1%,29.6%,18.5%,19.0%,14.3%,7.22,56.5%,6.7%,5.6%,36.7%,22.2%,20.0%,20.0%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Ty France RHB,,+650,23,17,4.20,2,2,0.125,0.176,0.500,0.375,0.289,-,38.1%,41.2%,19.3%,90.7,304.7,5,2,11.1%,-,22.2%,33.3%,33.3%,71.3,10.8%,16.2%,5.4%,88.1%,44.4%,50.0%,11.1%,33.3%,33.3%,44.4%,22.2%,15.0%
Fernando Tatis Jr. RHB,,+450,18,31,4.00,1,3,0.370,0.419,0.593,0.222,0.426,9.7%,15.6%,9.7%,6.9%,98.7,297.7,7,5,16.0%,4.0%,4.0%,76.0%,32.0%,76.8,78.0%,46.3%,31.7%,93.2%,24.0%,0.0%,32.0%,40.0%,24.0%,40.0%,36.0%,35.7%
Rodolfo Durán RHB,,+730,18,22,3.00,1,1,0.150,0.227,0.400,0.250,0.270,9.1%,16.7%,18.2%,6.9%,84.6,250.2,2,1,6.2%,-,6.2%,31.2%,25.0%,73.7,40.6%,18.8%,12.5%,88.9%,18.8%,33.3%,12.5%,62.5%,50.0%,25.0%,25.0%,10.0%
Manny Machado RHB,,+430,21,20,4.60,1,2,0.167,0.200,0.389,0.222,0.245,5.0%,37.8%,25.0%,17.9%,88.8,304.6,3,2,15.4%,7.7%,23.1%,38.5%,38.5%,74.2,48.4%,19.4%,9.7%,86.1%,15.4%,0.0%,30.8%,53.8%,69.2%,7.7%,23.1%,30.0%
Jackson Merrill LHB,,+528,24,16,4.60,1,2,0.188,0.188,0.500,0.312,0.290,-,33.3%,31.2%,22.4%,96.5,336.9,6,3,9.1%,-,18.2%,54.5%,45.5%,73.1,26.7%,30.0%,16.7%,93.8%,27.3%,33.3%,36.4%,36.4%,36.4%,27.3%,36.4%,52.9%
Gavin Sheets LHB,,+520,22,14,3.40,1,1,0.214,0.214,0.429,0.214,0.277,-,11.1%,21.4%,4.9%,90.0,190.8,1,1,-,-,18.2%,54.5%,9.1%,73.7,45.0%,30.0%,15.0%,76.9%,18.2%,50.0%,9.1%,54.5%,18.2%,63.6%,18.2%,18.2%
Samad Taylor RHB,,+1120,14,22,4.40,0,0,0.316,0.409,0.368,0.053,0.348,13.6%,22.2%,27.3%,7.1%,78.4,176.6,0,0,-,-,-,38.5%,38.5%,68.5,3.1%,21.9%,-,88.9%,-,-,30.8%,46.2%,23.1%,69.2%,7.7%,11.8%
Xander Bogaerts RHB,,+725,16,19,4.40,0,0,0.188,0.316,0.188,-,0.250,5.3%,13.8%,21.1%,5.9%,88.4,302.7,3,1,-,-,-,33.3%,8.3%,73.4,29.2%,25.0%,4.2%,96.0%,16.7%,0.0%,8.3%,66.7%,16.7%,58.3%,25.0%,25.0%
Sung-Mun Song LHB,—,N/A,15,13,2.80,0,0,0.154,0.154,0.154,-,0.137,-,18.2%,30.8%,8.0%,94.3,239.5,3,0,-,-,33.3%,33.3%,44.4%,71.6,14.8%,18.5%,11.1%,90.0%,33.3%,0.0%,33.3%,11.1%,44.4%,22.2%,33.3%,14.3%
Miguel Andujar RHB,,+760,9,12,1.80,0,0,0.091,0.167,0.091,-,0.128,8.3%,17.9%,8.3%,10.6%,84.5,187.1,1,0,-,-,-,30.0%,10.0%,70.3,16.7%,16.7%,4.2%,85.7%,10.0%,0.0%,20.0%,60.0%,40.0%,20.0%,40.0%,41.7%
Will Wagner LHB,,+1450,10,11,2.80,0,0,0.222,0.364,0.222,-,0.280,18.2%,5.3%,9.1%,2.0%,84.2,232.4,0,0,-,-,-,25.0%,25.0%,68.5,-,29.4%,11.8%,89.5%,12.5%,0.0%,12.5%,75.0%,12.5%,37.5%,50.0%,35.3%
Jase Bowen RHB,—,N/A,-,6,3.20,0,0,-,-,-,-,-,-,57.1%,50.0%,15.4%,70.9,179.0,0,0,-,-,-,-,33.3%,74.8,50.0%,25.0%,-,66.7%,33.3%,0.0%,33.3%,33.3%,-,33.3%,66.7%,11.1%
