Matchup,ARI @ SD
Pitcher,Merrill Kelly
Pitcher Team,ARI
Opposing Team,SD

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,59.2,262,0.283,0.359,0.508,0.225,1.42,13,1.96,6.5%,17.0%,12.6%,14.1%,8.7%,4.98,63.9%,5.4%,12.4%,41.4%,27.6%,19.0%,18.1%
vsLHB,35.0,154,0.266,0.349,0.482,0.216,1.40,7,1.80,7.8%,14.3%,11.0%,12.6%,7.2%,4.37,61.3%,5.0%,11.4%,39.8%,33.3%,17.1%,18.7%
vsRHB,24.2,108,0.307,0.373,0.545,0.238,1.46,6,2.19,4.6%,20.7%,14.8%,16.2%,11.0%,5.84,67.6%,6.1%,13.8%,43.7%,19.5%,23.5%,17.2%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Manny Machado RHB,,+413,22,24,4.20,3,4,0.333,0.500,0.889,0.556,0.552,25.0%,25.7%,16.7%,9.9%,95.6,321.9,6,4,21.4%,7.1%,14.3%,57.1%,35.7%,75.6,54.3%,28.6%,14.3%,100.0%,64.2%,57.1%,37.5%,7.1%,28.6%,21.4%,57.1%,21.4%,40.0%
Luis Campusano RHB,,+650,21,25,2.80,2,2,0.368,0.520,0.737,0.368,0.520,20.0%,23.1%,12.0%,11.2%,88.3,264.3,4,3,12.5%,-,31.2%,50.0%,37.5%,72.6,27.8%,16.7%,5.6%,87.8%,56.2%,25.0%,25.0%,31.2%,31.2%,43.8%,56.2%,-,36.0%
Fernando Tatis Jr. RHB,,+400,17,31,4.20,1,1,0.345,0.387,0.586,0.241,0.417,6.5%,22.0%,19.4%,11.0%,85.3,267.9,4,1,8.7%,-,-,43.5%,17.4%,77.3,75.0%,22.5%,17.5%,83.3%,30.4%,13.0%,33.3%,17.4%,60.9%,34.8%,34.8%,30.4%,45.2%
Jackson Merrill LHB,,+400,7,25,4.00,1,1,0.208,0.240,0.333,0.125,0.252,4.0%,23.0%,32.0%,13.0%,86.9,298.3,4,1,6.2%,-,12.5%,31.2%,31.2%,73.7,25.0%,13.5%,7.7%,88.1%,43.8%,25.0%,25.0%,18.8%,56.2%,50.0%,37.5%,12.5%,34.5%
Sung-Mun Song LHB,,+800,11,24,3.20,1,1,0.300,0.417,0.500,0.200,0.397,16.7%,16.7%,4.2%,7.3%,85.1,239.6,2,2,10.5%,5.3%,21.1%,21.1%,31.6%,72.0,20.5%,28.2%,7.7%,97.5%,42.1%,15.8%,0.0%,26.3%,36.8%,42.1%,15.8%,42.1%,33.3%
Ty France RHB,,+720,28,23,4.20,1,2,0.100,0.217,0.250,0.150,0.218,8.7%,30.2%,30.4%,17.8%,87.3,285.1,6,2,7.7%,7.7%,30.8%,30.8%,46.2%,72.1,28.6%,16.3%,4.1%,92.5%,53.9%,38.5%,20.0%,15.4%,30.8%,46.2%,23.1%,30.8%,31.6%
Gavin Sheets LHB,,+416,11,22,4.40,1,1,0.158,0.273,0.316,0.158,0.265,13.6%,18.9%,9.1%,7.2%,83.5,251.4,1,1,5.9%,5.9%,17.6%,23.5%,29.4%,74.1,48.5%,15.2%,9.1%,89.2%,23.5%,5.9%,100.0%,17.6%,70.6%,58.8%,23.5%,17.6%,8.3%
Jake Cronenworth LHB,,+650,18,22,3.60,1,1,0.286,0.318,0.476,0.190,0.344,4.5%,34.3%,31.8%,15.8%,88.6,271.7,2,2,14.3%,7.1%,14.3%,35.7%,42.9%,71.6,17.6%,29.4%,8.8%,97.1%,50.0%,21.4%,33.3%,28.6%,42.9%,50.0%,28.6%,21.4%,18.2%
Xander Bogaerts RHB,,+620,18,26,4.00,0,0,0.304,0.385,0.391,0.087,0.344,11.5%,14.3%,19.2%,5.9%,90.5,234.7,1,0,5.6%,5.6%,22.2%,44.4%,27.8%,74.1,33.3%,30.3%,15.2%,91.7%,33.3%,-,-,33.3%,66.7%,66.7%,27.8%,5.6%,33.3%
Rodolfo Durán RHB,—,N/A,17,24,2.80,0,0,0.042,0.042,0.083,0.042,0.053,-,19.1%,29.2%,9.1%,83.4,239.2,2,1,-,-,11.8%,23.5%,-,74.1,42.1%,13.2%,2.6%,86.4%,35.3%,35.3%,0.0%,-,41.2%,41.2%,35.3%,23.5%,20.0%
Miguel Andujar RHB,,+750,6,19,2.40,0,1,0.222,0.263,0.389,0.167,0.282,5.3%,17.2%,10.5%,10.2%,88.3,277.8,2,1,-,-,37.5%,37.5%,31.2%,72.9,26.9%,34.6%,19.2%,89.7%,56.3%,12.5%,0.0%,43.8%,43.8%,68.8%,18.8%,12.5%,33.3%
Luis Rengifo SHB,—,N/A,11,15,3.80,0,0,0.286,0.267,0.286,-,0.237,-,16.7%,6.7%,8.8%,82.2,225.4,1,0,-,-,14.3%,21.4%,21.4%,69.7,4.3%,34.8%,4.3%,100.0%,35.7%,14.3%,0.0%,21.4%,42.9%,28.6%,35.7%,35.7%,37.5%
Jase Bowen RHB,,+700,9,13,1.80,0,1,0.154,0.154,0.154,-,0.137,-,33.3%,30.8%,12.8%,79.3,245.5,2,1,22.2%,-,11.1%,33.3%,33.3%,74.3,33.3%,16.7%,8.3%,85.7%,66.6%,33.3%,0.0%,33.3%,22.2%,22.2%,55.6%,22.2%,18.8%
