HR Split,Overall
Dates,"=""8/4/2026"""
Games,15

#,TIME,PITCHER,VS,HR RISK,VS LHB,VS RHB,HR/9,BARREL%,HR/FB%,HH%,FB%,MEATBALL%,BF
1,7:40 PM,Joe Ryan,@,1.35,1.20,0.63,2.08,12.6%,21.8%,44.3%,32.9%,7.7%,243
2,6:35 PM,Grayson Rodriguez,@,1.16,0.59,0.74,1.83,11.6%,17.8%,52.4%,30.6%,7.5%,208
3,6:40 PM,Zack Littell,@,1.03,0.76,0.35,1.99,9.7%,23.1%,42.8%,26.9%,6.9%,195
4,8:05 PM,Javier Assad,vs,0.74,0.71,0.03,1.66,8.7%,21.6%,40.2%,29.1%,8.7%,174
5,8:05 PM,MacKenzie Gore,vs,0.73,-0.03,0.95,1.59,9.6%,21.4%,41.7%,26.9%,7.7%,240
6,6:40 PM,Sean Manaea,@,0.72,0.10,0.80,1.55,9.4%,17.6%,43.4%,32.1%,8.4%,225
7,9:40 PM,Randy Vasquez,@,0.68,0.56,0.13,1.57,9.7%,12.2%,46.3%,30.6%,11.3%,165
8,8:10 PM,Trey Yesavage,@,0.46,0.18,0.40,1.63,8.1%,21.4%,36.2%,28.2%,4.6%,230
9,8:05 PM,Tarik Skubal,@,0.41,0.28,0.42,1.34,9.1%,23.5%,34.3%,23.8%,8.0%,232
10,6:35 PM,Cade Povich,vs,0.40,0.44,-0.01,1.86,9.7%,15.0%,45.2%,32.3%,7.6%,82
11,7:15 PM,Grant Holmes,vs,0.35,0.52,-0.02,1.39,9.9%,11.6%,40.8%,30.3%,7.1%,199
12,8:40 PM,Freddy Peralta,@,0.29,0.41,-0.03,1.68,5.0%,20.0%,36.5%,25.2%,6.0%,227
13,9:40 PM,Emerson Hancock,vs,0.16,0.24,-0.04,1.03,7.9%,12.0%,43.7%,33.1%,8.0%,209
14,7:05 PM,Ryan Weathers,vs,0.15,-0.13,0.36,1.05,7.1%,22.2%,43.9%,17.4%,6.7%,223
15,9:40 PM,Eduardo Rodriguez,vs,0.13,0.12,0.07,1.23,9.9%,14.5%,34.1%,30.2%,5.3%,237
16,7:40 PM,Logan Henderson,vs,0.13,-0.03,0.17,1.05,7.6%,17.2%,34.3%,27.6%,11.2%,168
17,7:10 PM,Patrick Sandoval,vs,0.12,0.50,-0.30,1.45,5.1%,23.1%,35.6%,22.0%,7.9%,86
18,7:05 PM,Hunter Dobbins,@,0.09,-0.17,0.27,1.08,7.1%,16.7%,44.4%,24.2%,6.5%,143
19,7:15 PM,Ryan Gusto,@,0.04,0.13,-0.09,1.04,7.4%,10.3%,44.4%,26.9%,9.1%,151
20,8:10 PM,Hayden Wesneski,vs,-0.03,0.00,0.02,-,5.6%,12.0%,50.0%,11.1%,3.8%,25
21,8:05 PM,Blade Tidwell,@,-0.09,0.11,-0.04,0.77,6.1%,20.0%,36.4%,15.2%,6.0%,47
22,6:40 PM,Jesus Luzardo,vs,-0.11,-0.16,0.52,1.03,5.5%,21.9%,37.0%,21.9%,4.7%,252
23,6:40 PM,J.T. Ginn,@,-0.16,0.08,-0.27,1.11,6.3%,13.6%,35.8%,27.7%,5.8%,240
24,9:40 PM,Troy Melton,@,-0.18,0.44,-0.66,1.18,6.2%,15.6%,33.5%,19.9%,7.0%,238
25,7:40 PM,Jared Jones,@,-0.20,-0.10,-0.12,0.94,7.4%,11.8%,35.2%,27.9%,7.5%,187
26,8:40 PM,Gabriel Hughes,vs,-0.21,-0.18,-0.02,-,2.9%,12.0%,27.1%,31.4%,8.1%,99
27,6:40 PM,Joey Cantillo,vs,-0.24,-0.02,-0.27,0.88,6.6%,14.7%,36.5%,24.8%,6.9%,226
28,7:40 PM,Randy Dobnak,vs,-0.27,-0.33,0.22,0.72,4.9%,14.3%,43.9%,17.1%,5.1%,106
29,7:10 PM,Davis Martin,@,-0.44,-0.18,-0.33,0.73,5.4%,11.1%,42.2%,21.7%,6.5%,225
30,6:40 PM,Brady Singer,vs,-0.49,-0.09,-0.14,0.78,5.0%,10.9%,36.6%,28.6%,5.6%,241
