Split,Season
Range,Season
Dates,="8/13/2026"
Games,20

,STATS,STATCAST
TIME,PITCHER,VS,IP,BF,FIP,AVG,WOBA,WHIP,ISO,SLG,HR,HR/9,TB,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,BB,BB%,1STPS%,MEATBALL%,BBE,HH%,BARRELS,BARREL%,FB%,HR/FB%,PULLAIR%
3:07 PM,Max Scherzer,vs,36.0,161,6.96,0.278,0.375,1.53,0.257,0.535,11,2.75,77,17.3%,16.1%,11.6%,9.0%,6.50,15,9.3%,59.0%,7.5%,118,37.3%,13,11.0%,29.7%,28.6%,28.8%
7:30 PM,Aaron Nola,@,125.0,544,5.11,0.278,0.358,1.45,0.234,0.512,29,2.09,254,27.5%,23.7%,20.1%,12.6%,9.29,43,7.9%,64.0%,6.2%,371,41.2%,37,10.0%,28.6%,23.6%,19.9%
2:10 PM,Davis Martin,vs,123.0,519,3.50,0.265,0.316,1.33,0.125,0.391,10,0.73,184,23.9%,20.8%,18.1%,11.6%,7.90,38,7.3%,57.4%,7.4%,366,43.4%,24,6.6%,21.6%,11.4%,18.6%
4:05 PM,Cade Cavalli,vs,128.2,552,3.61,0.258,0.315,1.30,0.133,0.390,15,1.05,194,25.3%,25.5%,21.2%,12.1%,9.86,39,7.1%,62.2%,8.6%,360,40.6%,27,7.5%,23.6%,15.3%,11.9%
4:05 PM,Kevin Gausman,@,134.1,566,3.55,0.251,0.301,1.26,0.145,0.396,16,1.07,208,27.0%,23.1%,18.2%,13.6%,8.78,37,6.5%,62.9%,6.2%,397,38.8%,29,7.3%,25.2%,14.0%,15.4%
10:10 PM,Shane Drohan,@,93.0,390,3.36,0.248,0.305,1.25,0.144,0.392,9,0.87,139,27.5%,23.8%,22.2%,13.3%,9.00,28,7.2%,67.4%,7.7%,266,37.2%,23,8.6%,29.3%,10.3%,13.2%
1:10 PM,Tyler Phillips,vs,93.1,400,4.62,0.246,0.314,1.36,0.145,0.391,12,1.16,140,25.6%,17.5%,18.8%,11.7%,6.75,39,9.8%,61.0%,7.8%,288,44.8%,23,8.0%,27.1%,11.5%,14.6%
1:10 PM,Braxton Ashcraft,@,132.1,546,3.66,0.242,0.304,1.16,0.164,0.406,19,1.29,203,26.2%,26.6%,23.8%,13.7%,9.86,32,5.9%,67.2%,6.8%,362,40.9%,24,6.6%,26.0%,20.2%,16.0%
2:10 PM,Andrew Abbott,@,128.2,553,4.70,0.242,0.312,1.39,0.140,0.382,17,1.19,186,22.8%,17.9%,15.0%,10.6%,6.92,61,11.0%,58.9%,6.7%,393,38.2%,29,7.4%,25.7%,13.9%,13.7%
10:10 PM,Roki Sasaki,vs,105.0,446,4.97,0.235,0.334,1.28,0.235,0.470,21,1.80,188,29.7%,23.8%,19.8%,14.9%,9.09,40,9.0%,60.8%,7.5%,295,42.4%,31,10.5%,27.1%,23.8%,14.9%
10:07 PM,Jacob deGrom,@,118.2,486,3.29,0.229,0.281,1.13,0.156,0.385,17,1.29,175,33.3%,29.6%,23.3%,17.1%,10.92,30,6.2%,63.1%,6.1%,312,45.2%,28,9.0%,28.5%,19.1%,20.5%
3:07 PM,Payton Tolle,@,107.0,435,3.26,0.221,0.283,1.10,0.154,0.376,13,1.09,151,28.2%,28.5%,25.4%,15.6%,10.43,29,6.7%,64.4%,7.8%,279,35.5%,19,6.8%,28.7%,15.0%,18.6%
7:30 PM,Taj Bradley,vs,131.2,556,3.85,0.220,0.295,1.25,0.149,0.369,17,1.16,183,26.3%,26.6%,20.8%,12.4%,10.12,55,9.9%,60.6%,7.9%,350,45.1%,32,9.1%,29.7%,16.3%,17.4%
1:10 PM,Keider Montero,vs,122.1,492,3.88,0.210,0.264,1.01,0.138,0.348,13,0.96,159,19.2%,17.5%,17.6%,9.3%,6.33,28,5.7%,62.9%,8.4%,373,38.1%,28,7.5%,25.2%,13.8%,18.5%
1:35 PM,Logan Gilbert,@,139.1,549,3.59,0.210,0.279,1.00,0.177,0.387,19,1.23,197,29.9%,26.4%,20.2%,15.2%,9.37,32,5.8%,68.8%,7.4%,367,42.2%,38,10.4%,29.7%,16.5%,20.2%
1:10 PM,Parker Messick,@,136.2,542,3.20,0.208,0.263,1.04,0.136,0.344,13,0.86,172,25.6%,25.1%,21.6%,12.4%,8.96,38,7.0%,61.1%,6.8%,367,32.7%,19,5.2%,21.3%,16.7%,15.0%
10:07 PM,Walbert Urena,vs,101.2,436,3.82,0.205,0.280,1.29,0.086,0.291,6,0.53,108,28.2%,22.2%,19.4%,12.7%,8.59,55,12.6%,54.4%,6.2%,276,33.3%,13,4.7%,22.1%,8.2%,11.6%
1:35 PM,Max Fried,vs,81.1,312,2.41,0.191,0.232,0.97,0.053,0.245,1,0.11,69,24.9%,24.0%,22.3%,11.4%,8.30,25,8.0%,55.4%,7.6%,210,30.5%,3,1.4%,22.9%,2.1%,9.0%
