Batter,Batter Team,Pitcher,Pitcher Team,AB,Avg,BABIP,ISO,SLG,1B,2B,3B,HR,XBH,RBI,TB,K%,OBP,BB
"Miguel Rojas","LAD","Trevor Rogers","BAL","2","1.000","1.00","1.00","2.00","0","2","0","0","2","0","4","0.0","1.000","0"
"Cam Smith","HOU","Joey Cantillo","CLE","3","1.000","1.00","0.33","1.33","2","1","0","0","1","0","4","0.0","1.000","0"
"Jarren Duran","BOS","Emerson Hancock","SEA","3","0.667","1.00","0.33","1.00","1","1","0","0","1","0","3","33.3","0.667","0"
"Brayan Rocchio","CLE","Spencer Arrighetti","HOU","3","0.667","1.00","0.33","1.00","1","1","0","0","1","0","3","33.3","0.750","1"
"Brandon Lowe","PIT","Tomoyuki Sugano","COL","3","0.667","1.00","1.00","1.67","1","0","0","1","1","4","5","33.3","0.667","0"
"Nolan Arenado","ARI","Taj Bradley","MIN","3","0.667","0.67","0.33","1.00","1","1","0","0","1","2","3","0.0","0.667","0"
"Troy Johnston","COL","Paul Skenes","PIT","2","0.500","1.00","0.50","1.00","0","1","0","0","1","0","2","50.0","0.667","0"
"Ketel Marte","ARI","Taj Bradley","MIN","2","0.500","0.00","1.50","2.00","0","0","0","1","1","1","4","0.0","0.667","1"
"Jose Altuve","HOU","Joey Cantillo","CLE","4","0.500","0.50","0.50","1.00","0","2","0","0","2","1","4","25.0","0.400","0"
"Corbin Carroll","ARI","Taj Bradley","MIN","6","0.500","0.33","1.00","1.50","1","0","0","2","2","4","9","16.7","0.500","0"
"Jake McCarthy","COL","Paul Skenes","PIT","6","0.500","0.60","0.50","1.00","1","1","1","0","2","0","6","16.7","0.500","0"
"Freddie Freeman","LAD","Trevor Rogers","BAL","12","0.417","0.56","0.25","0.67","3","1","1","0","2","1","8","25.0","0.500","2"
"Nolan Schanuel","LAA","J.T. Ginn","ATH","5","0.400","0.50","0.80","1.20","0","1","0","1","2","1","6","40.0","0.400","0"
"Juan Soto","NYM","Cristopher Sanchez","PHI","14","0.357","0.50","0.07","0.43","4","1","0","0","1","0","6","28.6","0.400","1"
"Nick Kurtz","ATH","Walbert Urena","LAA","3","0.333","0.50","0.33","0.67","0","1","0","0","1","0","2","33.3","0.333","0"
"Byron Buxton","MIN","Zac Gallen","ARI","3","0.333","0.00","1.00","1.33","0","0","0","1","1","1","4","33.3","0.333","0"
"Geraldo Perdomo","ARI","Taj Bradley","MIN","6","0.333","0.40","0.17","0.50","1","1","0","0","1","0","3","16.7","0.333","0"
"Mark Vientos","NYM","Cristopher Sanchez","PHI","15","0.333","0.57","0.47","0.80","0","4","0","1","5","5","12","46.7","0.474","4"
"Jackson Holliday","BAL","Yoshinobu Yamamoto","LAD","4","0.250","0.00","0.75","1.00","0","0","0","1","1","1","4","25.0","0.250","0"
"Zach Neto","LAA","J.T. Ginn","ATH","8","0.250","0.20","0.38","0.63","1","0","0","1","1","2","5","25.0","0.333","0"
"Eric Wagaman","NYM","Cristopher Sanchez","PHI","8","0.250","0.25","0.13","0.38","1","1","0","0","1","0","3","0.0","0.250","0"
"Alex Call","LAD","Trevor Rogers","BAL","9","0.222","0.29","0.11","0.33","1","1","0","0","1","0","3","22.2","0.222","0"
"Bryce Harper","PHI","Freddy Peralta","NYM","14","0.214","0.50","0.50","0.71","0","1","0","2","3","6","10","71.4","0.313","2"
"Kyle Schwarber","PHI","Freddy Peralta","NYM","15","0.200","0.13","0.47","0.67","0","1","0","2","3","2","10","33.3","0.400","5"
"Luis Torrens","NYM","Cristopher Sanchez","PHI","8","0.125","0.17","0.13","0.25","0","1","0","0","1","1","2","25.0","0.222","1"
"Alec Bohm","PHI","Freddy Peralta","NYM","9","0.111","0.00","0.33","0.44","0","0","0","1","1","1","4","44.4","0.200","1"
"Trea Turner","PHI","Freddy Peralta","NYM","16","0.063","0.00","0.19","0.25","0","0","0","1","1","3","4","25.0","0.118","1"
