Date,Venue,Game,Time,HR %,2B/3B %,1B %,Runs %,HR #,2B/3B #,1B #,Runs #,HR % Stadium,2B/3B % Stadium,1B % Stadium,Runs % Stadium,HR # Stadium,2B/3B # Stadium,1B # Stadium,Runs # Stadium,HR % Weather,2B/3B % Weather,1B % Weather,Runs % Weather,HR # Weather,2B/3B # Weather,1B # Weather,Runs # Weather
2026-07-09,Great American BP,PHI @ CIN,7:10,+28%,+1%,-4%,+12%,+0.62,+0.02,-0.42,+1.06,+14%,+2%,-1%,+10%,+0.33,+0.08,-0.09,+0.85,+13%,-2%,-3%,+2%,+0.30,-0.06,-0.34,+0.20
2026-07-09,Oriole Park,CHC @ BAL,1:35,+16%,+13%,+5%,+14%,+0.36,+0.45,+0.49,+1.23,-4%,+8%,+7%,+5%,-0.09,+0.27,+0.70,+0.44,+20%,+5%,-2%,+9%,+0.45,+0.18,-0.21,+0.79
2026-07-09,Citi Field,KC  @ NYM,1:10,+16%,-11%,-11%,-2%,+0.36,-0.39,-1.15,-0.18,-1%,-19%,-5%,-8%,-0.03,-0.65,-0.49,-0.69,+17%,+7%,-6%,+6%,+0.39,+0.26,-0.67,+0.51
2026-07-09,Rate Field,BOS @ CHW,2:10,+14%,-4%,+1%,+6%,+0.32,-0.13,+0.12,+0.54,+4%,-8%,+3%,+1%,+0.08,-0.27,+0.29,+0.10,+11%,+4%,-2%,+5%,+0.24,+0.13,-0.17,+0.43
2026-07-09,Comerica Park,ATH @ DET,6:40,+2%,+1%,+11%,+8%,+0.03,+0.05,+1.22,+0.70,-11%,+2%,+6%,-2%,-0.26,+0.05,+0.64,-0.15,+13%,0%,+6%,+10%,+0.29,-0.01,+0.59,+0.85
2026-07-09,Target Field,CLE @ MIN,1:40,+2%,-3%,+8%,+6%,+0.04,-0.09,+0.83,+0.55,-8%,+2%,+3%,+1%,-0.17,+0.07,+0.29,+0.07,+9%,-5%,+5%,+6%,+0.21,-0.16,+0.54,+0.49
2026-07-09,Petco Park,ARI @ SD,9:40,+1%,-13%,-6%,-7%,+0.02,-0.45,-0.64,-0.62,-5%,-11%,-4%,-7%,-0.12,-0.38,-0.47,-0.65,+6%,-2%,-2%,+0%,+0.14,-0.07,-0.16,+0.04
2026-07-09,Tropicana Field,NYY @ TB,1:10,-2%,-7%,-8%,-6%,-0.05,-0.23,-0.82,-0.49,-3%,-7%,-8%,-6%,-0.06,-0.23,-0.81,-0.50,+0%,0%,0%,+0%,+0.01,-0.01,-0.01,+0.00
2026-07-09,PNC Park,ATL @ PIT,12:35,-5%,+18%,-1%,+6%,-0.11,+0.62,-0.08,+0.51,-15%,+11%,+0%,-1%,-0.33,+0.39,+0.02,-0.04,+10%,+7%,-1%,+6%,+0.22,+0.23,-0.10,+0.55
2026-07-09,Busch Stadium,MIL @ STL,7:45,-9%,-3%,+4%,-5%,-0.21,-0.12,+0.42,-0.48,-10%,-5%,+3%,-7%,-0.24,-0.19,+0.37,-0.62,+1%,+2%,+1%,+2%,+0.03,+0.07,+0.05,+0.14
2026-07-09,Globe Life Field,LAA @ TEX,8:05,-11%,-6%,-1%,-7%,-0.26,-0.21,-0.10,-0.59,-11%,-6%,-1%,-7%,-0.25,-0.21,-0.08,-0.57,0%,+0%,0%,0%,-0.01,+0.01,-0.03,-0.02
2026-07-09,LoanDepot Park,SEA @ MIA,6:40,-12%,+2%,-1%,-4%,-0.27,+0.06,-0.16,-0.38,-12%,+1%,-1%,-4%,-0.26,+0.03,-0.07,-0.37,0%,+1%,-1%,0%,0.00,+0.03,-0.09,-0.02
2026-07-09,Oracle Park,COL @ SF,9:45,-21%,+5%,+5%,-5%,-0.48,+0.19,+0.53,-0.47,-16%,+10%,+6%,0%,-0.35,+0.36,+0.67,-0.01,-6%,-5%,-1%,-5%,-0.13,-0.17,-0.14,-0.46
