Matchup,NYY @ DET
Pitcher,Carlos Rodon
Pitcher Team,NYY
Opposing Team,DET

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,36.0,151,0.195,0.285,0.320,0.125,1.25,3,0.75,13.2%,27.5%,27.2%,21.1%,13.0%,10.25,59.2%,9.1%,5.6%,38.2%,28.1%,8.0%,19.1%
vsLHB,9.0,39,0.257,0.350,0.514,0.257,1.33,2,2.00,7.7%,19.8%,23.1%,17.0%,9.8%,9.00,61.5%,9.1%,11.1%,33.3%,18.5%,20.0%,11.1%
vsRHB,27.0,112,0.172,0.262,0.247,0.075,1.22,1,0.33,15.2%,30.2%,28.6%,22.7%,14.1%,10.67,58.4%,9.1%,3.2%,40.3%,32.3%,5.0%,22.6%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Kevin McGonigle LHB,,+680,22,11,4.40,1,1,0.400,0.455,0.800,0.400,0.527,9.1%,23.1%,9.1%,9.4%,85.8,208.3,1,0,-,-,11.1%,55.6%,44.4%,68.5,-,50.0%,25.0%,92.3%,33.3%,33.3%,22.2%,33.3%,22.2%,33.3%,44.4%,30.8%
Matt Vierling RHB,,+730,13,11,3.00,1,2,0.333,0.364,0.889,0.556,0.478,9.1%,14.3%,9.1%,7.1%,87.7,271.8,2,2,22.2%,-,11.1%,33.3%,44.4%,70.7,10.0%,25.0%,15.0%,95.2%,22.2%,0.0%,11.1%,44.4%,33.3%,55.6%,11.1%,25.0%
Dillon Dingler RHB,,+520,21,17,4.20,0,0,0.231,0.294,0.231,-,0.233,11.8%,17.9%,17.6%,8.8%,89.5,207.5,2,0,-,-,-,50.0%,50.0%,73.1,33.3%,33.3%,16.7%,85.7%,16.7%,0.0%,41.7%,25.0%,16.7%,58.3%,25.0%,31.2%
Zach McKinstry LHB,,+1600,2,15,3.60,0,0,-,0.333,-,-,0.216,33.3%,32.0%,26.7%,11.3%,81.0,273.2,0,0,-,-,-,16.7%,-,67.9,-,21.1%,5.3%,79.2%,16.7%,0.0%,-,66.7%,66.7%,16.7%,16.7%,25.0%
Hao-Yu Lee RHB,,+730,20,13,3.20,0,0,0.154,0.154,0.154,-,0.137,-,16.0%,15.4%,7.1%,86.7,264.6,4,0,-,-,-,18.2%,27.3%,69.4,13.0%,26.1%,4.3%,92.0%,45.5%,0.0%,18.2%,27.3%,-,54.5%,45.5%,21.4%
James Outman LHB,—,N/A,2,12,2.80,0,0,0.333,0.500,0.444,0.111,0.422,16.7%,37.5%,25.0%,21.4%,92.8,347.5,2,1,-,-,-,66.7%,33.3%,72.7,14.3%,23.8%,14.3%,87.5%,16.7%,0.0%,16.7%,66.7%,33.3%,50.0%,16.7%,46.2%
Jahmai Jones RHB,,+610,13,11,1.60,0,0,0.100,0.182,0.100,-,0.140,9.1%,35.0%,27.3%,17.1%,86.6,261.0,2,1,-,-,14.3%,14.3%,-,72.5,26.3%,21.1%,5.3%,95.0%,42.9%,0.0%,-,28.6%,28.6%,71.4%,-,36.4%
Spencer Torkelson RHB,,+440,27,11,3.80,0,1,0.273,0.273,0.455,0.182,0.312,-,32.1%,45.5%,15.8%,88.7,300.3,3,2,16.7%,16.7%,50.0%,66.7%,50.0%,72.4,17.4%,17.4%,17.4%,82.1%,16.7%,0.0%,50.0%,16.7%,50.0%,16.7%,33.3%,33.3%
Riley Greene LHB,,+520,12,10,4.20,0,1,0.333,0.400,0.333,-,0.332,10.0%,45.5%,30.0%,18.9%,99.2,237.9,1,0,-,-,16.7%,66.7%,33.3%,74.5,50.0%,22.2%,11.1%,90.0%,16.7%,0.0%,33.3%,33.3%,33.3%,16.7%,50.0%,28.6%
Colt Keith LHB,—,N/A,1,9,3.80,0,0,0.125,0.222,0.125,-,0.179,-,16.7%,11.1%,8.7%,73.3,52.7,0,0,-,-,-,28.6%,-,70.9,11.1%,22.2%,11.1%,75.0%,-,-,-,85.7%,42.9%,57.1%,-,22.2%
Jake Rogers RHB,—,N/A,4,8,3.20,0,0,0.286,0.375,0.429,0.143,0.351,12.5%,53.8%,50.0%,20.6%,98.3,293.4,1,0,-,-,33.3%,66.7%,33.3%,72.0,10.0%,30.0%,20.0%,76.9%,33.3%,0.0%,33.3%,33.3%,66.7%,33.3%,-,30.0%
Kerry Carpenter LHB,—,N/A,-,4,3.00,0,1,-,-,-,-,-,-,44.4%,50.0%,13.3%,92.2,342.3,2,1,-,-,50.0%,50.0%,-,70.4,-,33.3%,-,75.0%,100.0%,0.0%,-,-,50.0%,50.0%,-,0.0%
