Date,Venue,Game,Time,HR %,2B/3B %,1B %,Runs %,HR #,2B/3B #,1B #,Runs #,HR % Stadium,2B/3B % Stadium,1B % Stadium,Runs % Stadium,HR # Stadium,2B/3B # Stadium,1B # Stadium,Runs # Stadium,HR % Weather,2B/3B % Weather,1B % Weather,Runs % Weather,HR # Weather,2B/3B # Weather,1B # Weather,Runs # Weather
2026-06-06,Coors Field,MIL @ COL,9:10,+22%,+18%,+15%,+27%,+0.49,+0.62,+1.63,+2.38,+21%,+30%,+16%,+32%,+0.46,+1.04,+1.66,+2.83,+1%,-12%,0%,-5%,+0.03,-0.42,-0.03,-0.44
2026-06-06,Citizens Bank Park,CHW @ PHI,4:05,+32%,-6%,-2%,+11%,+0.72,-0.21,-0.18,+0.93,+14%,-3%,-2%,+5%,+0.32,-0.10,-0.17,+0.43,+18%,-3%,0%,+6%,+0.40,-0.11,-0.01,+0.50
2026-06-06,Yankee Stadium,BOS @ NYY,7:35,+22%,-8%,-2%,+6%,+0.48,-0.28,-0.26,+0.54,+5%,-12%,-6%,-4%,+0.11,-0.41,-0.60,-0.37,+16%,+4%,+3%,+10%,+0.37,+0.12,+0.34,+0.91
2026-06-06,Comerica Park,SEA @ DET,1:10,+6%,+2%,+6%,+6%,+0.13,+0.08,+0.59,+0.51,-10%,+1%,+6%,-1%,-0.23,+0.05,+0.63,-0.12,+16%,+1%,0%,+7%,+0.37,+0.04,-0.05,+0.63
2026-06-06,Truist Park,PIT @ ATL,4:10,+3%,+5%,-1%,+3%,+0.07,+0.19,-0.08,+0.24,-1%,-7%,+1%,-3%,-0.03,-0.24,+0.14,-0.27,+4%,+12%,-2%,+6%,+0.10,+0.43,-0.22,+0.51
2026-06-06,Chase Field,WAS @ ARI,4:10,-8%,+11%,+0%,+1%,-0.18,+0.39,+0.05,+0.06,-8%,+13%,+1%,+2%,-0.17,+0.45,+0.06,+0.15,0%,-2%,0%,-1%,-0.01,-0.07,-0.01,-0.09
2026-06-06,Target Field,KC  @ MIN,2:10,-5%,-3%,+2%,-1%,-0.11,-0.12,+0.17,-0.12,-7%,+2%,+2%,+1%,-0.15,+0.07,+0.26,+0.08,+2%,-5%,-1%,-2%,+0.04,-0.19,-0.10,-0.21
2026-06-06,Daikin Park,ATH @ HOU,4:10,+5%,-11%,-4%,-5%,+0.12,-0.40,-0.44,-0.42,+5%,-12%,-4%,-5%,+0.12,-0.41,-0.46,-0.44,0%,+0%,+0%,+0%,0.00,+0.01,+0.02,+0.02
2026-06-06,LoanDepot Park,TB  @ MIA,4:10,-12%,+2%,-2%,-5%,-0.27,+0.07,-0.22,-0.43,-13%,+1%,-1%,-5%,-0.29,+0.03,-0.12,-0.45,+1%,+1%,-1%,+0%,+0.02,+0.04,-0.11,+0.02
2026-06-06,Rogers Centre,BAL @ TOR,3:07,+3%,-6%,-3%,-5%,+0.06,-0.20,-0.33,-0.48,+7%,-2%,-2%,-2%,+0.16,-0.08,-0.25,-0.14,-4%,-3%,-1%,-4%,-0.09,-0.12,-0.08,-0.34
2026-06-06,Busch Stadium,CIN @ STL,2:15,+4%,-10%,+0%,-5%,+0.09,-0.35,+0.02,-0.48,-9%,-5%,+4%,-6%,-0.20,-0.19,+0.46,-0.50,+13%,-5%,-4%,+0%,+0.28,-0.16,-0.45,+0.02
2026-06-06,Dodger Stadium,LAA @ LAD,10:10,+12%,-11%,-10%,-8%,+0.28,-0.39,-1.03,-0.72,+19%,-4%,-5%,+1%,+0.42,-0.15,-0.52,+0.06,-6%,-7%,-5%,-9%,-0.14,-0.25,-0.51,-0.78
2026-06-06,Globe Life Field,CLE @ TEX,7:35,-11%,-9%,-2%,-8%,-0.24,-0.31,-0.22,-0.74,-10%,-9%,-2%,-8%,-0.21,-0.32,-0.20,-0.71,-1%,+0%,0%,0%,-0.02,+0.01,-0.03,-0.03
2026-06-06,Petco Park,NYM @ SD,10:10,-5%,-18%,-6%,-12%,-0.12,-0.61,-0.68,-1.01,-4%,-12%,-4%,-7%,-0.09,-0.40,-0.48,-0.63,-1%,-6%,-2%,-4%,-0.03,-0.21,-0.20,-0.38
2026-06-06,Wrigley Field,SF  @ CHC,2:20,-12%,-18%,-5%,-16%,-0.26,-0.64,-0.54,-1.41,-2%,-10%,-3%,-7%,-0.06,-0.36,-0.33,-0.59,-9%,-8%,-2%,-9%,-0.20,-0.28,-0.21,-0.82
