Matchup,CLE @ CWS
Pitcher,Parker Messick
Pitcher Team,CLE
Opposing Team,CWS

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,86.2,345,0.214,0.272,0.348,0.134,1.10,8,0.83,8.1%,27.5%,26.4%,21.7%,13.2%,9.45,60.0%,7.7%,5.8%,34.7%,23.6%,15.1%,17.8%
vsLHB,23.2,99,0.233,0.297,0.378,0.144,1.23,2,0.76,8.1%,28.7%,23.2%,18.1%,13.5%,8.75,66.7%,9.8%,4.5%,32.8%,29.9%,10.0%,20.9%
vsRHB,62.1,246,0.206,0.261,0.336,0.130,1.06,6,0.87,8.1%,27.0%,27.6%,23.3%,13.1%,9.82,57.3%,6.8%,6.3%,35.4%,20.9%,18.2%,16.5%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Junior Perez RHB,—,N/A,-,5,2.33,1,1,0.400,0.400,1.000,0.600,0.598,-,30.8%,20.0%,21.1%,92.9,335.4,2,2,-,-,25.0%,75.0%,75.0%,76.7,72.7%,27.3%,18.2%,91.7%,25.0%,0.0%,50.0%,25.0%,25.0%,50.0%,25.0%,66.7%
Randal Grichuk RHB,—,N/A,31,12,3.20,3,3,0.600,0.667,1.500,0.900,0.856,16.7%,29.4%,16.7%,15.9%,94.1,289.1,4,3,25.0%,25.0%,62.5%,62.5%,87.5%,74.4,48.4%,16.1%,9.7%,91.2%,50.0%,75.0%,37.5%,-,62.5%,12.5%,25.0%,35.7%
Miguel Vargas RHB,,N/A,18,15,3.60,0,0,0.154,0.267,0.231,0.077,0.231,13.3%,26.9%,20.0%,11.5%,92.7,251.9,2,1,10.0%,-,30.0%,60.0%,30.0%,74.8,45.5%,36.4%,13.6%,84.6%,30.0%,0.0%,30.0%,30.0%,50.0%,30.0%,20.0%,33.3%
Luisangel Acuna RHB,,N/A,14,18,2.40,0,1,0.312,0.333,0.375,0.062,0.304,5.6%,20.7%,5.6%,10.9%,90.3,303.4,3,2,6.2%,-,6.2%,50.0%,25.0%,71.8,26.9%,46.2%,23.1%,92.9%,18.8%,0.0%,18.8%,56.2%,43.8%,31.2%,25.0%,41.2%
Colson Montgomery LHB,,N/A,25,11,4.00,3,3,0.273,0.273,1.091,0.818,0.573,-,31.2%,27.3%,22.7%,90.0,346.8,3,3,25.0%,12.5%,25.0%,50.0%,25.0%,77.2,76.0%,20.0%,16.0%,78.1%,25.0%,100.0%,12.5%,50.0%,37.5%,62.5%,-,76.9%
Jacob Gonzalez LHB,—,N/A,-,10,2.60,0,0,0.143,0.400,0.143,-,0.298,10.0%,33.3%,30.0%,11.4%,94.5,267.8,0,0,-,-,-,50.0%,-,72.1,20.0%,10.0%,-,71.4%,25.0%,0.0%,-,75.0%,75.0%,-,25.0%,23.1%
Chase Meidroth RHB,,N/A,11,19,3.80,1,1,0.263,0.263,0.474,0.211,0.318,-,27.0%,31.6%,15.6%,91.4,284.6,3,1,-,-,23.1%,46.2%,38.5%,67.0,-,30.3%,12.1%,91.7%,23.1%,33.3%,30.8%,46.2%,46.2%,30.8%,23.1%,31.2%
Andrew Benintendi LHB,,N/A,10,13,1.80,0,0,0.167,0.231,0.250,0.083,0.216,7.7%,39.4%,53.8%,25.0%,72.8,342.5,1,1,20.0%,-,20.0%,40.0%,40.0%,68.3,-,7.4%,3.7%,81.8%,20.0%,0.0%,20.0%,40.0%,80.0%,20.0%,-,68.8%
Sam Antonacci LHB,,N/A,11,15,3.60,0,1,0.286,0.333,0.357,0.071,0.311,-,12.5%,20.0%,6.2%,88.3,281.3,1,1,9.1%,-,18.2%,36.4%,36.4%,69.6,-,21.4%,10.7%,87.5%,18.2%,0.0%,18.2%,63.6%,45.5%,36.4%,18.2%,27.8%
Braden Montgomery SHB,,N/A,-,8,3.40,0,0,0.125,0.125,0.250,0.125,0.159,-,50.0%,37.5%,28.0%,87.1,297.8,1,0,-,-,-,20.0%,20.0%,71.9,30.8%,23.1%,-,92.9%,60.0%,0.0%,-,40.0%,20.0%,-,80.0%,55.6%
Drew Romo SHB,—,N/A,3,10,3.60,0,0,-,0.200,-,-,0.130,20.0%,16.7%,10.0%,6.1%,77.1,203.5,0,0,-,-,-,14.3%,28.6%,67.0,-,16.7%,-,100.0%,28.6%,0.0%,28.6%,28.6%,14.3%,71.4%,14.3%,40.0%
Tristan Peters LHB,,N/A,1,14,2.80,0,0,0.154,0.214,0.154,-,0.179,-,23.8%,7.1%,10.6%,63.9,270.6,1,0,-,-,-,-,16.7%,68.6,7.1%,14.3%,-,70.0%,-,-,16.7%,58.3%,50.0%,50.0%,-,35.3%
