Matchup,COL @ LAA
Pitcher,Walbert Urena
Pitcher Team,LAA
Opposing Team,COL

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,44.1,194,0.218,0.289,0.315,0.097,1.38,3,0.61,12.9%,28.1%,21.1%,20.4%,12.7%,8.32,53.1%,6.3%,6.3%,32.5%,22.2%,7.1%,13.5%
vsLHB,24.1,103,0.195,0.266,0.276,0.080,1.32,1,0.37,14.6%,24.4%,19.4%,18.0%,10.6%,7.40,50.5%,6.2%,5.9%,30.9%,25.0%,5.9%,14.7%
vsRHB,19.2,91,0.244,0.315,0.359,0.115,1.47,2,0.92,11.0%,32.1%,23.1%,23.3%,15.3%,9.61,56.0%,6.3%,6.9%,34.5%,19.0%,9.1%,12.1%

,,STATS,STRIKES,STATCAST
BATTER,ODDS,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Jake McCarthy LHB,+1040,21,5.00,2,3,0.278,0.381,0.611,0.333,0.420,14.3%,17.1%,19.0%,9.8%,87.3,14.3%,7.1%,28.6%,42.9%,50.0%,71.9,12.5%,21.9%,9.4%,97.0%,50.0%,28.6%,21.4%,14.3%,50.0%,21.4%,28.6%,50.0%
Ezequiel Tovar RHB,+820,20,4.60,2,2,0.353,0.400,0.706,0.353,0.453,10.0%,28.9%,30.0%,16.2%,86.6,16.7%,-,8.3%,41.7%,25.0%,70.9,23.3%,23.3%,10.0%,83.3%,41.7%,40.0%,8.3%,41.7%,41.7%,33.3%,25.0%,31.6%
Willi Castro SHB,+820,24,5.00,1,2,0.211,0.375,0.421,0.211,0.350,20.8%,26.4%,29.2%,12.8%,94.7,8.3%,8.3%,8.3%,66.7%,33.3%,73.0,31.9%,21.3%,6.4%,90.4%,50.0%,16.7%,16.7%,33.3%,33.3%,50.0%,16.7%,20.8%
TJ Rumfield LHB,+820,19,4.00,1,2,0.400,0.474,0.667,0.267,0.471,10.5%,17.9%,10.5%,11.3%,82.8,7.1%,-,14.3%,28.6%,50.0%,69.8,8.3%,19.4%,8.3%,92.3%,28.6%,25.0%,21.4%,42.9%,57.1%,35.7%,7.1%,55.6%
Tyler Freeman RHB,+1200,23,4.00,0,1,0.222,0.391,0.278,0.056,0.319,13.0%,11.1%,8.7%,4.8%,90.5,6.2%,6.2%,6.2%,43.8%,18.8%,69.6,2.9%,26.5%,17.6%,94.4%,12.5%,0.0%,25.0%,56.2%,43.8%,43.8%,12.5%,26.9%
Troy Johnston LHB,+880,22,5.00,0,0,0.263,0.364,0.263,-,0.291,13.6%,30.0%,22.7%,14.3%,89.4,7.1%,-,-,35.7%,21.4%,69.0,-,25.0%,11.1%,90.0%,-,-,35.7%,57.1%,42.9%,35.7%,21.4%,33.3%
Edouard Julien LHB,+900,20,3.00,0,0,0.222,0.300,0.222,-,0.243,10.0%,2.9%,15.0%,1.3%,87.5,-,-,20.0%,40.0%,40.0%,71.4,12.1%,27.3%,9.1%,94.3%,13.3%,0.0%,40.0%,46.7%,46.7%,33.3%,20.0%,41.2%
Kyle Karros RHB,+1140,18,3.60,0,1,0.200,0.333,0.267,0.067,0.278,16.7%,17.1%,22.2%,7.9%,93.9,-,-,9.1%,54.5%,27.3%,71.2,12.1%,21.2%,9.1%,100.0%,18.2%,0.0%,18.2%,63.6%,54.5%,36.4%,9.1%,60.0%
Brett Sullivan LHB,N/A,18,2.60,0,1,-,0.056,-,-,0.036,5.6%,11.4%,11.1%,6.6%,86.8,-,-,20.0%,26.7%,20.0%,66.4,-,32.4%,2.9%,97.1%,26.7%,0.0%,13.3%,46.7%,53.3%,26.7%,20.0%,13.3%
Hunter Goodman RHB,+390,17,5.00,0,0,0.231,0.412,0.231,-,0.314,17.6%,30.3%,23.5%,13.3%,85.7,22.2%,11.1%,22.2%,33.3%,44.4%,74.9,50.0%,12.5%,9.4%,97.0%,22.2%,0.0%,44.4%,22.2%,44.4%,44.4%,11.1%,23.8%
Sterlin Thompson LHB,+990,15,3.40,0,0,0.182,0.400,0.364,0.182,0.347,20.0%,27.3%,20.0%,11.4%,88.6,-,-,-,37.5%,50.0%,75.2,54.8%,12.9%,9.7%,93.9%,12.5%,0.0%,50.0%,37.5%,12.5%,62.5%,25.0%,29.4%
Chad Stevens RHB,N/A,7,2.60,0,0,-,0.143,-,-,0.093,14.3%,22.2%,42.9%,9.5%,90.2,-,-,-,33.3%,66.7%,72.9,42.9%,14.3%,14.3%,87.5%,33.3%,0.0%,66.7%,-,-,100.0%,-,33.3%
Braxton Fulford RHB,N/A,4,2.20,0,0,-,0.250,-,-,0.162,25.0%,37.5%,25.0%,14.3%,94.2,-,-,-,50.0%,50.0%,72.6,28.6%,28.6%,14.3%,87.5%,-,-,50.0%,50.0%,50.0%,50.0%,-,20.0%
