Bat Side,both
Condition,night

#,BALLPARK,ELEV,ROOF,BBE,PARK,HR,HITS,1B,2B,3B,K,BB,BARREL,HARDHIT,DIST,AVG EV,AVG DIST
1,Rate Field,595',Open,"4,326",1.07,1.07,1.08,1.09,1.05,0.91,0.99,1.01,1.07,1.08,0.99,88.5,172.7
2,Great American Ball Park,535',Open,"5,715",1.07,1.22,1.04,0.98,1.09,0.86,1.02,1.03,1.05,1.01,1.01,88.4,174.3
3,Nationals Park,35',Open,"5,488",1.04,1.04,1.04,1.04,1.03,1.02,0.94,1.00,1.10,1.05,1.00,88.7,163.6
4,Target Field,828',Open,"4,657",1.04,0.99,1.06,1.06,1.10,0.97,1.01,1.01,1.04,1.03,1.02,88.6,173
5,loanDepot park,10',Retractable,"6,376",1.04,1.00,1.04,1.03,1.08,1.15,0.96,0.98,1.04,1.05,0.99,88.7,162.8
6,Daikin Park,45',Retractable,"1,657",1.04,1.11,1.05,1.05,0.97,0.94,1.04,1.00,0.97,1.03,1.00,88.3,171.7
7,Comerica Park,600',Open,"5,855",1.03,1.05,1.03,1.03,0.95,1.27,0.99,1.00,1.01,1.04,1.00,89,169.7
8,Oriole Park at Camden Yards,33',Open,"6,189",1.03,1.06,1.03,1.05,0.94,1.00,0.98,0.98,1.02,1.05,1.01,89.4,168.8
9,Kauffman Stadium,856',Open,"4,967",1.03,0.89,1.04,1.03,1.11,1.25,0.95,1.03,1.00,1.02,1.02,88.8,166.9
10,Citizens Bank Park,20',Open,"7,146",1.03,1.06,1.03,1.02,0.99,1.01,1.02,1.04,0.94,0.99,1.00,88.6,166
11,George M. Steinbrenner Field,34',Open,"2,718",1.02,1.03,1.04,1.06,0.97,0.80,1.00,1.00,0.96,1.07,0.99,89.5,156
12,Rogers Centre,270',Retractable,"6,251",1.02,1.11,1.01,0.97,1.04,0.87,1.02,0.98,1.10,1.03,1.00,88.8,170.1
13,PNC Park,780',Open,"5,882",1.02,0.89,1.03,1.03,1.13,0.92,0.97,1.04,0.97,1.05,1.00,88.7,161.5
14,Truist Park,1001',Open,"7,757",1.01,0.94,1.04,1.07,1.03,1.08,1.06,0.96,0.97,1.02,1.01,89.4,166.4
15,Fenway Park,21',Open,"6,763",1.01,0.90,1.03,1.04,1.08,0.97,1.02,1.01,0.98,1.02,0.99,88.9,159.1
16,Busch Stadium,460',Open,"5,336",1.00,0.90,1.01,1.03,1.05,0.89,0.94,1.00,1.04,1.04,1.00,89.1,159.1
17,Citi Field,10',Open,"5,920",1.00,0.94,1.02,1.06,0.95,0.95,1.01,1.05,0.97,1.01,1.00,88.9,165.3
18,Wrigley Field,595',Open,"2,586",1.00,1.02,1.00,1.03,0.87,1.14,0.96,1.02,0.97,1.05,1.00,88.9,162
19,American Family Field,597',Retractable,"4,251",0.99,1.05,1.00,1.00,0.95,0.89,1.04,0.98,0.97,1.00,1.01,87.6,165.1
20,Progressive Field,653',Open,"7,057",0.99,0.94,1.02,1.03,1.06,0.82,1.05,0.99,0.98,1.04,0.99,88.1,164.7
21,Tropicana Field,15',Dome,"2,696",0.98,0.97,1.00,1.00,0.98,1.18,1.05,1.02,0.96,0.96,1.01,88.2,165.3
22,Yankee Stadium,55',Open,"6,338",0.98,0.99,0.99,0.99,0.96,1.01,1.01,1.00,0.99,1.04,1.00,89.4,169.5
23,Globe Life Field,545',Retractable,"1,293",0.96,0.91,0.98,1.01,0.96,0.97,1.03,0.98,0.97,1.01,1.01,88.2,166.7
