Matchup,MIA @ ATH
Pitcher,Jack Perkins
Pitcher Team,ATH
Opposing Team,MIA

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,34.0,150,0.248,0.334,0.451,0.203,1.32,6,1.59,8.0%,25.5%,26.7%,24.2%,12.3%,10.59,62.0%,6.3%,7.4%,35.8%,35.8%,14.7%,18.9%
vsLHB,15.0,69,0.262,0.332,0.410,0.148,1.60,2,1.20,11.6%,23.8%,30.4%,25.3%,10.4%,12.60,58.0%,5.9%,2.5%,32.5%,27.5%,18.2%,22.5%
vsRHB,19.0,81,0.236,0.335,0.486,0.250,1.11,4,1.89,4.9%,27.0%,23.5%,23.2%,14.2%,9.00,65.4%,6.8%,10.9%,38.2%,41.8%,13.0%,16.4%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Joe Mack LHB,,+279,30,16,2.80,2,3,0.357,0.438,0.786,0.429,0.510,12.5%,28.0%,12.5%,11.1%,92.0,316.3,3,2,8.3%,-,25.0%,58.3%,25.0%,74.2,43.5%,30.4%,21.7%,92.0%,58.3%,50.0%,33.3%,8.3%,41.7%,41.7%,41.7%,16.7%,33.3%
Owen Caissie LHB,,+280,32,12,2.80,2,4,0.455,0.417,1.091,0.636,0.604,-,47.6%,41.7%,21.3%,97.4,330.2,5,5,57.1%,28.6%,42.9%,57.1%,100.0%,75.1,57.9%,31.6%,21.1%,90.5%,100.0%,57.1%,50.0%,42.9%,-,42.9%,28.6%,28.6%,33.3%
Liam Hicks LHB,,+332,33,21,5.00,1,3,0.412,0.524,0.647,0.235,0.496,19.0%,0.0%,-,-,88.4,255.3,4,2,5.9%,5.9%,29.4%,23.5%,41.2%,68.0,8.7%,52.2%,8.7%,100.0%,41.1%,23.5%,25.0%,17.6%,47.1%,58.8%,23.5%,17.6%,10.0%
Griffin Conine LHB,,+250,15,18,3.20,1,1,0.267,0.389,0.533,0.267,0.394,16.7%,44.1%,27.8%,21.1%,90.8,294.9,1,1,10.0%,10.0%,30.0%,50.0%,10.0%,74.3,48.5%,18.2%,15.2%,97.1%,30.0%,20.0%,50.0%,10.0%,70.0%,70.0%,30.0%,-,31.6%
Heriberto Hernandez RHB,—,N/A,19,12,3.60,1,1,0.091,0.167,0.364,0.273,0.229,8.3%,26.1%,8.3%,13.6%,89.9,307.3,6,3,10.0%,-,20.0%,40.0%,20.0%,75.3,57.9%,31.6%,15.8%,82.6%,60.0%,50.0%,20.0%,10.0%,20.0%,30.0%,40.0%,30.0%,33.3%
Xavier Edwards SHB,,+495,13,20,4.00,0,0,0.500,0.500,0.611,0.111,0.471,5.0%,13.5%,5.0%,7.9%,83.7,307.6,5,1,-,-,-,11.1%,22.2%,68.8,3.2%,35.5%,3.2%,88.6%,38.9%,27.8%,0.0%,11.1%,55.6%,27.8%,27.8%,44.4%,50.0%
Kyle Stowers LHB,,+166,31,18,4.80,0,1,0.333,0.333,0.500,0.167,0.358,-,36.8%,33.3%,18.9%,94.5,240.4,3,3,8.3%,-,25.0%,58.3%,41.7%,75.2,51.6%,29.0%,22.6%,81.6%,50.0%,8.3%,0.0%,41.7%,41.7%,58.3%,33.3%,8.3%,72.2%
Jakob Marsee LHB,,+395,17,17,4.60,0,0,0.071,0.235,0.071,-,0.167,17.6%,6.7%,5.9%,2.7%,83.4,208.3,1,0,-,-,15.4%,15.4%,23.1%,70.7,7.7%,19.2%,7.7%,92.9%,46.2%,23.1%,0.0%,23.1%,38.5%,30.8%,30.8%,38.5%,36.8%
Javier Sanoja RHB,,+497,16,14,4.00,0,0,0.333,0.357,0.667,0.333,0.407,7.1%,4.5%,-,2.2%,90.1,247.8,2,0,-,-,-,30.8%,30.8%,69.3,5.0%,50.0%,15.0%,90.9%,46.2%,15.4%,0.0%,30.8%,53.8%,30.8%,30.8%,38.5%,40.0%
Otto Lopez RHB,,+342,12,11,4.60,0,0,0.400,0.455,0.500,0.100,0.417,9.1%,21.1%,9.1%,6.7%,85.8,273.1,2,0,-,-,11.1%,22.2%,44.4%,70.5,26.3%,31.6%,5.3%,100.0%,66.6%,22.2%,0.0%,44.4%,33.3%,22.2%,55.6%,22.2%,9.5%
