Matchup,BAL @ BOS
Pitcher,Shane Baz
Pitcher Team,BAL
Opposing Team,BOS

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,6.2,2.40,="12-32",.375,.656,0.281,1,6,0,4,19.4,4,.444,1.100
Batting Second,8.0,1.75,="8-28",.286,.464,0.178,1,2,0,5,5.6,6,.389,.853
Batting Third,8.0,1.50,="7-27",.259,.370,0.111,1,0,0,5,8.8,5,.353,.723
Batting Fourth,7.0,1.57,="7-28",.250,.357,0.107,1,0,0,3,18.8,4,.344,.701
Batting Fifth,5.2,2.29,="11-27",.407,.704,0.297,1,5,0,3,20.0,2,.467,1.171
Batting Sixth,8.1,0.72,="6-27",.222,.333,0.111,0,3,0,2,30.0,0,.233,.566
Batting Seventh,6.2,1.35,="5-24",.208,.292,0.084,0,2,0,3,31.0,4,.310,.602
Batting Eighth,7.2,0.52,="3-26",.115,.231,0.116,1,0,0,2,40.7,1,.148,.379
Batting Ninth,6.1,1.11,="6-24",.250,.542,0.292,1,4,0,3,16.0,1,.280,.822

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Jarren Duran LHB,Batting First ​,="33-146",.226,.452,0.226,9,4,1,23,27.2,12,.290,.742
Ceddanne Rafaela RHB,Batting Second ​,="10-49",.204,.327,0.123,1,3,0,4,15.1,3,.264,.591
Wilyer Abreu LHB,Batting Third ​,="30-115",.261,.365,0.104,2,6,0,10,18.4,8,.306,.671
Willson Contreras RHB,Batting Fourth ​,="33-117",.282,.470,0.188,5,3,2,18,25.8,10,.364,.834
Masataka Yoshida LHB,Batting Fifth ​,="9-36",.250,.444,0.194,1,2,1,2,7.7,2,.282,.726
Mickey Gasper SHB,Batting Sixth ​,="7-14",.500,.714,0.214,0,3,0,1,6.3,2,.563,1.277
Isiah Kiner-Falefa RHB,Batting Seventh ​,="6-13",.462,.462,0.000,0,0,0,0,20.0,2,.533,.995
Marcelo Mayer LHB,Batting Eighth ​,="8-28",.286,.286,0.000,0,0,0,3,21.4,0,.286,.572
Caleb Durbin RHB,Batting Ninth ​,="11-64",.172,.234,0.062,0,4,0,9,15.9,2,.206,.440
