Matchup,BAL @ LAA
Pitcher,Kyle Bradish
Pitcher Team,BAL
Opposing Team,LAA

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,81.0,350,0.264,0.341,0.436,0.173,1.51,11,1.22,11.7%,26.3%,24.0%,21.6%,11.7%,9.33,55.0%,5.7%,10.3%,37.5%,21.4%,20.8%,12.5%
vsLHB,52.0,224,0.244,0.327,0.421,0.178,1.40,7,1.21,11.2%,25.2%,24.6%,23.4%,11.5%,9.52,55.6%,5.4%,8.4%,37.8%,22.4%,18.8%,14.0%
vsRHB,27.1,126,0.300,0.365,0.464,0.164,1.79,4,1.32,12.7%,28.1%,23.0%,18.8%,12.0%,9.55,54.0%,6.1%,13.6%,37.0%,19.8%,25.0%,9.9%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Donovan Walton LHB,,+850,16,18,3.80,2,2,0.471,0.500,1.000,0.529,0.629,5.6%,13.9%,16.7%,7.4%,88.8,289.5,7,3,7.1%,-,28.6%,35.7%,50.0%,67.8,-,31.2%,12.5%,94.1%,28.6%,50.0%,42.9%,14.3%,42.9%,42.9%,14.3%,33.3%
Denzer Guzman RHB,,+820,7,15,4.40,1,1,0.385,0.467,0.615,0.231,0.464,13.3%,29.2%,6.7%,15.6%,89.4,237.8,1,1,8.3%,8.3%,16.7%,50.0%,16.7%,73.8,31.8%,27.3%,18.2%,91.7%,16.7%,50.0%,16.7%,66.7%,66.7%,25.0%,8.3%,33.3%
Tyler Heineman SHB,—,N/A,11,15,3.60,1,1,0.167,0.333,0.500,0.333,0.359,13.3%,21.4%,13.3%,8.8%,87.8,267.0,3,2,11.1%,11.1%,22.2%,33.3%,33.3%,67.0,-,23.1%,3.8%,92.9%,55.6%,20.0%,11.1%,22.2%,33.3%,33.3%,33.3%,16.7%
Wade Meckler LHB,,+980,12,21,3.40,0,0,0.235,0.381,0.294,0.059,0.311,19.0%,20.0%,28.6%,6.9%,85.8,258.5,1,0,-,-,-,27.3%,27.3%,69.4,5.0%,30.0%,-,83.3%,18.2%,0.0%,18.2%,63.6%,9.1%,72.7%,18.2%,32.0%
Nolan Schanuel LHB,,+1000,24,17,4.60,0,0,0.231,0.412,0.308,0.077,0.336,17.6%,23.8%,23.5%,7.5%,91.8,243.9,2,0,-,-,22.2%,33.3%,33.3%,66.8,-,38.9%,11.1%,90.0%,22.2%,0.0%,33.3%,44.4%,33.3%,55.6%,11.1%,29.4%
Zach Neto RHB,,+435,16,16,4.60,0,1,0.067,0.125,0.200,0.133,0.142,6.2%,40.6%,43.8%,24.1%,90.4,311.5,2,1,25.0%,12.5%,37.5%,50.0%,25.0%,71.5,8.7%,21.7%,13.0%,74.2%,37.5%,0.0%,12.5%,50.0%,75.0%,12.5%,12.5%,58.3%
Logan O'Hoppe RHB,,+610,17,15,4.00,0,0,0.467,0.467,0.667,0.200,0.491,-,12.5%,6.7%,7.0%,84.0,258.5,4,1,7.1%,7.1%,21.4%,35.7%,28.6%,73.4,42.1%,31.6%,21.1%,82.6%,21.4%,0.0%,28.6%,35.7%,57.1%,35.7%,7.1%,50.0%
Vaughn Grissom RHB,,+820,20,15,4.00,0,1,0.200,0.200,0.333,0.133,0.229,-,15.6%,20.0%,7.2%,84.3,286.7,6,1,8.3%,-,8.3%,33.3%,58.3%,70.8,20.7%,27.6%,10.3%,90.6%,25.0%,0.0%,41.7%,25.0%,8.3%,83.3%,8.3%,20.0%
Nick Madrigal RHB,—,N/A,8,15,4.20,0,1,0.333,0.467,0.417,0.083,0.392,20.0%,10.3%,-,4.5%,87.6,236.2,2,1,-,-,8.3%,25.0%,33.3%,65.8,4.2%,33.3%,4.2%,92.3%,-,-,41.7%,50.0%,33.3%,33.3%,33.3%,23.1%
Jose Siri RHB,,+531,17,14,3.60,0,0,0.500,0.500,0.571,0.071,0.472,-,41.2%,21.4%,23.0%,81.7,199.9,0,0,-,-,9.1%,18.2%,18.2%,72.2,31.0%,10.3%,6.9%,90.6%,18.2%,0.0%,9.1%,63.6%,45.5%,27.3%,27.3%,27.8%
Oswald Peraza RHB,—,N/A,14,12,3.60,0,0,0.250,0.250,0.250,-,0.222,-,13.6%,8.3%,8.1%,86.4,273.5,1,0,-,-,9.1%,36.4%,27.3%,71.7,19.0%,33.3%,14.3%,95.5%,18.2%,0.0%,9.1%,72.7%,45.5%,45.5%,9.1%,35.7%
Jo Adell RHB,,+489,17,10,4.60,0,0,0.300,0.300,0.500,0.200,0.343,-,28.6%,30.0%,17.4%,88.9,320.4,2,2,14.3%,-,14.3%,42.9%,42.9%,77.2,61.5%,19.2%,7.7%,92.9%,28.6%,0.0%,28.6%,42.9%,42.9%,42.9%,14.3%,45.5%
