HR Split,Overall
Dates,="7/8/2026"
Games,15

#,TIME,PITCHER,VS,HR RISK,VS LHB,VS RHB,HR/9,BARREL%,HR/FB%,HH%,FB%,MEATBALL%,BF
1,10:10 PM,Roki Sasaki,vs,1.55,1.24,1.41,2.19,14.2%,29.4%,45.6%,28.0%,7.9%,640
2,6:35 PM,Dean Kremer,vs,1.44,0.83,1.43,2.47,11.4%,30.5%,33.6%,34.5%,6.7%,835
3,6:40 PM,Jeffrey Springs,@,1.38,-0.27,2.14,2.88,10.3%,20.2%,33.4%,35.4%,6.4%,1232
4,7:10 PM,Christian Scott,vs,0.96,1.19,-0.49,1.83,11.9%,23.1%,37.9%,34.2%,6.5%,314
5,10:10 PM,Jose Cabrera,@,0.89,1.00,0.43,2.13,9.1%,27.3%,43.2%,25.0%,6.3%,120
6,6:40 PM,Gerrit Cole,@,0.63,0.65,-0.33,1.77,10.4%,18.1%,39.5%,29.9%,6.8%,288
7,6:40 PM,Tyler Phillips,vs,0.58,0.85,0.22,1.52,9.7%,16.7%,50.5%,27.1%,8.6%,717
8,6:45 PM,Spencer Arrighetti,@,0.50,0.95,-0.17,1.79,8.9%,22.3%,32.7%,29.1%,7.4%,601
9,7:45 PM,Kyle Harrison,@,0.29,-0.28,0.61,1.47,6.9%,16.9%,42.1%,32.7%,7.5%,575
10,7:10 PM,Steven Cruz,@,0.19,0.66,-0.26,1.58,7.3%,22.2%,32.9%,26.1%,7.8%,333
11,7:45 PM,Michael McGreevy,vs,0.12,0.18,0.08,1.38,8.3%,17.3%,39.4%,25.9%,7.2%,892
12,6:40 PM,Troy Melton,vs,0.10,0.60,-0.86,1.72,6.4%,16.5%,34.8%,26.7%,7.2%,500
13,6:40 PM,Shane McClanahan,vs,0.07,0.79,-0.15,1.08,9.3%,17.2%,44.1%,24.4%,7.7%,441
14,7:40 PM,Slade Cecconi,@,0.05,0.05,0.15,1.31,9.0%,13.4%,41.1%,25.8%,7.0%,1086
15,6:40 PM,Grant Holmes,@,0.04,-0.11,0.33,1.46,7.3%,13.3%,40.0%,27.5%,7.0%,935
16,6:35 PM,Colin Rea,@,0.03,-0.48,0.70,1.37,9.0%,10.9%,37.5%,26.5%,7.9%,1207
17,6:40 PM,Jared Jones,vs,-0.04,0.21,-0.24,1.44,7.7%,20.0%,38.0%,20.7%,6.2%,210
18,7:10 PM,Chase Burns,vs,-0.10,0.33,-0.75,1.06,8.6%,15.9%,37.1%,27.5%,7.2%,699
19,8:05 PM,MacKenzie Gore,vs,-0.17,-0.53,0.17,0.91,7.5%,12.7%,45.6%,28.0%,7.4%,1212
20,6:45 PM,Foster Griffin,vs,-0.18,-0.30,0.21,1.13,8.0%,19.8%,36.8%,22.3%,6.6%,543
21,6:40 PM,George Kirby,@,-0.22,-0.35,0.18,0.94,8.3%,12.6%,41.6%,25.5%,7.7%,1167
22,7:40 PM,Davis Martin,vs,-0.45,-0.35,-0.18,0.94,6.8%,15.0%,42.4%,20.1%,6.7%,1106
23,7:40 PM,Connor Prielipp,vs,-0.45,-0.36,-0.13,0.74,7.9%,11.7%,39.9%,23.9%,7.9%,398
24,10:10 PM,Michael King,vs,-0.60,-0.52,-0.29,0.86,7.1%,11.8%,33.9%,24.6%,6.3%,855
25,3:45 PM,Logan Webb,vs,-0.71,-0.48,-0.55,0.73,6.3%,12.0%,39.9%,23.1%,5.6%,1367
26,7:40 PM,Jake Bennett,@,-0.79,-1.79,-0.06,0.63,7.0%,10.5%,33.1%,23.6%,7.4%,272
27,8:05 PM,Walbert Urena,@,-1.26,-0.72,-1.15,0.45,4.8%,7.3%,32.8%,21.8%,5.7%,456
28,3:45 PM,Dylan Cease,@,-1.43,-0.98,-1.21,0.37,3.0%,7.4%,30.5%,23.1%,6.3%,1223
29,10:10 PM,Gabriel Hughes,@,-,-,-,0.00,0.0%,0.0%,22.2%,22.2%,1.9%,22
