Matchup,NYY @ BOS
Pitcher,Connelly Early
Pitcher Team,BOS
Opposing Team,NYY

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,81.2,350,0.237,0.321,0.409,0.172,1.27,14,1.54,8.9%,23.0%,22.3%,19.4%,10.6%,8.60,59.8%,7.4%,10.8%,40.9%,31.5%,17.8%,17.7%
vsLHB,22.2,92,0.205,0.283,0.373,0.169,1.01,4,1.59,6.5%,22.1%,25.0%,23.0%,10.3%,9.13,64.1%,9.2%,8.2%,37.7%,29.5%,16.7%,6.6%
vsRHB,58.2,258,0.249,0.335,0.422,0.173,1.38,10,1.53,9.7%,23.4%,21.3%,18.2%,10.8%,8.44,58.3%,6.8%,11.7%,42.1%,32.2%,18.2%,21.6%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Paul Goldschmidt RHB,,+400,17,18,3.60,3,3,0.500,0.556,1.062,0.562,0.669,11.1%,20.6%,11.1%,8.0%,88.6,281.7,3,3,14.3%,7.1%,21.4%,35.7%,35.7%,71.9,13.8%,34.5%,13.8%,85.3%,35.7%,60.0%,14.3%,42.9%,21.4%,57.1%,21.4%,23.5%
Jasson Dominguez SHB,,+630,17,18,3.80,1,2,0.278,0.278,0.500,0.222,0.336,-,39.5%,27.8%,20.5%,86.1,273.6,3,2,15.4%,7.7%,15.4%,30.8%,38.5%,72.4,9.4%,15.6%,9.4%,86.5%,23.1%,33.3%,15.4%,53.8%,61.5%,23.1%,15.4%,33.3%
Cody Bellinger LHB,,+560,19,17,4.00,1,1,0.250,0.294,0.500,0.250,0.341,5.9%,14.3%,17.6%,6.8%,84.8,284.4,3,2,7.7%,-,23.1%,23.1%,38.5%,69.6,3.7%,25.9%,7.4%,96.4%,15.4%,50.0%,23.1%,53.8%,53.8%,38.5%,7.7%,46.7%
Anthony Volpe RHB,,+750,19,20,4.00,0,0,0.263,0.300,0.368,0.105,0.291,5.0%,22.9%,20.0%,11.8%,91.7,279.8,1,1,6.7%,-,6.7%,40.0%,33.3%,70.4,18.8%,31.2%,12.5%,91.4%,-,-,33.3%,66.7%,46.7%,33.3%,20.0%,27.8%
Jose Caballero RHB,,+870,9,19,3.80,0,0,0.133,0.263,0.133,-,0.196,15.8%,28.1%,26.3%,12.9%,75.8,240.0,1,0,-,-,9.1%,18.2%,27.3%,70.1,14.3%,14.3%,-,96.6%,9.1%,0.0%,18.2%,45.5%,36.4%,54.5%,9.1%,29.4%
Amed Rosario RHB,,+710,11,16,3.40,0,0,0.133,0.188,0.133,-,0.152,6.2%,22.2%,18.8%,10.9%,88.4,262.8,4,1,8.3%,-,25.0%,33.3%,58.3%,74.5,46.2%,30.8%,7.7%,100.0%,33.3%,0.0%,33.3%,33.3%,41.7%,58.3%,-,44.4%
Ben Rice LHB,,+430,26,15,4.40,0,0,0.143,0.200,0.143,-,0.162,6.7%,13.6%,26.7%,5.7%,88.3,242.4,0,0,-,-,20.0%,20.0%,40.0%,73.1,26.3%,26.3%,5.3%,86.4%,30.0%,0.0%,20.0%,40.0%,50.0%,10.0%,40.0%,20.0%
Jazz Chisholm Jr. LHB,,+544,29,13,4.00,0,1,0.167,0.231,0.333,0.167,0.243,7.7%,24.0%,23.1%,10.5%,91.7,240.0,2,1,11.1%,11.1%,33.3%,33.3%,33.3%,72.4,21.7%,34.8%,8.7%,95.8%,11.1%,0.0%,22.2%,44.4%,55.6%,33.3%,11.1%,14.3%
J.C. Escarra LHB,,+591,10,13,3.20,0,0,0.417,0.462,0.500,0.083,0.421,7.7%,13.0%,7.7%,7.7%,91.8,255.3,3,2,9.1%,-,18.2%,36.4%,63.6%,68.9,-,44.4%,16.7%,81.8%,27.3%,0.0%,54.5%,18.2%,27.3%,45.5%,27.3%,0.0%
Max Schuemann RHB,,+870,20,12,2.40,0,1,0.375,0.583,0.625,0.250,0.502,33.3%,35.3%,16.7%,14.0%,90.3,268.4,3,3,33.3%,33.3%,50.0%,50.0%,66.7%,71.0,7.1%,14.3%,7.1%,93.3%,66.7%,0.0%,16.7%,-,50.0%,33.3%,16.7%,44.4%
Austin Wells LHB,,+630,13,9,2.60,0,0,0.222,0.222,0.333,0.111,0.240,-,26.1%,22.2%,13.0%,84.6,214.4,0,0,-,-,28.6%,28.6%,28.6%,72.9,30.0%,15.0%,-,90.9%,-,-,28.6%,42.9%,57.1%,14.3%,28.6%,44.4%
Spencer Jones LHB,—,N/A,-,4,3.00,0,0,0.500,0.750,1.000,0.500,0.642,50.0%,33.3%,25.0%,13.6%,95.2,187.3,0,0,-,-,-,100.0%,-,76.6,66.7%,11.1%,-,100.0%,-,-,-,-,-,100.0%,-,75.0%
