Batter,Bats,Team,Pitcher,Throws,Contact,Barrel,HR,HardHit,ZoneScore
Josh Bell,SHB,MIN,Troy Melton,R,31.8,42.8,29.1,53.5,40.3
Colton Cowser,LHB,BAL,Gabriel Hughes,R,26.8,49.1,36.1,38.6,40.3
Ryan Jeffers,RHB,MIN,Troy Melton,R,43.2,35,42.4,42.2,39.8
Mike Trout,RHB,LAA,Gerrit Cole,R,50,42.5,26.6,46.5,39.5
Jesus Sanchez,LHB,TOR,Gavin Williams,R,31.6,51.3,18.1,51.1,39.3
Travis Bazzana,LHB,CLE,Spencer Miles,R,31.4,31,38.4,51.5,38.4
Joshua Baez,RHB,STL,Eric Lauer,L,59.9,9.4,39.1,63.9,37
Zach Neto,RHB,LAA,Gerrit Cole,R,56.6,31,29.7,46.5,37
Ezequiel Duran,RHB,TEX,Brady Basso,L,21.2,38.1,31.8,46.3,36.6
Jose Siri,RHB,LAA,Gerrit Cole,R,51.6,38.4,27,37,36
Pete Alonso,RHB,BAL,Gabriel Hughes,R,22.6,31.2,39.2,44.1,36
Mickey Gasper,SHB,BOS,Bryan Woo,R,29.7,31.5,32,49.3,35.9
Esmerlyn Valdez,RHB,PIT,Logan Webb,R,25.4,29.9,35.3,47.4,35.4
Drake Baldwin,LHB,ATL,Jake Irvin,R,33.6,28.1,37.2,43.4,35.2
Elias Diaz,RHB,TEX,Brady Basso,L,24.9,41.6,20,48,35
Christian Walker,RHB,HOU,Sean Burke,R,38.2,25.5,30.5,48.4,34
Ketel Marte,SHB,ARI,Jesus Luzardo,L,16.3,44.9,30.7,29.7,34
Juan Soto,LHB,NYM,Freddy Peralta,R,30.5,39.3,16.4,49.2,34
Ceddanne Rafaela,RHB,BOS,Bryan Woo,R,37.2,28.6,31.8,42.9,34
Ben Rice,LHB,NYY,Grayson Rodriguez,R,42.7,24.5,17.1,63,33.7
Leody Taveras,SHB,BAL,Gabriel Hughes,R,38.6,19.7,31,54.3,33.6
Munetaka Murakami,LHB,CWS,Ronel Blanco,R,29.8,43,17,40.5,33.3
Cole Carrigg,SHB,COL,Kyle Bradish,R,43.4,29.7,25.7,42.3,33
Carson Kelly,RHB,CHC,Robert Gasser,L,35.8,16.6,26,60.1,32.2
Jake Burger,RHB,TEX,Brady Basso,L,51.4,27.6,27.6,36.5,32.2
Jorge Barrosa,SHB,ARI,Jesus Luzardo,L,16.3,43.7,35.4,18.6,32.2
Samuel Basallo,LHB,BAL,Gabriel Hughes,R,36.5,20,26.4,50.5,31.2
Jordan Walker,RHB,STL,Eric Lauer,L,47.1,37.8,22.2,26.2,31.2
Bryce Eldridge,LHB,SF,Paul Skenes,R,32.2,41.6,10.9,39.5,30.9
