Split,vsLHB
Range,L10
Dates,="8/18/2026"
Games,15

,STATS,STATCAST
TIME,PITCHER,VS,IP,BF,FIP,AVG,WOBA,WHIP,ISO,SLG,HR,HR/9,TB,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,BB,BB%,1STPS%,MEATBALL%,BBE,HH%,BARRELS,BARREL%,FB%,HR/FB%,PULLAIR%
8:05 PM,Jackson Kent,@,1.0,5,-2.90,0.400,0.424,2.00,0.200,0.600,0,-,3,42.9%,60.0%,75.0%,16.7%,27.00,0,-,20.0%,-,2,-,0,-,-,-,50.0%
6:40 PM,Cade Gibson,@,5.0,25,4.10,0.333,0.342,2.00,-,0.333,0,-,7,15.4%,8.0%,6.2%,6.2%,3.60,3,12.0%,72.0%,7.2%,20,50.0%,1,5.0%,10.0%,-,5.0%
8:40 PM,Ryan Feltner,vs,25.0,125,7.10,0.330,0.429,2.08,0.252,0.583,6,2.16,60,22.6%,12.8%,11.6%,10.3%,5.76,18,14.4%,64.0%,8.6%,91,33.0%,11,12.1%,33.0%,20.0%,23.1%
7:40 PM,Jack Perkins,@,24.2,121,7.15,0.314,0.430,1.95,0.314,0.629,9,3.28,66,21.4%,25.6%,22.5%,9.2%,11.31,15,12.4%,62.8%,6.4%,75,42.7%,10,13.3%,37.3%,32.1%,16.0%
8:10 PM,George Klassen,@,9.1,46,5.03,0.308,0.383,1.93,0.154,0.462,1,0.96,18,30.7%,17.4%,15.1%,15.3%,7.71,6,13.0%,63.0%,10.2%,31,38.7%,4,12.9%,22.6%,14.3%,6.5%
7:40 PM,Zebby Matthews,vs,26.0,123,5.10,0.296,0.374,1.73,0.204,0.500,5,1.73,54,17.3%,21.1%,16.0%,7.6%,9.00,13,10.6%,61.8%,7.8%,84,45.2%,11,13.1%,21.4%,16.7%,20.2%
6:35 PM,Shane Baz,vs,31.1,141,2.53,0.295,0.323,1.50,0.114,0.409,2,0.57,54,21.6%,24.1%,19.1%,11.3%,9.77,8,5.7%,67.4%,7.5%,99,49.5%,3,3.0%,34.3%,5.9%,13.1%
6:40 PM,Kyle Leahy,@,23.2,106,2.97,0.292,0.335,1.56,0.115,0.406,1,0.38,39,20.2%,21.7%,18.3%,9.2%,8.75,9,8.5%,58.5%,7.5%,73,41.1%,6,8.2%,12.3%,11.1%,17.8%
8:05 PM,Kevin Gausman,vs,25.2,118,4.62,0.279,0.330,1.68,0.115,0.394,3,1.05,41,22.8%,17.8%,14.6%,11.1%,7.36,14,11.9%,60.2%,3.8%,83,36.1%,4,4.8%,22.9%,15.8%,12.0%
7:10 PM,Merrill Kelly,@,33.2,148,5.77,0.278,0.355,1.54,0.195,0.474,7,1.87,63,18.5%,15.5%,15.8%,9.1%,6.15,15,10.1%,57.0%,2.9%,110,44.5%,9,8.2%,24.5%,25.9%,16.4%
8:10 PM,Cristian Javier,vs,14.2,64,3.99,0.276,0.325,1.43,0.121,0.397,1,0.61,23,18.0%,14.1%,13.2%,8.7%,5.52,5,7.8%,67.2%,7.4%,49,28.6%,4,8.2%,53.1%,3.8%,20.4%
7:10 PM,Ranger Suarez,vs,14.2,62,2.55,0.271,0.313,1.30,0.153,0.424,1,0.61,25,29.4%,24.2%,22.4%,14.8%,9.20,3,4.8%,72.6%,7.2%,44,36.4%,2,4.5%,15.9%,14.3%,6.8%
7:40 PM,Bryce Miller,@,31.2,135,4.49,0.268,0.337,1.29,0.213,0.480,6,1.71,61,24.7%,21.5%,18.8%,14.1%,8.24,7,5.2%,65.2%,6.0%,98,38.8%,7,7.1%,36.7%,16.7%,34.7%
7:10 PM,Robbie Ray,@,16.1,73,2.61,0.266,0.289,1.53,0.016,0.281,0,-,18,29.8%,21.9%,22.2%,13.5%,8.82,8,11.0%,65.8%,6.9%,49,42.9%,1,2.0%,16.3%,-,8.2%
6:40 PM,Zack Wheeler,vs,29.2,133,3.13,0.258,0.323,1.45,0.150,0.408,4,1.21,49,34.8%,33.8%,22.8%,17.7%,13.65,12,9.0%,57.1%,3.4%,75,44.0%,4,5.3%,29.3%,18.2%,16.0%
8:05 PM,Cal Quantrill,vs,22.2,98,5.39,0.247,0.322,1.37,0.180,0.427,5,1.99,38,19.9%,20.4%,21.3%,9.5%,7.94,9,9.2%,64.6%,6.0%,70,41.4%,7,10.0%,31.4%,22.7%,11.4%
6:40 PM,Braxton Ashcraft,vs,34.2,144,4.77,0.244,0.332,1.27,0.229,0.473,8,2.08,62,25.9%,28.5%,22.9%,13.3%,10.64,12,8.3%,66.9%,7.4%,91,50.5%,8,8.8%,27.5%,32.0%,19.8%
