Batter,Batter Team,Pitcher,Pitcher Team,AB,Avg,BABIP,ISO,SLG,1B,2B,3B,HR,XBH,RBI,TB,K%,OBP,BB
"Jac Caglianone","KC","Drew Anderson","DET","1","1.000","1.00","1.00","2.00","0","1","0","0","1","0","2","0.0","1.000","0"
"Joc Pederson","TEX","Ryan Johnson","LAA","1","1.000","0.00","3.00","4.00","0","0","0","1","1","1","4","0.0","1.000","1"
"Yandy Diaz","TB","Brandon Young","BAL","2","1.000","1.00","1.50","2.50","1","0","0","1","1","1","5","0.0","1.000","1"
"Willson Contreras","BOS","Blade Tidwell","SF","3","1.000","1.00","1.00","2.00","2","0","0","1","1","3","6","0.0","1.000","0"
"Coby Mayo","BAL","Shane McClanahan","TB","4","0.750","0.67","1.00","1.75","1","1","0","1","2","1","7","0.0","0.750","0"
"Joey Ortiz","MIL","Martin Perez","ATL","4","0.750","0.67","0.75","1.50","2","0","0","1","1","1","6","0.0","0.800","1"
"Hao-Yu  Lee","DET","Michael Wacha","KC","3","0.667","0.50","1.33","2.00","0","1","0","1","2","2","6","0.0","0.667","0"
"Gabriel Moreno","ARI","Rhett Lowder","CIN","3","0.667","0.67","0.33","1.00","1","1","0","0","1","0","3","0.0","0.667","0"
"Alejandro Kirk","TOR","Ryan Weathers","NYY","5","0.600","0.60","0.20","0.80","2","1","0","0","1","1","4","0.0","0.600","0"
"Freddie Freeman","LAD","Jared Jones","PIT","5","0.600","0.75","0.40","1.00","1","2","0","0","2","0","5","20.0","0.600","0"
"Zach Neto","LAA","Cody Bradford","TEX","9","0.556","0.56","0.11","0.67","4","1","0","0","1","1","6","0.0","0.556","0"
"Francisco Lindor","NYM","Luis Castillo","CWS","15","0.533","0.50","0.60","1.13","3","3","0","2","5","5","17","6.7","0.533","0"
"George Lombard Jr.","NYY","Dylan Cease","TOR","2","0.500","0.50","0.50","1.00","0","1","0","0","1","0","2","0.0","0.667","1"
"Nasim Nuñez","WSH","Eury Perez","MIA","2","0.500","0.00","1.50","2.00","0","0","0","1","1","1","4","0.0","0.500","0"
"Heriberto Hernandez","MIA","Jake Irvin","WSH","2","0.500","1.00","0.50","1.00","0","1","0","0","1","0","2","50.0","0.500","0"
"Matt McLain","CIN","Michael Soroka","ARI","2","0.500","0.50","0.50","1.00","0","1","0","0","1","0","2","0.0","0.750","2"
"Ezequiel Tovar","COL","Tanner Bibee","CLE","2","0.500","1.00","0.50","1.00","0","1","0","0","1","0","2","50.0","0.500","0"
"Julio Rodriguez","SEA","David Peterson","CHC","2","0.500","0.50","1.00","1.50","0","0","1","0","1","1","3","0.0","0.500","0"
"Yordan Alvarez","HOU","Jacob Lopez","ATH","2","0.500","0.00","1.50","2.00","0","0","0","1","1","2","4","0.0","0.667","1"
"Ryan Vilade","TB","Brandon Young","BAL","2","0.500","0.00","1.50","2.00","0","0","0","1","1","1","4","50.0","0.500","0"
"Dane Myers","CIN","Michael Soroka","ARI","2","0.500","0.00","1.50","2.00","0","0","0","1","1","2","4","50.0","0.500","0"
"Nick Fortes","TB","Brandon Young","BAL","2","0.500","0.50","0.50","1.00","0","1","0","0","1","0","2","0.0","0.500","0"
"Gavin Sheets","SD","Dean Kremer","MIN","2","0.500","0.50","0.50","1.00","0","1","0","0","1","0","2","0.0","0.667","1"
"Jorge Mateo","TB","Brandon Young","BAL","2","0.500","0.00","1.50","2.00","0","0","0","1","1","2","4","0.0","0.500","0"
"Max Muncy","LAD","Jared Jones","PIT","2","0.500","0.50","0.50","1.00","0","1","0","0","1","1","2","0.0","0.500","0"
"Luke Keaschall","MIN","Casey Mize","SD","4","0.500","0.33","0.75","1.25","1","0","0","1","1","2","5","0.0","0.667","2"
"Brady House","WSH","Eury Perez","MIA","4","0.500","0.33","1.00","1.50","0","1","0","1","2","2","6","0.0","0.500","0"
"Osleivis Basabe","SF","Patrick Sandoval","BOS","4","0.500","1.00","0.50","1.00","0","2","0","0","2","2","4","50.0","0.600","1"
"Michael Toglia","CIN","Michael Soroka","ARI","4","0.500","0.33","0.75","1.25","1","0","0","1","1","3","5","25.0","0.400","0"
"Daylen Lile","WSH","Eury Perez","MIA","6","0.500","0.60","0.33","0.83","2","0","1","0","1","2","5","16.7","0.500","0"
