Matchup,COL @ ATH
Pitcher,Kyle Freeland
Pitcher Team,COL
Opposing Team,ATH

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,53.0,252,0.323,0.400,0.563,0.240,1.70,13,2.21,6.3%,22.5%,17.9%,16.3%,11.4%,7.64,63.2%,6.8%,9.7%,44.1%,30.1%,21.4%,17.7%
vsLHB,11.1,50,0.295,0.344,0.432,0.136,1.24,1,0.79,2.0%,27.2%,18.0%,13.6%,14.8%,7.15,58.0%,7.9%,2.7%,37.8%,32.4%,8.3%,16.2%
vsRHB,41.2,202,0.330,0.414,0.595,0.265,1.82,12,2.59,7.4%,21.3%,17.8%,17.1%,10.6%,7.78,64.5%,6.5%,11.4%,45.6%,29.5%,25.0%,18.1%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Tyler Soderstrom LHB,,+225,35,25,4.60,5,4,0.409,0.480,1.091,0.682,0.640,12.0%,11.9%,16.0%,5.2%,91.9,304.2,6,5,16.7%,-,11.1%,55.6%,27.8%,74.3,42.9%,28.6%,23.8%,84.0%,33.3%,83.3%,-,50.0%,22.2%,55.6%,22.2%,28.0%
Shea Langeliers RHB,,+150,22,22,5.20,4,3,0.381,0.409,1.000,0.619,0.590,4.5%,17.5%,9.1%,9.2%,95.4,307.5,7,4,21.1%,10.5%,31.6%,57.9%,36.8%,76.1,68.2%,31.8%,18.2%,95.7%,42.1%,37.5%,26.3%,31.6%,47.4%,26.3%,26.3%,56.5%
Jonah Heim SHB,,+390,26,20,2.60,4,3,0.400,0.400,1.100,0.700,0.636,-,19.4%,30.0%,10.0%,83.5,306.7,5,5,21.4%,-,7.1%,28.6%,57.1%,70.8,22.7%,13.6%,9.1%,78.6%,14.3%,100.0%,42.9%,35.7%,35.7%,28.6%,35.7%,40.0%
Nick Kurtz LHB,,+154,33,19,5.20,2,1,0.250,0.368,0.625,0.375,0.417,15.8%,25.6%,31.6%,12.2%,93.0,331.0,4,2,10.0%,10.0%,40.0%,40.0%,30.0%,77.6,80.0%,15.0%,5.0%,95.2%,60.0%,33.3%,10.0%,30.0%,60.0%,30.0%,10.0%,26.3%
Henry Bolte RHB,,+410,21,21,3.80,1,1,0.316,0.381,0.526,0.211,0.399,-,35.1%,47.6%,16.9%,102.9,338.7,3,1,22.2%,-,-,88.9%,55.6%,76.7,80.0%,20.0%,16.0%,96.2%,11.1%,100.0%,33.3%,55.6%,33.3%,44.4%,22.2%,42.9%
Colby Thomas RHB,,+264,17,21,2.40,1,1,0.158,0.238,0.316,0.158,0.247,9.5%,31.6%,28.6%,18.2%,92.8,256.3,4,4,7.7%,7.7%,15.4%,46.2%,23.1%,76.8,65.6%,18.8%,12.5%,97.0%,46.2%,16.7%,23.1%,23.1%,38.5%,46.2%,15.4%,42.9%
Zack Gelof RHB,,+310,18,20,4.40,1,2,0.300,0.300,0.500,0.200,0.346,-,36.6%,30.0%,19.2%,90.9,288.8,4,3,14.3%,7.1%,14.3%,42.9%,21.4%,74.7,46.4%,21.4%,7.1%,100.0%,35.7%,20.0%,14.3%,42.9%,35.7%,35.7%,28.6%,35.0%
Jacob Wilson RHB,,+529,17,24,3.80,0,0,0.273,0.292,0.318,0.045,0.265,4.2%,20.4%,12.5%,12.8%,83.7,270.7,2,1,-,-,5.0%,15.0%,45.0%,63.9,-,25.5%,4.3%,92.2%,25.0%,0.0%,30.0%,40.0%,25.0%,35.0%,40.0%,41.7%
Max Muncy RHB,,+370,19,18,4.00,0,1,0.154,0.389,0.308,0.154,0.324,22.2%,23.5%,27.8%,10.7%,94.5,292.3,3,3,12.5%,-,12.5%,50.0%,25.0%,74.9,52.4%,9.5%,9.5%,95.5%,25.0%,0.0%,25.0%,25.0%,12.5%,37.5%,50.0%,38.9%
Jeff McNeil LHB,—,N/A,9,15,3.00,0,0,0.077,0.200,0.077,-,0.146,13.3%,12.9%,13.3%,6.3%,88.8,302.1,3,1,-,-,9.1%,18.2%,45.5%,67.3,-,40.0%,4.0%,89.3%,18.2%,0.0%,27.3%,54.5%,36.4%,54.5%,9.1%,26.7%
