Matchup,SEA @ MIA
Pitcher,George Kirby
Pitcher Team,SEA
Opposing Team,MIA

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,58.1,254,0.304,0.343,0.458,0.154,1.47,6,0.93,5.1%,21.8%,22.0%,19.2%,11.4%,8.64,63.8%,7.7%,8.7%,42.4%,24.5%,13.3%,9.2%
vsLHB,30.1,133,0.304,0.351,0.480,0.176,1.48,4,1.19,5.3%,20.6%,18.0%,18.8%,10.6%,7.12,68.4%,8.3%,7.9%,45.5%,29.7%,13.3%,10.9%
vsRHB,28.0,121,0.304,0.334,0.435,0.130,1.46,2,0.64,5.0%,23.0%,26.4%,19.6%,12.2%,10.29,58.7%,7.1%,9.6%,38.6%,18.1%,13.3%,7.2%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Otto Lopez RHB,,+1040,21,21,5.20,2,4,0.429,0.429,0.857,0.429,0.550,-,3.4%,9.5%,1.5%,85.4,288.7,5,4,15.8%,5.3%,21.1%,36.8%,57.9%,70.8,22.2%,44.4%,25.9%,93.1%,63.1%,26.3%,20.0%,36.8%,31.6%,31.6%,42.1%,26.3%,10.5%
Joe Mack LHB,,+870,29,15,3.00,2,2,0.308,0.400,0.769,0.462,0.485,13.3%,19.0%,6.7%,7.5%,88.1,320.9,3,2,8.3%,-,8.3%,41.7%,8.3%,72.8,25.0%,25.0%,12.5%,84.2%,50.0%,50.0%,33.3%,-,50.0%,25.0%,41.7%,33.3%,23.5%
Owen Caissie LHB,,+600,33,14,3.00,2,3,0.385,0.357,0.923,0.538,0.518,-,57.7%,50.0%,26.3%,99.0,303.4,4,4,42.9%,28.6%,57.1%,57.1%,100.0%,75.1,63.6%,27.3%,18.2%,84.6%,100.0%,42.9%,66.7%,57.1%,-,57.1%,14.3%,28.6%,29.4%
Heriberto Hernandez RHB,,+460,27,12,3.40,2,2,0.364,0.417,1.000,0.636,0.584,8.3%,25.0%,8.3%,10.9%,95.5,311.4,5,3,20.0%,-,10.0%,70.0%,20.0%,77.0,84.0%,32.0%,24.0%,89.3%,60.0%,40.0%,50.0%,20.0%,30.0%,10.0%,70.0%,20.0%,26.3%
Griffin Conine LHB,,+675,18,22,4.00,1,1,0.263,0.364,0.474,0.211,0.363,13.6%,34.9%,36.4%,16.3%,92.0,293.6,1,1,9.1%,9.1%,27.3%,45.5%,27.3%,74.3,48.7%,15.4%,12.8%,90.7%,36.4%,9.1%,100.0%,27.3%,63.6%,63.6%,27.3%,9.1%,19.0%
Jakob Marsee LHB,,+1060,11,21,4.20,1,1,0.200,0.238,0.350,0.150,0.258,4.8%,8.3%,9.5%,3.7%,84.3,209.9,2,2,5.6%,5.6%,11.1%,16.7%,38.9%,70.8,5.7%,22.9%,8.6%,97.2%,50.0%,27.8%,20.0%,22.2%,38.9%,38.9%,33.3%,27.8%,26.3%
Kyle Stowers LHB,,+425,24,21,4.80,1,1,0.429,0.429,0.667,0.238,0.474,-,33.3%,28.6%,16.7%,97.0,251.1,3,3,13.3%,6.7%,20.0%,73.3%,46.7%,75.4,50.0%,33.3%,27.8%,85.7%,53.4%,6.7%,100.0%,46.7%,46.7%,53.3%,40.0%,6.7%,50.0%
Xavier Edwards SHB,,+1600,19,25,5.00,0,0,0.444,0.520,0.556,0.111,0.445,20.0%,17.0%,4.0%,8.2%,84.2,300.1,7,2,-,-,5.3%,10.5%,15.8%,67.7,2.5%,32.5%,5.0%,87.0%,57.9%,42.1%,0.0%,15.8%,36.8%,15.8%,42.1%,42.1%,42.9%
Liam Hicks LHB,,+875,32,19,5.20,0,1,0.438,0.526,0.438,-,0.430,15.8%,4.0%,5.3%,1.4%,89.0,240.8,2,0,-,-,20.0%,40.0%,26.7%,68.4,4.8%,47.6%,14.3%,87.5%,33.3%,13.3%,0.0%,20.0%,60.0%,46.7%,33.3%,20.0%,5.6%
Javier Sanoja RHB,,+1440,15,17,3.80,0,0,0.467,0.529,0.667,0.200,0.508,11.8%,4.2%,-,1.7%,87.2,215.7,2,0,-,-,13.3%,33.3%,46.7%,68.9,4.5%,40.9%,13.6%,95.7%,46.6%,13.3%,0.0%,33.3%,40.0%,26.7%,33.3%,40.0%,26.7%
Leo Jimenez RHB,—,N/A,28,16,3.80,0,0,0.167,0.375,0.167,-,0.278,18.8%,42.1%,37.5%,14.5%,96.4,298.2,3,2,-,-,33.3%,66.7%,33.3%,71.6,-,35.7%,21.4%,73.7%,66.7%,50.0%,0.0%,16.7%,33.3%,33.3%,50.0%,16.7%,17.6%
Esteury Ruiz RHB,—,N/A,27,15,3.00,0,0,0.333,0.467,0.417,0.083,0.397,13.3%,9.1%,13.3%,4.4%,78.3,218.0,2,0,-,-,20.0%,10.0%,70.0%,70.0,10.0%,10.0%,3.3%,90.9%,70.0%,10.0%,0.0%,60.0%,20.0%,40.0%,30.0%,30.0%,33.3%
